[792, 612]
[headline, [100.0, 337.0, 427.0, 25.5], shoonya_5sDXMEYTTNIUBI, 6516454]
[paragraph, [295.0, 437.0, 87.0, 18.0], shoonya_2sFT5DGO3RS4TT, 6516454]
[paragraph, [295.0, 455.0, 87.0, 18.0], shoonya_2sFT5DGO3RS4TT, 6516454]
[paragraph, [295.0, 473.0, 87.0, 18.0], shoonya_2sFT5DGO3RS4TT, 6516454]
[paragraph, [295.0, 491.0, 87.0, 18.0], shoonya_2sFT5DGO3RS4TT, 6516454]
[paragraph, [387.0, 438.0, 150.0, 18.0], shoonya_3sEAENXGIR6ECV, 6516454]
[paragraph, [387.0, 456.0, 150.0, 18.0], shoonya_3sEAENXGIR6ECV, 6516454]
[paragraph, [387.0, 474.0, 150.0, 18.0], shoonya_3sEAENXGIR6ECV, 6516454]
[paragraph, [387.0, 492.0, 150.0, 18.0], shoonya_3sEAENXGIR6ECV, 6516454]
[paragraph, [387.0, 510.0, 150.0, 18.0], shoonya_3sEAENXGIR6ECV, 6516454]
[paragraph, [387.0, 528.0, 150.0, 18.0], shoonya_3sEAENXGIR6ECV, 6516454]
[paragraph, [232.0, 511.0, 149.0, 18.0], shoonya_4sHXHD4UCXGLBM, 6516454]
[paragraph, [232.0, 529.0, 149.0, 18.0], shoonya_4sHXHD4UCXGLBM, 6516454]
[paragraph, [232.0, 547.0, 149.0, 18.0], shoonya_4sHXHD4UCXGLBM, 6516454]
[paragraph, [232.0, 565.0, 149.0, 18.0], shoonya_4sHXHD4UCXGLBM, 6516454]
[paragraph, [232.0, 583.0, 149.0, 18.0], shoonya_4sHXHD4UCXGLBM, 6516454]
[paragraph, [232.0, 601.0, 149.0, 18.0], shoonya_4sHXHD4UCXGLBM, 6516454]
[paragraph, [388.0, 555.0, 149.0, 18.0], shoonya_1sGTYHIOZQ6HU0, 6516454]
[paragraph, [388.0, 573.0, 149.0, 18.0], shoonya_1sGTYHIOZQ6HU0, 6516454]
[paragraph, [388.0, 591.0, 149.0, 18.0], shoonya_1sGTYHIOZQ6HU0, 6516454]
