[1650, 1275]
[paragraph, [142.0, 148.0, 989.0, 36.0], shoonya_0sNVMLNNEVAMLH, 5703651]
[paragraph, [142.0, 184.0, 989.0, 36.0], shoonya_0sNVMLNNEVAMLH, 5703651]
[paragraph, [142.0, 220.0, 989.0, 36.0], shoonya_0sNVMLNNEVAMLH, 5703651]
[paragraph, [142.0, 256.0, 989.0, 36.0], shoonya_0sNVMLNNEVAMLH, 5703651]
[paragraph, [142.0, 292.0, 989.0, 36.0], shoonya_0sNVMLNNEVAMLH, 5703651]
[paragraph, [142.0, 328.0, 989.0, 36.0], shoonya_0sNVMLNNEVAMLH, 5703651]
[paragraph, [142.0, 364.0, 989.0, 36.0], shoonya_0sNVMLNNEVAMLH, 5703651]
[paragraph, [142.0, 400.0, 989.0, 36.0], shoonya_0sNVMLNNEVAMLH, 5703651]
[paragraph, [142.0, 436.0, 989.0, 36.0], shoonya_0sNVMLNNEVAMLH, 5703651]
[paragraph, [142.0, 524.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
[paragraph, [142.0, 560.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
[paragraph, [142.0, 596.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
[paragraph, [142.0, 632.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
[paragraph, [142.0, 668.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
[paragraph, [142.0, 704.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
[paragraph, [142.0, 740.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
[paragraph, [142.0, 776.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
[paragraph, [142.0, 812.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
[paragraph, [142.0, 848.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
[paragraph, [142.0, 884.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
[paragraph, [142.0, 920.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
[paragraph, [142.0, 956.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
[paragraph, [142.0, 992.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
[paragraph, [142.0, 1028.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
[paragraph, [142.0, 1064.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
[paragraph, [142.0, 1100.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
[paragraph, [142.0, 1136.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
[paragraph, [142.0, 1172.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
[paragraph, [142.0, 1208.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
[paragraph, [142.0, 1244.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
[paragraph, [142.0, 1280.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
[paragraph, [142.0, 1316.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
[paragraph, [142.0, 1352.0, 997.0, 36.0], shoonya_1s2U618AFZW8I7, 5703651]
