[1565, 1152]
[paragraph, [729.0, 108.0, 319.0, 36.0], shoonya_5s1J171915OUI8, 5713252]
[paragraph, [729.0, 144.0, 319.0, 36.0], shoonya_5s1J171915OUI8, 5713252]
[paragraph, [729.0, 180.0, 319.0, 36.0], shoonya_5s1J171915OUI8, 5713252]
[paragraph, [729.0, 216.0, 319.0, 36.0], shoonya_5s1J171915OUI8, 5713252]
[paragraph, [729.0, 252.0, 319.0, 36.0], shoonya_5s1J171915OUI8, 5713252]
[paragraph, [729.0, 288.0, 319.0, 36.0], shoonya_5s1J171915OUI8, 5713252]
[paragraph, [729.0, 324.0, 319.0, 36.0], shoonya_5s1J171915OUI8, 5713252]
[paragraph, [729.0, 360.0, 319.0, 36.0], shoonya_5s1J171915OUI8, 5713252]
[paragraph, [729.0, 396.0, 319.0, 36.0], shoonya_5s1J171915OUI8, 5713252]
[paragraph, [730.0, 439.0, 329.0, 36.0], shoonya_2sC6RV6W1QDVUX, 5713252]
[paragraph, [730.0, 475.0, 329.0, 36.0], shoonya_2sC6RV6W1QDVUX, 5713252]
[paragraph, [730.0, 511.0, 329.0, 36.0], shoonya_2sC6RV6W1QDVUX, 5713252]
[paragraph, [730.0, 547.0, 329.0, 36.0], shoonya_2sC6RV6W1QDVUX, 5713252]
[paragraph, [730.0, 583.0, 329.0, 36.0], shoonya_2sC6RV6W1QDVUX, 5713252]
[paragraph, [730.0, 619.0, 329.0, 36.0], shoonya_2sC6RV6W1QDVUX, 5713252]
[paragraph, [730.0, 655.0, 329.0, 36.0], shoonya_2sC6RV6W1QDVUX, 5713252]
[paragraph, [730.0, 691.0, 329.0, 36.0], shoonya_2sC6RV6W1QDVUX, 5713252]
[headline, [111.0, 646.0, 576.0, 37.5], shoonya_7sEGTSBE4BMZVK, 5713252]
[headline, [111.0, 683.5, 576.0, 37.5], shoonya_7sEGTSBE4BMZVK, 5713252]
[headline, [111.0, 721.0, 576.0, 37.5], shoonya_7sEGTSBE4BMZVK, 5713252]
[headline, [111.0, 758.5, 576.0, 37.5], shoonya_7sEGTSBE4BMZVK, 5713252]
[paragraph, [736.0, 758.0, 298.0, 36.0], shoonya_3sKM8U4U53A7FW, 5713252]
[paragraph, [736.0, 794.0, 298.0, 36.0], shoonya_3sKM8U4U53A7FW, 5713252]
[paragraph, [736.0, 830.0, 298.0, 36.0], shoonya_3sKM8U4U53A7FW, 5713252]
[paragraph, [736.0, 866.0, 298.0, 36.0], shoonya_3sKM8U4U53A7FW, 5713252]
[paragraph, [736.0, 902.0, 298.0, 36.0], shoonya_3sKM8U4U53A7FW, 5713252]
[paragraph, [736.0, 938.0, 298.0, 36.0], shoonya_3sKM8U4U53A7FW, 5713252]
[paragraph, [736.0, 974.0, 298.0, 36.0], shoonya_3sKM8U4U53A7FW, 5713252]
[paragraph, [736.0, 1010.0, 298.0, 36.0], shoonya_3sKM8U4U53A7FW, 5713252]
[paragraph, [736.0, 1046.0, 298.0, 36.0], shoonya_3sKM8U4U53A7FW, 5713252]
[paragraph, [736.0, 1082.0, 298.0, 36.0], shoonya_3sKM8U4U53A7FW, 5713252]
[paragraph, [736.0, 1118.0, 298.0, 36.0], shoonya_3sKM8U4U53A7FW, 5713252]
[paragraph, [736.0, 1154.0, 298.0, 36.0], shoonya_3sKM8U4U53A7FW, 5713252]
[paragraph, [736.0, 1190.0, 298.0, 36.0], shoonya_3sKM8U4U53A7FW, 5713252]
[paragraph, [736.0, 1226.0, 298.0, 36.0], shoonya_3sKM8U4U53A7FW, 5713252]
[paragraph, [736.0, 1262.0, 298.0, 36.0], shoonya_3sKM8U4U53A7FW, 5713252]
[paragraph, [736.0, 1298.0, 298.0, 36.0], shoonya_3sKM8U4U53A7FW, 5713252]
[paragraph, [418.0, 806.0, 315.0, 36.0], shoonya_1s73MSA3D56JBQ, 5713252]
[paragraph, [418.0, 842.0, 315.0, 36.0], shoonya_1s73MSA3D56JBQ, 5713252]
[paragraph, [418.0, 878.0, 315.0, 36.0], shoonya_1s73MSA3D56JBQ, 5713252]
[paragraph, [418.0, 914.0, 315.0, 36.0], shoonya_1s73MSA3D56JBQ, 5713252]
[paragraph, [418.0, 950.0, 315.0, 36.0], shoonya_1s73MSA3D56JBQ, 5713252]
[paragraph, [418.0, 986.0, 315.0, 36.0], shoonya_1s73MSA3D56JBQ, 5713252]
[paragraph, [418.0, 1022.0, 315.0, 36.0], shoonya_1s73MSA3D56JBQ, 5713252]
[paragraph, [418.0, 1058.0, 315.0, 36.0], shoonya_1s73MSA3D56JBQ, 5713252]
[paragraph, [418.0, 1094.0, 315.0, 36.0], shoonya_1s73MSA3D56JBQ, 5713252]
[paragraph, [418.0, 1130.0, 315.0, 36.0], shoonya_1s73MSA3D56JBQ, 5713252]
[paragraph, [418.0, 1166.0, 315.0, 36.0], shoonya_1s73MSA3D56JBQ, 5713252]
[paragraph, [418.0, 1202.0, 315.0, 36.0], shoonya_1s73MSA3D56JBQ, 5713252]
[paragraph, [97.0, 820.0, 319.0, 36.0], shoonya_0sG9IYCQ69WVTB, 5713252]
[paragraph, [97.0, 856.0, 319.0, 36.0], shoonya_0sG9IYCQ69WVTB, 5713252]
[paragraph, [97.0, 892.0, 319.0, 36.0], shoonya_0sG9IYCQ69WVTB, 5713252]
[paragraph, [97.0, 928.0, 319.0, 36.0], shoonya_0sG9IYCQ69WVTB, 5713252]
[paragraph, [97.0, 964.0, 319.0, 36.0], shoonya_0sG9IYCQ69WVTB, 5713252]
[paragraph, [97.0, 1000.0, 319.0, 36.0], shoonya_0sG9IYCQ69WVTB, 5713252]
[paragraph, [97.0, 1036.0, 319.0, 36.0], shoonya_0sG9IYCQ69WVTB, 5713252]
[paragraph, [97.0, 1072.0, 319.0, 36.0], shoonya_0sG9IYCQ69WVTB, 5713252]
[paragraph, [97.0, 1108.0, 319.0, 36.0], shoonya_0sG9IYCQ69WVTB, 5713252]
[paragraph, [97.0, 1144.0, 319.0, 36.0], shoonya_0sG9IYCQ69WVTB, 5713252]
[paragraph, [97.0, 1180.0, 319.0, 36.0], shoonya_0sG9IYCQ69WVTB, 5713252]
[paragraph, [97.0, 1216.0, 319.0, 36.0], shoonya_0sG9IYCQ69WVTB, 5713252]
[paragraph, [97.0, 1252.0, 319.0, 36.0], shoonya_0sG9IYCQ69WVTB, 5713252]
[paragraph, [97.0, 1288.0, 319.0, 36.0], shoonya_0sG9IYCQ69WVTB, 5713252]
[paragraph, [97.0, 1324.0, 319.0, 36.0], shoonya_0sG9IYCQ69WVTB, 5713252]
[paragraph, [97.0, 1360.0, 319.0, 36.0], shoonya_0sG9IYCQ69WVTB, 5713252]
[paragraph, [421.0, 1254.0, 308.0, 36.0], shoonya_4sA67VUS8TWW2S, 5713252]
[paragraph, [421.0, 1290.0, 308.0, 36.0], shoonya_4sA67VUS8TWW2S, 5713252]
[paragraph, [421.0, 1326.0, 308.0, 36.0], shoonya_4sA67VUS8TWW2S, 5713252]
[paragraph, [421.0, 1362.0, 308.0, 36.0], shoonya_4sA67VUS8TWW2S, 5713252]
[paragraph, [732.0, 1374.0, 293.0, 36.0], shoonya_8sKCSWTDWT8WNK, 5713252]
[folio, [894.0, 1447.0, 143.0, 36.0], yj6mIVykZf, 5713252]
