[2200, 1700]
[folio, [777.0, 393.0, 160.0, 36.0], shoonya_3sBGSRGHN1BXAS, 5732884]
[paragraph, [452.0, 482.0, 797.0, 36.0], shoonya_1sB8F2AB5RK3EM, 5732884]
[paragraph, [452.0, 518.0, 797.0, 36.0], shoonya_1sB8F2AB5RK3EM, 5732884]
[paragraph, [452.0, 554.0, 797.0, 36.0], shoonya_1sB8F2AB5RK3EM, 5732884]
[paragraph, [452.0, 590.0, 797.0, 36.0], shoonya_1sB8F2AB5RK3EM, 5732884]
[paragraph, [452.0, 626.0, 797.0, 36.0], shoonya_1sB8F2AB5RK3EM, 5732884]
[paragraph, [452.0, 662.0, 797.0, 36.0], shoonya_1sB8F2AB5RK3EM, 5732884]
[paragraph, [452.0, 698.0, 797.0, 36.0], shoonya_1sB8F2AB5RK3EM, 5732884]
[paragraph, [452.0, 734.0, 797.0, 36.0], shoonya_1sB8F2AB5RK3EM, 5732884]
[paragraph, [452.0, 770.0, 797.0, 36.0], shoonya_1sB8F2AB5RK3EM, 5732884]
[paragraph, [452.0, 806.0, 797.0, 36.0], shoonya_1sB8F2AB5RK3EM, 5732884]
[paragraph, [452.0, 842.0, 797.0, 36.0], shoonya_1sB8F2AB5RK3EM, 5732884]
[paragraph, [452.0, 878.0, 797.0, 36.0], shoonya_1sB8F2AB5RK3EM, 5732884]
[paragraph, [452.0, 914.0, 797.0, 36.0], shoonya_1sB8F2AB5RK3EM, 5732884]
[paragraph, [452.0, 950.0, 797.0, 36.0], shoonya_1sB8F2AB5RK3EM, 5732884]
[paragraph, [452.0, 986.0, 797.0, 36.0], shoonya_1sB8F2AB5RK3EM, 5732884]
[paragraph, [452.0, 1022.0, 797.0, 36.0], shoonya_1sB8F2AB5RK3EM, 5732884]
[paragraph, [452.0, 1058.0, 797.0, 36.0], shoonya_1sB8F2AB5RK3EM, 5732884]
[paragraph, [452.0, 1094.0, 797.0, 36.0], shoonya_1sB8F2AB5RK3EM, 5732884]
[paragraph, [457.0, 1148.0, 791.0, 36.0], shoonya_2sARDFMSZ78DDK, 5732884]
[paragraph, [457.0, 1184.0, 791.0, 36.0], shoonya_2sARDFMSZ78DDK, 5732884]
[paragraph, [457.0, 1220.0, 791.0, 36.0], shoonya_2sARDFMSZ78DDK, 5732884]
[paragraph, [458.0, 1272.0, 789.0, 36.0], shoonya_0s70MPDLWTWCJU, 5732884]
[paragraph, [458.0, 1308.0, 789.0, 36.0], shoonya_0s70MPDLWTWCJU, 5732884]
[paragraph, [458.0, 1344.0, 789.0, 36.0], shoonya_0s70MPDLWTWCJU, 5732884]
[paragraph, [458.0, 1380.0, 789.0, 36.0], shoonya_0s70MPDLWTWCJU, 5732884]
[paragraph, [458.0, 1416.0, 789.0, 36.0], shoonya_0s70MPDLWTWCJU, 5732884]
[paragraph, [458.0, 1452.0, 789.0, 36.0], shoonya_0s70MPDLWTWCJU, 5732884]
[paragraph, [458.0, 1488.0, 789.0, 36.0], shoonya_0s70MPDLWTWCJU, 5732884]
[paragraph, [458.0, 1524.0, 789.0, 36.0], shoonya_0s70MPDLWTWCJU, 5732884]
[paragraph, [458.0, 1560.0, 789.0, 36.0], shoonya_0s70MPDLWTWCJU, 5732884]
[paragraph, [458.0, 1596.0, 789.0, 36.0], shoonya_0s70MPDLWTWCJU, 5732884]
[paragraph, [458.0, 1632.0, 789.0, 36.0], shoonya_0s70MPDLWTWCJU, 5732884]
[paragraph, [458.0, 1668.0, 789.0, 36.0], shoonya_0s70MPDLWTWCJU, 5732884]
[paragraph, [458.0, 1704.0, 789.0, 36.0], shoonya_0s70MPDLWTWCJU, 5732884]
[footnote, [1290.0, 2028.0, 246.0, 36.0], 8qphMZcSIf, 5732884]
[footnote, [1290.0, 2064.0, 246.0, 36.0], 8qphMZcSIf, 5732884]
[folio, [800.0, 2106.0, 199.0, 36.0], MsgBb-7kVB, 5732884]
