[2200, 1700]
[paragraph, [373.0, 115.0, 1133.0, 36.0], shoonya_2sPDA90KE3BXRE, 5733549]
[paragraph, [373.0, 151.0, 1133.0, 36.0], shoonya_2sPDA90KE3BXRE, 5733549]
[paragraph, [373.0, 187.0, 1133.0, 36.0], shoonya_2sPDA90KE3BXRE, 5733549]
[paragraph, [373.0, 223.0, 1133.0, 36.0], shoonya_2sPDA90KE3BXRE, 5733549]
[paragraph, [373.0, 259.0, 1133.0, 36.0], shoonya_2sPDA90KE3BXRE, 5733549]
[paragraph, [373.0, 295.0, 1133.0, 36.0], shoonya_2sPDA90KE3BXRE, 5733549]
[paragraph, [373.0, 331.0, 1133.0, 36.0], shoonya_2sPDA90KE3BXRE, 5733549]
[paragraph, [373.0, 367.0, 1133.0, 36.0], shoonya_2sPDA90KE3BXRE, 5733549]
[paragraph, [373.0, 403.0, 1133.0, 36.0], shoonya_2sPDA90KE3BXRE, 5733549]
[paragraph, [373.0, 439.0, 1133.0, 36.0], shoonya_2sPDA90KE3BXRE, 5733549]
[paragraph, [372.0, 507.0, 1133.0, 36.0], shoonya_0sE88V72MWHMSS, 5733549]
[paragraph, [372.0, 543.0, 1133.0, 36.0], shoonya_0sE88V72MWHMSS, 5733549]
[paragraph, [372.0, 579.0, 1133.0, 36.0], shoonya_0sE88V72MWHMSS, 5733549]
[paragraph, [372.0, 615.0, 1133.0, 36.0], shoonya_0sE88V72MWHMSS, 5733549]
[paragraph, [372.0, 651.0, 1133.0, 36.0], shoonya_0sE88V72MWHMSS, 5733549]
[paragraph, [372.0, 687.0, 1133.0, 36.0], shoonya_0sE88V72MWHMSS, 5733549]
[paragraph, [372.0, 723.0, 1133.0, 36.0], shoonya_0sE88V72MWHMSS, 5733549]
[paragraph, [372.0, 759.0, 1133.0, 36.0], shoonya_0sE88V72MWHMSS, 5733549]
[paragraph, [372.0, 795.0, 1133.0, 36.0], shoonya_0sE88V72MWHMSS, 5733549]
[paragraph, [372.0, 831.0, 1133.0, 36.0], shoonya_0sE88V72MWHMSS, 5733549]
[paragraph, [372.0, 867.0, 1133.0, 36.0], shoonya_0sE88V72MWHMSS, 5733549]
[paragraph, [372.0, 903.0, 1133.0, 36.0], shoonya_0sE88V72MWHMSS, 5733549]
[paragraph, [372.0, 939.0, 1133.0, 36.0], shoonya_0sE88V72MWHMSS, 5733549]
[paragraph, [372.0, 975.0, 1133.0, 36.0], shoonya_0sE88V72MWHMSS, 5733549]
[paragraph, [372.0, 1011.0, 1133.0, 36.0], shoonya_0sE88V72MWHMSS, 5733549]
[paragraph, [372.0, 1047.0, 1133.0, 36.0], shoonya_0sE88V72MWHMSS, 5733549]
[paragraph, [372.0, 1083.0, 1133.0, 36.0], shoonya_0sE88V72MWHMSS, 5733549]
[paragraph, [372.0, 1119.0, 1133.0, 36.0], shoonya_0sE88V72MWHMSS, 5733549]
[paragraph, [373.0, 1201.0, 1131.0, 36.0], shoonya_1sWBRXR7CFU3MV, 5733549]
[paragraph, [373.0, 1237.0, 1131.0, 36.0], shoonya_1sWBRXR7CFU3MV, 5733549]
[paragraph, [373.0, 1273.0, 1131.0, 36.0], shoonya_1sWBRXR7CFU3MV, 5733549]
[paragraph, [373.0, 1309.0, 1131.0, 36.0], shoonya_1sWBRXR7CFU3MV, 5733549]
[paragraph, [373.0, 1345.0, 1131.0, 36.0], shoonya_1sWBRXR7CFU3MV, 5733549]
[paragraph, [373.0, 1381.0, 1131.0, 36.0], shoonya_1sWBRXR7CFU3MV, 5733549]
[paragraph, [373.0, 1417.0, 1131.0, 36.0], shoonya_1sWBRXR7CFU3MV, 5733549]
[paragraph, [373.0, 1453.0, 1131.0, 36.0], shoonya_1sWBRXR7CFU3MV, 5733549]
[paragraph, [373.0, 1489.0, 1131.0, 36.0], shoonya_1sWBRXR7CFU3MV, 5733549]
[paragraph, [373.0, 1525.0, 1131.0, 36.0], shoonya_1sWBRXR7CFU3MV, 5733549]
[paragraph, [373.0, 1561.0, 1131.0, 36.0], shoonya_1sWBRXR7CFU3MV, 5733549]
[paragraph, [373.0, 1597.0, 1131.0, 36.0], shoonya_1sWBRXR7CFU3MV, 5733549]
[paragraph, [373.0, 1633.0, 1131.0, 36.0], shoonya_1sWBRXR7CFU3MV, 5733549]
[paragraph, [373.0, 1669.0, 1131.0, 36.0], shoonya_1sWBRXR7CFU3MV, 5733549]
[paragraph, [373.0, 1705.0, 1131.0, 36.0], shoonya_1sWBRXR7CFU3MV, 5733549]
[paragraph, [373.0, 1741.0, 1131.0, 36.0], shoonya_1sWBRXR7CFU3MV, 5733549]
[paragraph, [373.0, 1777.0, 1131.0, 36.0], shoonya_1sWBRXR7CFU3MV, 5733549]
[paragraph, [373.0, 1813.0, 1131.0, 36.0], shoonya_1sWBRXR7CFU3MV, 5733549]
[paragraph, [373.0, 1849.0, 1131.0, 36.0], shoonya_1sWBRXR7CFU3MV, 5733549]
[paragraph, [373.0, 1885.0, 1131.0, 36.0], shoonya_1sWBRXR7CFU3MV, 5733549]
[paragraph, [373.0, 1921.0, 1131.0, 36.0], shoonya_1sWBRXR7CFU3MV, 5733549]
[paragraph, [373.0, 1957.0, 1131.0, 36.0], shoonya_1sWBRXR7CFU3MV, 5733549]
[paragraph, [373.0, 1993.0, 1131.0, 36.0], shoonya_1sWBRXR7CFU3MV, 5733549]
