[2200, 1700]
[paragraph, [315.0, 73.0, 1098.0, 36.0], shoonya_1sP22GSIP57N7X, 5731458]
[paragraph, [315.0, 109.0, 1098.0, 36.0], shoonya_1sP22GSIP57N7X, 5731458]
[paragraph, [315.0, 145.0, 1098.0, 36.0], shoonya_1sP22GSIP57N7X, 5731458]
[paragraph, [315.0, 181.0, 1098.0, 36.0], shoonya_1sP22GSIP57N7X, 5731458]
[paragraph, [315.0, 217.0, 1098.0, 36.0], shoonya_1sP22GSIP57N7X, 5731458]
[paragraph, [315.0, 253.0, 1098.0, 36.0], shoonya_1sP22GSIP57N7X, 5731458]
[paragraph, [315.0, 289.0, 1098.0, 36.0], shoonya_1sP22GSIP57N7X, 5731458]
[paragraph, [315.0, 325.0, 1098.0, 36.0], shoonya_1sP22GSIP57N7X, 5731458]
[paragraph, [315.0, 361.0, 1098.0, 36.0], shoonya_1sP22GSIP57N7X, 5731458]
[paragraph, [315.0, 397.0, 1098.0, 36.0], shoonya_1sP22GSIP57N7X, 5731458]
[paragraph, [315.0, 433.0, 1098.0, 36.0], shoonya_1sP22GSIP57N7X, 5731458]
[paragraph, [315.0, 469.0, 1098.0, 36.0], shoonya_1sP22GSIP57N7X, 5731458]
[paragraph, [315.0, 505.0, 1098.0, 36.0], shoonya_1sP22GSIP57N7X, 5731458]
[paragraph, [315.0, 541.0, 1098.0, 36.0], shoonya_1sP22GSIP57N7X, 5731458]
[paragraph, [315.0, 577.0, 1098.0, 36.0], shoonya_1sP22GSIP57N7X, 5731458]
[paragraph, [315.0, 613.0, 1098.0, 36.0], shoonya_1sP22GSIP57N7X, 5731458]
[paragraph, [315.0, 649.0, 1098.0, 36.0], shoonya_1sP22GSIP57N7X, 5731458]
[paragraph, [315.0, 685.0, 1098.0, 36.0], shoonya_1sP22GSIP57N7X, 5731458]
[paragraph, [315.0, 721.0, 1098.0, 36.0], shoonya_1sP22GSIP57N7X, 5731458]
[paragraph, [315.0, 757.0, 1098.0, 36.0], shoonya_1sP22GSIP57N7X, 5731458]
[paragraph, [328.0, 823.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 859.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 895.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 931.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 967.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1003.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1039.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1075.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1111.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1147.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1183.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1219.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1255.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1291.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1327.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1363.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1399.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1435.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1471.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1507.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1543.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1579.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1615.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1651.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1687.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1723.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1759.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1795.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1831.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1867.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[paragraph, [328.0, 1903.0, 1090.0, 36.0], shoonya_0sQWL3A8WOTPOF, 5731458]
[folio, [929.0, 2017.0, 379.0, 36.0], NkA9e7FlgP, 5731458]
