[1164, 755]
[chapter-title, [214.0, 281.0, 309.0, 30.0], shoonya_4sDCGD8B1DE5W9, 5692078]
[chapter-title, [214.0, 311.0, 309.0, 30.0], shoonya_4sDCGD8B1DE5W9, 5692078]
[paragraph, [76.0, 379.0, 599.0, 18.0], shoonya_2sUWRH4NGCD64G, 5692078]
[paragraph, [76.0, 397.0, 599.0, 18.0], shoonya_2sUWRH4NGCD64G, 5692078]
[paragraph, [76.0, 415.0, 599.0, 18.0], shoonya_2sUWRH4NGCD64G, 5692078]
[paragraph, [76.0, 433.0, 599.0, 18.0], shoonya_2sUWRH4NGCD64G, 5692078]
[paragraph, [76.0, 451.0, 599.0, 18.0], shoonya_2sUWRH4NGCD64G, 5692078]
[paragraph, [79.0, 484.0, 598.0, 18.0], shoonya_0sYKF3T0RB52BP, 5692078]
[paragraph, [79.0, 502.0, 598.0, 18.0], shoonya_0sYKF3T0RB52BP, 5692078]
[paragraph, [79.0, 520.0, 598.0, 18.0], shoonya_0sYKF3T0RB52BP, 5692078]
[paragraph, [79.0, 538.0, 598.0, 18.0], shoonya_0sYKF3T0RB52BP, 5692078]
[paragraph, [79.0, 556.0, 598.0, 18.0], shoonya_0sYKF3T0RB52BP, 5692078]
[paragraph, [79.0, 574.0, 598.0, 18.0], shoonya_0sYKF3T0RB52BP, 5692078]
[paragraph, [79.0, 592.0, 598.0, 18.0], shoonya_0sYKF3T0RB52BP, 5692078]
[paragraph, [79.0, 610.0, 598.0, 18.0], shoonya_0sYKF3T0RB52BP, 5692078]
[paragraph, [79.0, 628.0, 598.0, 18.0], shoonya_0sYKF3T0RB52BP, 5692078]
[paragraph, [79.0, 646.0, 598.0, 18.0], shoonya_0sYKF3T0RB52BP, 5692078]
[paragraph, [79.0, 664.0, 598.0, 18.0], shoonya_0sYKF3T0RB52BP, 5692078]
[paragraph, [79.0, 682.0, 598.0, 18.0], shoonya_0sYKF3T0RB52BP, 5692078]
[paragraph, [79.0, 700.0, 598.0, 18.0], shoonya_0sYKF3T0RB52BP, 5692078]
[paragraph, [79.0, 718.0, 598.0, 18.0], shoonya_0sYKF3T0RB52BP, 5692078]
[paragraph, [79.0, 736.0, 598.0, 18.0], shoonya_0sYKF3T0RB52BP, 5692078]
[paragraph, [80.0, 768.0, 596.0, 18.0], shoonya_3sRNE4CLQ23ATE, 5692078]
[paragraph, [80.0, 786.0, 596.0, 18.0], shoonya_3sRNE4CLQ23ATE, 5692078]
[paragraph, [80.0, 804.0, 596.0, 18.0], shoonya_3sRNE4CLQ23ATE, 5692078]
[paragraph, [80.0, 822.0, 596.0, 18.0], shoonya_3sRNE4CLQ23ATE, 5692078]
[paragraph, [80.0, 840.0, 596.0, 18.0], shoonya_3sRNE4CLQ23ATE, 5692078]
