[842, 595]
[folio, [356.0, 66.0, 94.0, 18.0], elwj-7DJf7, 5768023]
[paragraph, [57.0, 95.0, 478.0, 18.0], mJghJ5HgXx, 5768023]
[paragraph, [57.0, 113.0, 478.0, 18.0], mJghJ5HgXx, 5768023]
[paragraph, [57.0, 131.0, 478.0, 18.0], mJghJ5HgXx, 5768023]
[paragraph, [55.0, 150.0, 482.0, 18.0], NFk5v1D9YO, 5768023]
[paragraph, [55.0, 168.0, 482.0, 18.0], NFk5v1D9YO, 5768023]
[paragraph, [55.0, 186.0, 482.0, 18.0], NFk5v1D9YO, 5768023]
[paragraph, [55.0, 204.0, 482.0, 18.0], NFk5v1D9YO, 5768023]
[paragraph, [55.0, 222.0, 482.0, 18.0], NFk5v1D9YO, 5768023]
[paragraph, [55.0, 240.0, 482.0, 18.0], NFk5v1D9YO, 5768023]
[paragraph, [54.0, 259.0, 486.0, 18.0], g4ZBavP8CU, 5768023]
[paragraph, [54.0, 277.0, 486.0, 18.0], g4ZBavP8CU, 5768023]
[paragraph, [54.0, 295.0, 486.0, 18.0], g4ZBavP8CU, 5768023]
[paragraph, [54.0, 313.0, 486.0, 18.0], g4ZBavP8CU, 5768023]
[paragraph, [52.0, 335.0, 484.0, 18.0], 3B-jU74DHV, 5768023]
[paragraph, [52.0, 353.0, 484.0, 18.0], 3B-jU74DHV, 5768023]
[paragraph, [52.0, 371.0, 484.0, 18.0], 3B-jU74DHV, 5768023]
[paragraph, [54.0, 421.0, 303.0, 18.0], hLARtl5PK5, 5768023]
[paragraph, [54.0, 439.0, 303.0, 18.0], hLARtl5PK5, 5768023]
[paragraph, [54.0, 457.0, 303.0, 18.0], hLARtl5PK5, 5768023]
[paragraph, [54.0, 475.0, 303.0, 18.0], hLARtl5PK5, 5768023]
[paragraph, [54.0, 493.0, 303.0, 18.0], hLARtl5PK5, 5768023]
[paragraph, [54.0, 511.0, 303.0, 18.0], hLARtl5PK5, 5768023]
[paragraph, [54.0, 529.0, 303.0, 18.0], hLARtl5PK5, 5768023]
[paragraph, [52.0, 548.0, 305.0, 18.0], _NE_-xjDw9, 5768023]
[paragraph, [52.0, 566.0, 305.0, 18.0], _NE_-xjDw9, 5768023]
[paragraph, [52.0, 584.0, 305.0, 18.0], _NE_-xjDw9, 5768023]
[paragraph, [52.0, 602.0, 305.0, 18.0], _NE_-xjDw9, 5768023]
[paragraph, [52.0, 620.0, 305.0, 18.0], _NE_-xjDw9, 5768023]
[paragraph, [52.0, 638.0, 305.0, 18.0], _NE_-xjDw9, 5768023]
[paragraph, [52.0, 656.0, 305.0, 18.0], _NE_-xjDw9, 5768023]
[paragraph, [52.0, 674.0, 305.0, 18.0], _NE_-xjDw9, 5768023]
[paragraph, [55.0, 702.0, 483.0, 18.0], jN1ensR_rh, 5768023]
[paragraph, [55.0, 720.0, 483.0, 18.0], jN1ensR_rh, 5768023]
[footnote, [332.0, 743.0, 202.0, 18.0], OzYOnY-ArB, 5768023]
[footnote, [332.0, 761.0, 202.0, 18.0], OzYOnY-ArB, 5768023]
