[792, 612]
[folio, [58.0, 55.0, 105.0, 18.0], G_6YwWFFAw, 6516316]
[headline, [254.0, 100.0, 104.0, 25.5], 9-XWS6UvmL, 6516316]
[author, [270.0, 134.0, 71.0, 18.0], -mqe7lfcPZ, 6516316]
[paragraph, [58.0, 179.0, 164.0, 18.0], DZVBT4_qbP, 6516316]
[paragraph, [58.0, 197.0, 164.0, 18.0], DZVBT4_qbP, 6516316]
[paragraph, [58.0, 215.0, 164.0, 18.0], DZVBT4_qbP, 6516316]
[paragraph, [58.0, 233.0, 164.0, 18.0], DZVBT4_qbP, 6516316]
[paragraph, [58.0, 251.0, 164.0, 18.0], DZVBT4_qbP, 6516316]
[paragraph, [58.0, 269.0, 164.0, 18.0], DZVBT4_qbP, 6516316]
[paragraph, [58.0, 287.0, 164.0, 18.0], DZVBT4_qbP, 6516316]
[paragraph, [58.0, 305.0, 164.0, 18.0], DZVBT4_qbP, 6516316]
[paragraph, [62.0, 335.0, 157.0, 18.0], AsEWc3S4Db, 6516316]
[paragraph, [62.0, 353.0, 157.0, 18.0], AsEWc3S4Db, 6516316]
[paragraph, [64.0, 387.0, 156.0, 18.0], dGwDdMOe2l, 6516316]
[paragraph, [64.0, 405.0, 156.0, 18.0], dGwDdMOe2l, 6516316]
[paragraph, [229.0, 394.0, 155.0, 18.0], hRFdP0PK2F, 6516316]
[paragraph, [229.0, 412.0, 155.0, 18.0], hRFdP0PK2F, 6516316]
[paragraph, [229.0, 430.0, 155.0, 18.0], hRFdP0PK2F, 6516316]
[paragraph, [393.0, 411.0, 159.0, 18.0], WwkOVJ4hSa, 6516316]
[paragraph, [393.0, 429.0, 159.0, 18.0], WwkOVJ4hSa, 6516316]
[paragraph, [393.0, 447.0, 159.0, 18.0], WwkOVJ4hSa, 6516316]
[paragraph, [393.0, 465.0, 159.0, 18.0], WwkOVJ4hSa, 6516316]
[paragraph, [393.0, 483.0, 159.0, 18.0], WwkOVJ4hSa, 6516316]
[paragraph, [63.0, 428.0, 159.0, 18.0], wr9xEy9mqt, 6516316]
[paragraph, [63.0, 446.0, 159.0, 18.0], wr9xEy9mqt, 6516316]
[paragraph, [63.0, 464.0, 159.0, 18.0], wr9xEy9mqt, 6516316]
[paragraph, [63.0, 482.0, 159.0, 18.0], wr9xEy9mqt, 6516316]
[paragraph, [63.0, 500.0, 159.0, 18.0], wr9xEy9mqt, 6516316]
[paragraph, [228.0, 465.0, 156.0, 18.0], XiOYxGetIX, 6516316]
[paragraph, [228.0, 483.0, 156.0, 18.0], XiOYxGetIX, 6516316]
[paragraph, [228.0, 501.0, 156.0, 18.0], XiOYxGetIX, 6516316]
[paragraph, [228.0, 519.0, 156.0, 18.0], XiOYxGetIX, 6516316]
[paragraph, [228.0, 537.0, 156.0, 18.0], XiOYxGetIX, 6516316]
[paragraph, [228.0, 555.0, 156.0, 18.0], XiOYxGetIX, 6516316]
[paragraph, [391.0, 517.0, 159.0, 18.0], 6dRDTKFt7F, 6516316]
[paragraph, [391.0, 535.0, 159.0, 18.0], 6dRDTKFt7F, 6516316]
[paragraph, [391.0, 553.0, 159.0, 18.0], 6dRDTKFt7F, 6516316]
[paragraph, [391.0, 571.0, 159.0, 18.0], 6dRDTKFt7F, 6516316]
[paragraph, [391.0, 589.0, 159.0, 18.0], 6dRDTKFt7F, 6516316]
[paragraph, [391.0, 607.0, 159.0, 18.0], 6dRDTKFt7F, 6516316]
[paragraph, [391.0, 625.0, 159.0, 18.0], 6dRDTKFt7F, 6516316]
[paragraph, [391.0, 643.0, 159.0, 18.0], 6dRDTKFt7F, 6516316]
[paragraph, [391.0, 661.0, 159.0, 18.0], 6dRDTKFt7F, 6516316]
[paragraph, [391.0, 679.0, 159.0, 18.0], 6dRDTKFt7F, 6516316]
[paragraph, [61.0, 534.0, 158.0, 18.0], w53r0MW568, 6516316]
[paragraph, [61.0, 552.0, 158.0, 18.0], w53r0MW568, 6516316]
[paragraph, [61.0, 570.0, 158.0, 18.0], w53r0MW568, 6516316]
[paragraph, [61.0, 588.0, 158.0, 18.0], w53r0MW568, 6516316]
[paragraph, [61.0, 606.0, 158.0, 18.0], w53r0MW568, 6516316]
[paragraph, [61.0, 624.0, 158.0, 18.0], w53r0MW568, 6516316]
[paragraph, [61.0, 642.0, 158.0, 18.0], w53r0MW568, 6516316]
[paragraph, [61.0, 660.0, 158.0, 18.0], w53r0MW568, 6516316]
[paragraph, [61.0, 678.0, 158.0, 18.0], w53r0MW568, 6516316]
[paragraph, [61.0, 696.0, 158.0, 18.0], w53r0MW568, 6516316]
[paragraph, [226.0, 584.0, 158.0, 18.0], U_38q8fWos, 6516316]
[paragraph, [226.0, 602.0, 158.0, 18.0], U_38q8fWos, 6516316]
[paragraph, [226.0, 620.0, 158.0, 18.0], U_38q8fWos, 6516316]
[paragraph, [226.0, 638.0, 158.0, 18.0], U_38q8fWos, 6516316]
[paragraph, [226.0, 656.0, 158.0, 18.0], U_38q8fWos, 6516316]
[paragraph, [226.0, 674.0, 158.0, 18.0], U_38q8fWos, 6516316]
[paragraph, [226.0, 692.0, 158.0, 18.0], U_38q8fWos, 6516316]
[folio, [412.0, 725.0, 32.0, 18.0], -zcjBGxhhU, 6516316]
