[1347, 847]
[paragraph, [35.0, 35.0, 768.0, 18.0], gdVpAOIYrt, 5660700]
[paragraph, [35.0, 53.0, 768.0, 18.0], gdVpAOIYrt, 5660700]
[paragraph, [35.0, 71.0, 768.0, 18.0], gdVpAOIYrt, 5660700]
[paragraph, [35.0, 89.0, 768.0, 18.0], gdVpAOIYrt, 5660700]
[paragraph, [35.0, 107.0, 768.0, 18.0], gdVpAOIYrt, 5660700]
[paragraph, [35.0, 125.0, 768.0, 18.0], gdVpAOIYrt, 5660700]
[paragraph, [35.0, 143.0, 768.0, 18.0], gdVpAOIYrt, 5660700]
[paragraph, [35.0, 161.0, 768.0, 18.0], gdVpAOIYrt, 5660700]
[paragraph, [35.0, 179.0, 768.0, 18.0], gdVpAOIYrt, 5660700]
[paragraph, [35.0, 197.0, 768.0, 18.0], gdVpAOIYrt, 5660700]
[paragraph, [35.0, 215.0, 768.0, 18.0], gdVpAOIYrt, 5660700]
[paragraph, [35.0, 233.0, 768.0, 18.0], gdVpAOIYrt, 5660700]
[paragraph, [35.0, 251.0, 768.0, 18.0], gdVpAOIYrt, 5660700]
[paragraph, [35.0, 269.0, 768.0, 18.0], gdVpAOIYrt, 5660700]
[paragraph, [35.0, 287.0, 768.0, 18.0], gdVpAOIYrt, 5660700]
[paragraph, [35.0, 305.0, 768.0, 18.0], gdVpAOIYrt, 5660700]
[paragraph, [35.0, 323.0, 768.0, 18.0], gdVpAOIYrt, 5660700]
[paragraph, [35.0, 341.0, 768.0, 18.0], gdVpAOIYrt, 5660700]
[paragraph, [35.0, 359.0, 768.0, 18.0], gdVpAOIYrt, 5660700]
[paragraph, [35.0, 377.0, 768.0, 18.0], gdVpAOIYrt, 5660700]
[paragraph, [37.0, 403.0, 762.0, 18.0], 9qhhAm01pS, 5660700]
[paragraph, [37.0, 421.0, 762.0, 18.0], 9qhhAm01pS, 5660700]
[paragraph, [37.0, 439.0, 762.0, 18.0], 9qhhAm01pS, 5660700]
[paragraph, [37.0, 457.0, 762.0, 18.0], 9qhhAm01pS, 5660700]
[paragraph, [37.0, 475.0, 762.0, 18.0], 9qhhAm01pS, 5660700]
[paragraph, [37.0, 493.0, 762.0, 18.0], 9qhhAm01pS, 5660700]
[paragraph, [37.0, 511.0, 762.0, 18.0], 9qhhAm01pS, 5660700]
[paragraph, [37.0, 529.0, 762.0, 18.0], 9qhhAm01pS, 5660700]
