[1638, 1048]
[paragraph, [112.0, 161.0, 834.0, 36.0], bVGSJ8ifeb, 5681629]
[paragraph, [112.0, 197.0, 834.0, 36.0], bVGSJ8ifeb, 5681629]
[paragraph, [112.0, 233.0, 834.0, 36.0], bVGSJ8ifeb, 5681629]
[paragraph, [112.0, 269.0, 834.0, 36.0], bVGSJ8ifeb, 5681629]
[paragraph, [112.0, 305.0, 834.0, 36.0], bVGSJ8ifeb, 5681629]
[paragraph, [112.0, 341.0, 834.0, 36.0], bVGSJ8ifeb, 5681629]
[paragraph, [112.0, 377.0, 834.0, 36.0], bVGSJ8ifeb, 5681629]
[paragraph, [112.0, 413.0, 834.0, 36.0], bVGSJ8ifeb, 5681629]
[paragraph, [112.0, 449.0, 834.0, 36.0], bVGSJ8ifeb, 5681629]
[paragraph, [112.0, 485.0, 834.0, 36.0], bVGSJ8ifeb, 5681629]
[paragraph, [112.0, 521.0, 834.0, 36.0], bVGSJ8ifeb, 5681629]
[paragraph, [112.0, 557.0, 834.0, 36.0], bVGSJ8ifeb, 5681629]
[paragraph, [112.0, 593.0, 834.0, 36.0], bVGSJ8ifeb, 5681629]
[paragraph, [110.0, 636.0, 839.0, 36.0], XMTSD_lHow, 5681629]
[paragraph, [110.0, 672.0, 839.0, 36.0], XMTSD_lHow, 5681629]
[paragraph, [110.0, 708.0, 839.0, 36.0], XMTSD_lHow, 5681629]
[paragraph, [110.0, 744.0, 839.0, 36.0], XMTSD_lHow, 5681629]
[paragraph, [110.0, 780.0, 839.0, 36.0], XMTSD_lHow, 5681629]
[paragraph, [110.0, 816.0, 839.0, 36.0], XMTSD_lHow, 5681629]
[paragraph, [110.0, 852.0, 839.0, 36.0], XMTSD_lHow, 5681629]
[paragraph, [110.0, 888.0, 839.0, 36.0], XMTSD_lHow, 5681629]
[paragraph, [110.0, 924.0, 839.0, 36.0], XMTSD_lHow, 5681629]
[paragraph, [110.0, 960.0, 839.0, 36.0], XMTSD_lHow, 5681629]
[paragraph, [184.0, 1023.0, 690.0, 36.0], mLUmCqSMxW, 5681629]
[paragraph, [111.0, 1108.0, 149.0, 36.0], kGhNYelEql, 5681629]
[paragraph, [100.0, 1155.0, 839.0, 36.0], JRvbVhQPuj, 5681629]
[paragraph, [100.0, 1191.0, 839.0, 36.0], JRvbVhQPuj, 5681629]
[paragraph, [100.0, 1227.0, 839.0, 36.0], JRvbVhQPuj, 5681629]
[paragraph, [100.0, 1263.0, 839.0, 36.0], JRvbVhQPuj, 5681629]
[paragraph, [100.0, 1299.0, 839.0, 36.0], JRvbVhQPuj, 5681629]
[paragraph, [100.0, 1335.0, 839.0, 36.0], JRvbVhQPuj, 5681629]
[paragraph, [100.0, 1371.0, 839.0, 36.0], JRvbVhQPuj, 5681629]
[paragraph, [100.0, 1407.0, 839.0, 36.0], JRvbVhQPuj, 5681629]
[paragraph, [100.0, 1443.0, 839.0, 36.0], JRvbVhQPuj, 5681629]
[paragraph, [100.0, 1479.0, 839.0, 36.0], JRvbVhQPuj, 5681629]
