[1755, 1240]
[paragraph, [176.0, 186.0, 885.0, 36.0], shoonya_2sDJZN9NRMNRH4, 5703734]
[paragraph, [176.0, 222.0, 885.0, 36.0], shoonya_2sDJZN9NRMNRH4, 5703734]
[paragraph, [176.0, 258.0, 885.0, 36.0], shoonya_2sDJZN9NRMNRH4, 5703734]
[paragraph, [176.0, 294.0, 885.0, 36.0], shoonya_2sDJZN9NRMNRH4, 5703734]
[paragraph, [176.0, 330.0, 885.0, 36.0], shoonya_2sDJZN9NRMNRH4, 5703734]
[paragraph, [176.0, 366.0, 885.0, 36.0], shoonya_2sDJZN9NRMNRH4, 5703734]
[paragraph, [176.0, 402.0, 885.0, 36.0], shoonya_2sDJZN9NRMNRH4, 5703734]
[paragraph, [175.0, 495.0, 885.0, 36.0], shoonya_0sK02G3JCE4SBA, 5703734]
[paragraph, [175.0, 531.0, 885.0, 36.0], shoonya_0sK02G3JCE4SBA, 5703734]
[paragraph, [175.0, 567.0, 885.0, 36.0], shoonya_0sK02G3JCE4SBA, 5703734]
[paragraph, [175.0, 603.0, 885.0, 36.0], shoonya_0sK02G3JCE4SBA, 5703734]
[paragraph, [175.0, 639.0, 885.0, 36.0], shoonya_0sK02G3JCE4SBA, 5703734]
[paragraph, [175.0, 675.0, 885.0, 36.0], shoonya_0sK02G3JCE4SBA, 5703734]
[paragraph, [175.0, 711.0, 885.0, 36.0], shoonya_0sK02G3JCE4SBA, 5703734]
[paragraph, [175.0, 747.0, 885.0, 36.0], shoonya_0sK02G3JCE4SBA, 5703734]
[paragraph, [175.0, 783.0, 885.0, 36.0], shoonya_0sK02G3JCE4SBA, 5703734]
[paragraph, [175.0, 819.0, 885.0, 36.0], shoonya_0sK02G3JCE4SBA, 5703734]
[paragraph, [177.0, 918.0, 883.0, 36.0], shoonya_3s4QUR8CB7N049, 5703734]
[paragraph, [177.0, 954.0, 883.0, 36.0], shoonya_3s4QUR8CB7N049, 5703734]
[paragraph, [177.0, 990.0, 883.0, 36.0], shoonya_3s4QUR8CB7N049, 5703734]
[paragraph, [177.0, 1026.0, 883.0, 36.0], shoonya_3s4QUR8CB7N049, 5703734]
[paragraph, [177.0, 1062.0, 883.0, 36.0], shoonya_3s4QUR8CB7N049, 5703734]
[paragraph, [177.0, 1098.0, 883.0, 36.0], shoonya_3s4QUR8CB7N049, 5703734]
[paragraph, [175.0, 1170.0, 888.0, 36.0], shoonya_1s5118KEMT51QL, 5703734]
[paragraph, [175.0, 1206.0, 888.0, 36.0], shoonya_1s5118KEMT51QL, 5703734]
[paragraph, [175.0, 1242.0, 888.0, 36.0], shoonya_1s5118KEMT51QL, 5703734]
[paragraph, [175.0, 1278.0, 888.0, 36.0], shoonya_1s5118KEMT51QL, 5703734]
[paragraph, [175.0, 1314.0, 888.0, 36.0], shoonya_1s5118KEMT51QL, 5703734]
[paragraph, [175.0, 1350.0, 888.0, 36.0], shoonya_1s5118KEMT51QL, 5703734]
[paragraph, [175.0, 1386.0, 888.0, 36.0], shoonya_1s5118KEMT51QL, 5703734]
[paragraph, [175.0, 1422.0, 888.0, 36.0], shoonya_1s5118KEMT51QL, 5703734]
[paragraph, [175.0, 1458.0, 888.0, 36.0], shoonya_1s5118KEMT51QL, 5703734]
