[1545, 2000]
[section-title, [66.0, 96.0, 269.0, 49.5], Qri_x8dqse, 6491269]
[paragraph, [73.0, 216.0, 513.0, 36.0], kbNNPzTvy9, 6491269]
[paragraph, [73.0, 252.0, 513.0, 36.0], kbNNPzTvy9, 6491269]
[paragraph, [73.0, 288.0, 513.0, 36.0], kbNNPzTvy9, 6491269]
[paragraph, [73.0, 324.0, 513.0, 36.0], kbNNPzTvy9, 6491269]
[paragraph, [73.0, 360.0, 513.0, 36.0], kbNNPzTvy9, 6491269]
[paragraph, [73.0, 396.0, 513.0, 36.0], kbNNPzTvy9, 6491269]
[unordered-list, [49.0, 608.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 644.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 680.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 716.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 752.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 788.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 824.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 860.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 896.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 932.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 968.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 1004.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 1040.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 1076.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 1112.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 1148.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 1184.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 1220.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 1256.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 1292.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 1328.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 1364.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 1400.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 1436.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 1472.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[unordered-list, [49.0, 1508.0, 568.0, 36.0], rA0z1_3tDh, 6491269]
[headline, [717.0, 748.0, 559.0, 37.5], 6oid59ir67, 6491269]
[headline, [717.0, 785.5, 559.0, 37.5], 6oid59ir67, 6491269]
[headline, [717.0, 823.0, 559.0, 37.5], 6oid59ir67, 6491269]
[headline, [717.0, 860.5, 559.0, 37.5], 6oid59ir67, 6491269]
[paragraph, [735.0, 1002.0, 547.0, 36.0], fTykDkneTF, 6491269]
[paragraph, [735.0, 1038.0, 547.0, 36.0], fTykDkneTF, 6491269]
[paragraph, [735.0, 1074.0, 547.0, 36.0], fTykDkneTF, 6491269]
[paragraph, [735.0, 1110.0, 547.0, 36.0], fTykDkneTF, 6491269]
[paragraph, [735.0, 1146.0, 547.0, 36.0], fTykDkneTF, 6491269]
[headline, [1384.0, 1132.0, 577.0, 37.5], NEhjsDk348, 6491269]
[headline, [1384.0, 1169.5, 577.0, 37.5], NEhjsDk348, 6491269]
[headline, [1384.0, 1207.0, 577.0, 37.5], NEhjsDk348, 6491269]
[headline, [1384.0, 1244.5, 577.0, 37.5], NEhjsDk348, 6491269]
[headline, [1384.0, 1282.0, 577.0, 37.5], NEhjsDk348, 6491269]
[headline, [1384.0, 1319.5, 577.0, 37.5], NEhjsDk348, 6491269]
[headline, [1384.0, 1357.0, 577.0, 37.5], NEhjsDk348, 6491269]
