[2200, 1700]
[paragraph, [374.0, 88.0, 1099.0, 36.0], shoonya_0sK9I7AV1DKSOL, 5731557]
[paragraph, [374.0, 124.0, 1099.0, 36.0], shoonya_0sK9I7AV1DKSOL, 5731557]
[paragraph, [374.0, 160.0, 1099.0, 36.0], shoonya_0sK9I7AV1DKSOL, 5731557]
[paragraph, [374.0, 196.0, 1099.0, 36.0], shoonya_0sK9I7AV1DKSOL, 5731557]
[paragraph, [374.0, 232.0, 1099.0, 36.0], shoonya_0sK9I7AV1DKSOL, 5731557]
[paragraph, [374.0, 268.0, 1099.0, 36.0], shoonya_0sK9I7AV1DKSOL, 5731557]
[paragraph, [374.0, 304.0, 1099.0, 36.0], shoonya_0sK9I7AV1DKSOL, 5731557]
[paragraph, [374.0, 340.0, 1099.0, 36.0], shoonya_0sK9I7AV1DKSOL, 5731557]
[paragraph, [374.0, 376.0, 1099.0, 36.0], shoonya_0sK9I7AV1DKSOL, 5731557]
[paragraph, [358.0, 439.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 475.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 511.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 547.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 583.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 619.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 655.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 691.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 727.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 763.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 799.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 835.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 871.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 907.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 943.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 979.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1015.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1051.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1087.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1123.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1159.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1195.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1231.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1267.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1303.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1339.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1375.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1411.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1447.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1483.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1519.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1555.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1591.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1627.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1663.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1699.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1735.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1771.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1807.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1843.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1879.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[paragraph, [358.0, 1915.0, 1118.0, 36.0], shoonya_1sTS6X5MTOAUWL, 5731557]
[folio, [377.0, 2042.0, 360.0, 36.0], X5kHm25q44, 5731557]
