[2339, 1653]
[paragraph, [230.0, 205.0, 1188.0, 36.0], shoonya_2sDZC3UEA25P87, 5685783]
[paragraph, [230.0, 241.0, 1188.0, 36.0], shoonya_2sDZC3UEA25P87, 5685783]
[paragraph, [230.0, 277.0, 1188.0, 36.0], shoonya_2sDZC3UEA25P87, 5685783]
[paragraph, [230.0, 313.0, 1188.0, 36.0], shoonya_2sDZC3UEA25P87, 5685783]
[paragraph, [230.0, 349.0, 1188.0, 36.0], shoonya_2sDZC3UEA25P87, 5685783]
[paragraph, [634.0, 431.0, 473.0, 36.0], VGXVyM9q0u, 5685783]
[paragraph, [634.0, 467.0, 473.0, 36.0], VGXVyM9q0u, 5685783]
[paragraph, [634.0, 503.0, 473.0, 36.0], VGXVyM9q0u, 5685783]
[paragraph, [634.0, 539.0, 473.0, 36.0], VGXVyM9q0u, 5685783]
[paragraph, [634.0, 575.0, 473.0, 36.0], VGXVyM9q0u, 5685783]
[reference, [906.0, 658.0, 198.0, 36.0], 0VeasmvAAy, 5685783]
[paragraph, [236.0, 735.0, 1181.0, 36.0], shoonya_1s9ZMT3VWI46CT, 5685783]
[paragraph, [236.0, 771.0, 1181.0, 36.0], shoonya_1s9ZMT3VWI46CT, 5685783]
[paragraph, [236.0, 807.0, 1181.0, 36.0], shoonya_1s9ZMT3VWI46CT, 5685783]
[paragraph, [236.0, 843.0, 1181.0, 36.0], shoonya_1s9ZMT3VWI46CT, 5685783]
[paragraph, [236.0, 879.0, 1181.0, 36.0], shoonya_1s9ZMT3VWI46CT, 5685783]
[paragraph, [236.0, 915.0, 1181.0, 36.0], shoonya_1s9ZMT3VWI46CT, 5685783]
[paragraph, [236.0, 951.0, 1181.0, 36.0], shoonya_1s9ZMT3VWI46CT, 5685783]
[paragraph, [236.0, 987.0, 1181.0, 36.0], shoonya_1s9ZMT3VWI46CT, 5685783]
[paragraph, [236.0, 1023.0, 1181.0, 36.0], shoonya_1s9ZMT3VWI46CT, 5685783]
[paragraph, [236.0, 1059.0, 1181.0, 36.0], shoonya_1s9ZMT3VWI46CT, 5685783]
[paragraph, [236.0, 1095.0, 1181.0, 36.0], shoonya_1s9ZMT3VWI46CT, 5685783]
[paragraph, [236.0, 1131.0, 1181.0, 36.0], shoonya_1s9ZMT3VWI46CT, 5685783]
[paragraph, [234.0, 1286.0, 1188.0, 36.0], shoonya_0s5VOX37FHKF9Q, 5685783]
[paragraph, [234.0, 1322.0, 1188.0, 36.0], shoonya_0s5VOX37FHKF9Q, 5685783]
[paragraph, [234.0, 1358.0, 1188.0, 36.0], shoonya_0s5VOX37FHKF9Q, 5685783]
[paragraph, [234.0, 1394.0, 1188.0, 36.0], shoonya_0s5VOX37FHKF9Q, 5685783]
[paragraph, [234.0, 1430.0, 1188.0, 36.0], shoonya_0s5VOX37FHKF9Q, 5685783]
[paragraph, [234.0, 1466.0, 1188.0, 36.0], shoonya_0s5VOX37FHKF9Q, 5685783]
[paragraph, [234.0, 1502.0, 1188.0, 36.0], shoonya_0s5VOX37FHKF9Q, 5685783]
[paragraph, [234.0, 1538.0, 1188.0, 36.0], shoonya_0s5VOX37FHKF9Q, 5685783]
[paragraph, [234.0, 1574.0, 1188.0, 36.0], shoonya_0s5VOX37FHKF9Q, 5685783]
[paragraph, [234.0, 1610.0, 1188.0, 36.0], shoonya_0s5VOX37FHKF9Q, 5685783]
[paragraph, [234.0, 1646.0, 1188.0, 36.0], shoonya_0s5VOX37FHKF9Q, 5685783]
[paragraph, [234.0, 1682.0, 1188.0, 36.0], shoonya_0s5VOX37FHKF9Q, 5685783]
[paragraph, [579.0, 1739.0, 502.0, 36.0], shoonya_3sJRIZL6B9UAZ9, 5685783]
[paragraph, [579.0, 1775.0, 502.0, 36.0], shoonya_3sJRIZL6B9UAZ9, 5685783]
[paragraph, [579.0, 1811.0, 502.0, 36.0], shoonya_3sJRIZL6B9UAZ9, 5685783]
[paragraph, [579.0, 1847.0, 502.0, 36.0], shoonya_3sJRIZL6B9UAZ9, 5685783]
[paragraph, [685.0, 1907.0, 299.0, 36.0], l0F-sUn72z, 5685783]
[author, [995.0, 1909.0, 413.0, 36.0], dl8HcIi7a0, 5685783]
[paragraph, [229.0, 1983.0, 1190.0, 36.0], AU0O-To-rb, 5685783]
[paragraph, [229.0, 2019.0, 1190.0, 36.0], AU0O-To-rb, 5685783]
[paragraph, [229.0, 2055.0, 1190.0, 36.0], AU0O-To-rb, 5685783]
