[792, 612]
[paragraph, [231.0, 88.0, 58.0, 18.0], IZsZ7lTsBu, 6515165]
[paragraph, [412.0, 102.0, 59.0, 18.0], irlRvxi6IR, 6515165]
[paragraph, [412.0, 120.0, 59.0, 18.0], irlRvxi6IR, 6515165]
[paragraph, [52.0, 115.0, 54.0, 18.0], CW1UM0cG3H, 6515165]
[paragraph, [52.0, 133.0, 54.0, 18.0], CW1UM0cG3H, 6515165]
[paragraph, [231.0, 130.0, 63.0, 18.0], 8VnxR3LtQc, 6515165]
[paragraph, [231.0, 148.0, 63.0, 18.0], 8VnxR3LtQc, 6515165]
[author, [223.0, 198.0, 182.0, 18.0], dan_ZWO5O6, 6515165]
[paragraph, [76.0, 229.0, 477.0, 18.0], o6lS-_yRsZ, 6515165]
[paragraph, [76.0, 247.0, 477.0, 18.0], o6lS-_yRsZ, 6515165]
[paragraph, [409.0, 279.0, 151.0, 18.0], shoonya_0sR0XGB7FADCHP, 6515165]
[paragraph, [409.0, 297.0, 151.0, 18.0], shoonya_0sR0XGB7FADCHP, 6515165]
[paragraph, [409.0, 315.0, 151.0, 18.0], shoonya_0sR0XGB7FADCHP, 6515165]
[paragraph, [409.0, 333.0, 151.0, 18.0], shoonya_0sR0XGB7FADCHP, 6515165]
[paragraph, [409.0, 351.0, 151.0, 18.0], shoonya_0sR0XGB7FADCHP, 6515165]
[paragraph, [409.0, 369.0, 151.0, 18.0], shoonya_0sR0XGB7FADCHP, 6515165]
[paragraph, [409.0, 387.0, 151.0, 18.0], shoonya_0sR0XGB7FADCHP, 6515165]
[paragraph, [409.0, 405.0, 151.0, 18.0], shoonya_0sR0XGB7FADCHP, 6515165]
[paragraph, [409.0, 423.0, 151.0, 18.0], shoonya_0sR0XGB7FADCHP, 6515165]
[paragraph, [409.0, 441.0, 151.0, 18.0], shoonya_0sR0XGB7FADCHP, 6515165]
[paragraph, [409.0, 459.0, 151.0, 18.0], shoonya_0sR0XGB7FADCHP, 6515165]
[paragraph, [409.0, 477.0, 151.0, 18.0], shoonya_0sR0XGB7FADCHP, 6515165]
[paragraph, [409.0, 495.0, 151.0, 18.0], shoonya_0sR0XGB7FADCHP, 6515165]
[paragraph, [409.0, 513.0, 151.0, 18.0], shoonya_0sR0XGB7FADCHP, 6515165]
[paragraph, [409.0, 531.0, 151.0, 18.0], shoonya_0sR0XGB7FADCHP, 6515165]
[paragraph, [409.0, 549.0, 151.0, 18.0], shoonya_0sR0XGB7FADCHP, 6515165]
[paragraph, [409.0, 567.0, 151.0, 18.0], shoonya_0sR0XGB7FADCHP, 6515165]
[paragraph, [409.0, 585.0, 151.0, 18.0], shoonya_0sR0XGB7FADCHP, 6515165]
[paragraph, [409.0, 603.0, 151.0, 18.0], shoonya_0sR0XGB7FADCHP, 6515165]
[paragraph, [409.0, 621.0, 151.0, 18.0], shoonya_0sR0XGB7FADCHP, 6515165]
[paragraph, [409.0, 639.0, 151.0, 18.0], shoonya_0sR0XGB7FADCHP, 6515165]
[paragraph, [409.0, 657.0, 151.0, 18.0], shoonya_0sR0XGB7FADCHP, 6515165]
[paragraph, [409.0, 675.0, 151.0, 18.0], shoonya_0sR0XGB7FADCHP, 6515165]
[paragraph, [230.0, 282.0, 150.0, 18.0], shoonya_2sHKDG2ACQCM1W, 6515165]
[paragraph, [230.0, 300.0, 150.0, 18.0], shoonya_2sHKDG2ACQCM1W, 6515165]
[paragraph, [230.0, 318.0, 150.0, 18.0], shoonya_2sHKDG2ACQCM1W, 6515165]
[paragraph, [50.0, 312.0, 151.0, 18.0], MhDeEDJOWk, 6515165]
[paragraph, [50.0, 330.0, 151.0, 18.0], MhDeEDJOWk, 6515165]
[paragraph, [50.0, 348.0, 151.0, 18.0], MhDeEDJOWk, 6515165]
[paragraph, [50.0, 366.0, 151.0, 18.0], MhDeEDJOWk, 6515165]
[paragraph, [50.0, 384.0, 151.0, 18.0], MhDeEDJOWk, 6515165]
[paragraph, [50.0, 402.0, 151.0, 18.0], MhDeEDJOWk, 6515165]
[paragraph, [230.0, 344.0, 152.0, 18.0], Rjb-qweZXQ, 6515165]
[paragraph, [230.0, 362.0, 152.0, 18.0], Rjb-qweZXQ, 6515165]
[paragraph, [230.0, 380.0, 152.0, 18.0], Rjb-qweZXQ, 6515165]
[paragraph, [230.0, 398.0, 152.0, 18.0], Rjb-qweZXQ, 6515165]
[paragraph, [230.0, 416.0, 152.0, 18.0], Rjb-qweZXQ, 6515165]
[paragraph, [230.0, 434.0, 152.0, 18.0], Rjb-qweZXQ, 6515165]
[paragraph, [230.0, 452.0, 152.0, 18.0], Rjb-qweZXQ, 6515165]
[paragraph, [230.0, 470.0, 152.0, 18.0], Rjb-qweZXQ, 6515165]
[paragraph, [230.0, 488.0, 152.0, 18.0], Rjb-qweZXQ, 6515165]
[paragraph, [230.0, 506.0, 152.0, 18.0], Rjb-qweZXQ, 6515165]
[paragraph, [230.0, 524.0, 152.0, 18.0], Rjb-qweZXQ, 6515165]
[paragraph, [230.0, 542.0, 152.0, 18.0], Rjb-qweZXQ, 6515165]
[paragraph, [230.0, 560.0, 152.0, 18.0], Rjb-qweZXQ, 6515165]
[paragraph, [230.0, 578.0, 152.0, 18.0], Rjb-qweZXQ, 6515165]
[paragraph, [230.0, 596.0, 152.0, 18.0], Rjb-qweZXQ, 6515165]
[paragraph, [230.0, 614.0, 152.0, 18.0], Rjb-qweZXQ, 6515165]
[paragraph, [230.0, 632.0, 152.0, 18.0], Rjb-qweZXQ, 6515165]
[paragraph, [52.0, 433.0, 150.0, 18.0], B9fhfXY6hz, 6515165]
[paragraph, [52.0, 451.0, 150.0, 18.0], B9fhfXY6hz, 6515165]
[paragraph, [52.0, 469.0, 150.0, 18.0], B9fhfXY6hz, 6515165]
[paragraph, [52.0, 487.0, 150.0, 18.0], B9fhfXY6hz, 6515165]
[paragraph, [52.0, 505.0, 150.0, 18.0], B9fhfXY6hz, 6515165]
[paragraph, [52.0, 523.0, 150.0, 18.0], B9fhfXY6hz, 6515165]
[paragraph, [52.0, 541.0, 150.0, 18.0], B9fhfXY6hz, 6515165]
[paragraph, [52.0, 559.0, 150.0, 18.0], B9fhfXY6hz, 6515165]
[paragraph, [52.0, 577.0, 150.0, 18.0], B9fhfXY6hz, 6515165]
[paragraph, [52.0, 595.0, 150.0, 18.0], B9fhfXY6hz, 6515165]
[paragraph, [52.0, 613.0, 150.0, 18.0], B9fhfXY6hz, 6515165]
[paragraph, [52.0, 631.0, 150.0, 18.0], B9fhfXY6hz, 6515165]
[paragraph, [52.0, 649.0, 150.0, 18.0], B9fhfXY6hz, 6515165]
[paragraph, [52.0, 667.0, 150.0, 18.0], B9fhfXY6hz, 6515165]
[paragraph, [231.0, 661.0, 149.0, 18.0], JU7UQrSzmB, 6515165]
[paragraph, [231.0, 679.0, 149.0, 18.0], JU7UQrSzmB, 6515165]
