[2339, 1653]
[paragraph, [327.0, 160.0, 1137.0, 36.0], shoonya_1sPDPE6SSQS4IJ, 5734408]
[paragraph, [327.0, 196.0, 1137.0, 36.0], shoonya_1sPDPE6SSQS4IJ, 5734408]
[paragraph, [327.0, 232.0, 1137.0, 36.0], shoonya_1sPDPE6SSQS4IJ, 5734408]
[paragraph, [327.0, 268.0, 1137.0, 36.0], shoonya_1sPDPE6SSQS4IJ, 5734408]
[paragraph, [327.0, 304.0, 1137.0, 36.0], shoonya_1sPDPE6SSQS4IJ, 5734408]
[paragraph, [327.0, 340.0, 1137.0, 36.0], shoonya_1sPDPE6SSQS4IJ, 5734408]
[paragraph, [327.0, 376.0, 1137.0, 36.0], shoonya_1sPDPE6SSQS4IJ, 5734408]
[paragraph, [327.0, 412.0, 1137.0, 36.0], shoonya_1sPDPE6SSQS4IJ, 5734408]
[paragraph, [327.0, 448.0, 1137.0, 36.0], shoonya_1sPDPE6SSQS4IJ, 5734408]
[paragraph, [327.0, 484.0, 1137.0, 36.0], shoonya_1sPDPE6SSQS4IJ, 5734408]
[paragraph, [327.0, 520.0, 1137.0, 36.0], shoonya_1sPDPE6SSQS4IJ, 5734408]
[paragraph, [327.0, 556.0, 1137.0, 36.0], shoonya_1sPDPE6SSQS4IJ, 5734408]
[paragraph, [327.0, 592.0, 1137.0, 36.0], shoonya_1sPDPE6SSQS4IJ, 5734408]
[paragraph, [327.0, 628.0, 1137.0, 36.0], shoonya_1sPDPE6SSQS4IJ, 5734408]
[paragraph, [327.0, 664.0, 1137.0, 36.0], shoonya_1sPDPE6SSQS4IJ, 5734408]
[paragraph, [321.0, 724.0, 1139.0, 36.0], shoonya_0sSSHPPGPWLF4B, 5734408]
[paragraph, [321.0, 760.0, 1139.0, 36.0], shoonya_0sSSHPPGPWLF4B, 5734408]
[paragraph, [321.0, 796.0, 1139.0, 36.0], shoonya_0sSSHPPGPWLF4B, 5734408]
[paragraph, [321.0, 832.0, 1139.0, 36.0], shoonya_0sSSHPPGPWLF4B, 5734408]
[paragraph, [321.0, 868.0, 1139.0, 36.0], shoonya_0sSSHPPGPWLF4B, 5734408]
[paragraph, [321.0, 904.0, 1139.0, 36.0], shoonya_0sSSHPPGPWLF4B, 5734408]
[paragraph, [321.0, 940.0, 1139.0, 36.0], shoonya_0sSSHPPGPWLF4B, 5734408]
[paragraph, [321.0, 976.0, 1139.0, 36.0], shoonya_0sSSHPPGPWLF4B, 5734408]
[paragraph, [321.0, 1012.0, 1139.0, 36.0], shoonya_0sSSHPPGPWLF4B, 5734408]
[paragraph, [321.0, 1048.0, 1139.0, 36.0], shoonya_0sSSHPPGPWLF4B, 5734408]
[paragraph, [321.0, 1084.0, 1139.0, 36.0], shoonya_0sSSHPPGPWLF4B, 5734408]
[paragraph, [321.0, 1120.0, 1139.0, 36.0], shoonya_0sSSHPPGPWLF4B, 5734408]
[paragraph, [321.0, 1156.0, 1139.0, 36.0], shoonya_0sSSHPPGPWLF4B, 5734408]
[paragraph, [321.0, 1192.0, 1139.0, 36.0], shoonya_0sSSHPPGPWLF4B, 5734408]
[paragraph, [321.0, 1228.0, 1139.0, 36.0], shoonya_0sSSHPPGPWLF4B, 5734408]
[paragraph, [321.0, 1264.0, 1139.0, 36.0], shoonya_0sSSHPPGPWLF4B, 5734408]
[paragraph, [321.0, 1300.0, 1139.0, 36.0], shoonya_0sSSHPPGPWLF4B, 5734408]
[paragraph, [321.0, 1336.0, 1139.0, 36.0], shoonya_0sSSHPPGPWLF4B, 5734408]
[paragraph, [321.0, 1372.0, 1139.0, 36.0], shoonya_0sSSHPPGPWLF4B, 5734408]
[paragraph, [321.0, 1408.0, 1139.0, 36.0], shoonya_0sSSHPPGPWLF4B, 5734408]
[paragraph, [321.0, 1444.0, 1139.0, 36.0], shoonya_0sSSHPPGPWLF4B, 5734408]
[paragraph, [321.0, 1480.0, 1139.0, 36.0], shoonya_0sSSHPPGPWLF4B, 5734408]
