[1650, 1275]
[ordered-list, [141.0, 31.0, 1055.0, 36.0], dU17bAGcou, 6477383]
[ordered-list, [141.0, 67.0, 1055.0, 36.0], dU17bAGcou, 6477383]
[ordered-list, [141.0, 103.0, 1055.0, 36.0], dU17bAGcou, 6477383]
[ordered-list, [141.0, 139.0, 1055.0, 36.0], dU17bAGcou, 6477383]
[ordered-list, [141.0, 175.0, 1055.0, 36.0], dU17bAGcou, 6477383]
[ordered-list, [141.0, 211.0, 1055.0, 36.0], dU17bAGcou, 6477383]
[ordered-list, [141.0, 247.0, 1055.0, 36.0], dU17bAGcou, 6477383]
[ordered-list, [141.0, 283.0, 1055.0, 36.0], dU17bAGcou, 6477383]
[ordered-list, [141.0, 319.0, 1055.0, 36.0], dU17bAGcou, 6477383]
[ordered-list, [141.0, 355.0, 1055.0, 36.0], dU17bAGcou, 6477383]
[ordered-list, [141.0, 391.0, 1055.0, 36.0], dU17bAGcou, 6477383]
[ordered-list, [141.0, 427.0, 1055.0, 36.0], dU17bAGcou, 6477383]
[ordered-list, [141.0, 463.0, 1055.0, 36.0], dU17bAGcou, 6477383]
[ordered-list, [141.0, 499.0, 1055.0, 36.0], dU17bAGcou, 6477383]
[sub-ordered-list, [171.0, 66.0, 1009.0, 36.0], etN5MMhTZf, 6477383]
[sub-ordered-list, [171.0, 102.0, 1009.0, 36.0], etN5MMhTZf, 6477383]
[sub-ordered-list, [171.0, 138.0, 1009.0, 36.0], etN5MMhTZf, 6477383]
[sub-ordered-list, [171.0, 174.0, 1009.0, 36.0], etN5MMhTZf, 6477383]
[sub-ordered-list, [171.0, 210.0, 1009.0, 36.0], etN5MMhTZf, 6477383]
[sub-ordered-list, [171.0, 246.0, 1009.0, 36.0], etN5MMhTZf, 6477383]
[sub-ordered-list, [171.0, 282.0, 1009.0, 36.0], etN5MMhTZf, 6477383]
[sub-ordered-list, [171.0, 318.0, 1009.0, 36.0], etN5MMhTZf, 6477383]
[sub-ordered-list, [171.0, 354.0, 1009.0, 36.0], etN5MMhTZf, 6477383]
[sub-ordered-list, [171.0, 390.0, 1009.0, 36.0], etN5MMhTZf, 6477383]
[sub-ordered-list, [171.0, 426.0, 1009.0, 36.0], etN5MMhTZf, 6477383]
[sub-ordered-list, [171.0, 462.0, 1009.0, 36.0], etN5MMhTZf, 6477383]
[sub-ordered-list, [171.0, 498.0, 1009.0, 36.0], etN5MMhTZf, 6477383]
[paragraph, [221.0, 570.0, 668.0, 36.0], PUjsYgFjXx, 6477383]
