[596, 421]
[section-title, [213.0, 26.0, 172.0, 30.0], GNVeyPULB8, 6534368]
[section-title, [28.0, 31.0, 121.0, 30.0], XtwpGJS1xK, 6534368]
[paragraph, [203.0, 59.0, 188.0, 18.0], 7ylhrDPpIw, 6534368]
[paragraph, [203.0, 77.0, 188.0, 18.0], 7ylhrDPpIw, 6534368]
[paragraph, [203.0, 95.0, 188.0, 18.0], 7ylhrDPpIw, 6534368]
[paragraph, [203.0, 113.0, 188.0, 18.0], 7ylhrDPpIw, 6534368]
[paragraph, [203.0, 131.0, 188.0, 18.0], 7ylhrDPpIw, 6534368]
[paragraph, [203.0, 149.0, 188.0, 18.0], 7ylhrDPpIw, 6534368]
[paragraph, [203.0, 167.0, 188.0, 18.0], 7ylhrDPpIw, 6534368]
[paragraph, [203.0, 185.0, 188.0, 18.0], 7ylhrDPpIw, 6534368]
[paragraph, [20.0, 76.0, 112.0, 18.0], VH3qtpJH2j, 6534368]
[paragraph, [20.0, 94.0, 112.0, 18.0], VH3qtpJH2j, 6534368]
[paragraph, [20.0, 112.0, 112.0, 18.0], VH3qtpJH2j, 6534368]
[paragraph, [20.0, 130.0, 112.0, 18.0], VH3qtpJH2j, 6534368]
[paragraph, [20.0, 148.0, 112.0, 18.0], VH3qtpJH2j, 6534368]
[paragraph, [20.0, 166.0, 112.0, 18.0], VH3qtpJH2j, 6534368]
[paragraph, [20.0, 184.0, 112.0, 18.0], VH3qtpJH2j, 6534368]
[paragraph, [20.0, 202.0, 112.0, 18.0], VH3qtpJH2j, 6534368]
[paragraph, [20.0, 220.0, 112.0, 18.0], VH3qtpJH2j, 6534368]
[paragraph, [20.0, 238.0, 112.0, 18.0], VH3qtpJH2j, 6534368]
[paragraph, [20.0, 256.0, 112.0, 18.0], VH3qtpJH2j, 6534368]
[paragraph, [20.0, 274.0, 112.0, 18.0], VH3qtpJH2j, 6534368]
[paragraph, [20.0, 292.0, 112.0, 18.0], VH3qtpJH2j, 6534368]
[paragraph, [20.0, 310.0, 112.0, 18.0], VH3qtpJH2j, 6534368]
[paragraph, [20.0, 328.0, 112.0, 18.0], VH3qtpJH2j, 6534368]
[paragraph, [197.0, 429.0, 164.0, 18.0], hbvtn5fSI6, 6534368]
[paragraph, [197.0, 447.0, 164.0, 18.0], hbvtn5fSI6, 6534368]
[paragraph, [197.0, 465.0, 164.0, 18.0], hbvtn5fSI6, 6534368]
[paragraph, [197.0, 483.0, 164.0, 18.0], hbvtn5fSI6, 6534368]
[paragraph, [197.0, 501.0, 164.0, 18.0], hbvtn5fSI6, 6534368]
