[1050, 693]
[folio, [69.0, 80.0, 109.0, 18.0], nm93VWmg9J, 5701654]
[paragraph, [83.0, 124.0, 532.0, 18.0], shoonya_1sC0KXT3IAHRB1, 5701654]
[paragraph, [83.0, 142.0, 532.0, 18.0], shoonya_1sC0KXT3IAHRB1, 5701654]
[paragraph, [83.0, 160.0, 532.0, 18.0], shoonya_1sC0KXT3IAHRB1, 5701654]
[paragraph, [83.0, 178.0, 532.0, 18.0], shoonya_1sC0KXT3IAHRB1, 5701654]
[paragraph, [83.0, 196.0, 532.0, 18.0], shoonya_1sC0KXT3IAHRB1, 5701654]
[paragraph, [83.0, 214.0, 532.0, 18.0], shoonya_1sC0KXT3IAHRB1, 5701654]
[paragraph, [83.0, 232.0, 532.0, 18.0], shoonya_1sC0KXT3IAHRB1, 5701654]
[paragraph, [78.0, 254.0, 531.0, 18.0], 4agDVD6qoH, 5701654]
[paragraph, [78.0, 272.0, 531.0, 18.0], 4agDVD6qoH, 5701654]
[paragraph, [78.0, 290.0, 531.0, 18.0], 4agDVD6qoH, 5701654]
[paragraph, [78.0, 308.0, 531.0, 18.0], 4agDVD6qoH, 5701654]
[paragraph, [78.0, 326.0, 531.0, 18.0], 4agDVD6qoH, 5701654]
[paragraph, [78.0, 344.0, 531.0, 18.0], 4agDVD6qoH, 5701654]
[paragraph, [78.0, 362.0, 531.0, 18.0], 4agDVD6qoH, 5701654]
[paragraph, [78.0, 380.0, 531.0, 18.0], 4agDVD6qoH, 5701654]
[paragraph, [78.0, 398.0, 531.0, 18.0], 4agDVD6qoH, 5701654]
[paragraph, [78.0, 416.0, 531.0, 18.0], 4agDVD6qoH, 5701654]
[paragraph, [78.0, 434.0, 531.0, 18.0], 4agDVD6qoH, 5701654]
[paragraph, [78.0, 452.0, 531.0, 18.0], 4agDVD6qoH, 5701654]
[paragraph, [81.0, 487.0, 528.0, 18.0], shoonya_5sLU0XLO6OJ8ZR, 5701654]
[paragraph, [81.0, 505.0, 528.0, 18.0], shoonya_5sLU0XLO6OJ8ZR, 5701654]
[paragraph, [81.0, 523.0, 528.0, 18.0], shoonya_5sLU0XLO6OJ8ZR, 5701654]
[paragraph, [81.0, 541.0, 528.0, 18.0], shoonya_5sLU0XLO6OJ8ZR, 5701654]
[paragraph, [81.0, 559.0, 528.0, 18.0], shoonya_5sLU0XLO6OJ8ZR, 5701654]
[paragraph, [81.0, 577.0, 528.0, 18.0], shoonya_5sLU0XLO6OJ8ZR, 5701654]
[paragraph, [81.0, 595.0, 528.0, 18.0], shoonya_5sLU0XLO6OJ8ZR, 5701654]
[paragraph, [78.0, 624.0, 534.0, 18.0], zyW-kow4qd, 5701654]
[paragraph, [78.0, 642.0, 534.0, 18.0], zyW-kow4qd, 5701654]
[paragraph, [78.0, 660.0, 534.0, 18.0], zyW-kow4qd, 5701654]
[paragraph, [78.0, 678.0, 534.0, 18.0], zyW-kow4qd, 5701654]
[paragraph, [78.0, 696.0, 534.0, 18.0], zyW-kow4qd, 5701654]
[paragraph, [80.0, 726.0, 523.0, 18.0], olMGbHomqt, 5701654]
[paragraph, [80.0, 744.0, 523.0, 18.0], olMGbHomqt, 5701654]
[paragraph, [80.0, 762.0, 523.0, 18.0], olMGbHomqt, 5701654]
[paragraph, [80.0, 795.0, 532.0, 18.0], UsbAmwKnzT, 5701654]
[paragraph, [80.0, 813.0, 532.0, 18.0], UsbAmwKnzT, 5701654]
[paragraph, [80.0, 831.0, 532.0, 18.0], UsbAmwKnzT, 5701654]
[paragraph, [80.0, 849.0, 532.0, 18.0], UsbAmwKnzT, 5701654]
[paragraph, [80.0, 867.0, 532.0, 18.0], UsbAmwKnzT, 5701654]
[paragraph, [80.0, 885.0, 532.0, 18.0], UsbAmwKnzT, 5701654]
[paragraph, [80.0, 903.0, 532.0, 18.0], UsbAmwKnzT, 5701654]
[paragraph, [80.0, 921.0, 532.0, 18.0], UsbAmwKnzT, 5701654]
[paragraph, [80.0, 939.0, 532.0, 18.0], UsbAmwKnzT, 5701654]
[paragraph, [80.0, 957.0, 532.0, 18.0], UsbAmwKnzT, 5701654]
