[1684, 1191]
[section-title, [342.0, 93.0, 395.0, 49.5], HJKjXY-3hm, 6464686]
[paragraph, [251.0, 196.0, 591.0, 36.0], uQDni4g5MS, 6464686]
[paragraph, [251.0, 232.0, 591.0, 36.0], uQDni4g5MS, 6464686]
[paragraph, [242.0, 318.0, 642.0, 36.0], P_ti4esAxx, 6464686]
[paragraph, [242.0, 354.0, 642.0, 36.0], P_ti4esAxx, 6464686]
[paragraph, [242.0, 390.0, 642.0, 36.0], P_ti4esAxx, 6464686]
[paragraph, [244.0, 450.0, 602.0, 36.0], YBTil6_6VT, 6464686]
[paragraph, [244.0, 486.0, 602.0, 36.0], YBTil6_6VT, 6464686]
[paragraph, [245.0, 579.0, 626.0, 36.0], P6NkzwoCIu, 6464686]
[paragraph, [245.0, 615.0, 626.0, 36.0], P6NkzwoCIu, 6464686]
[paragraph, [244.0, 701.0, 611.0, 36.0], 8mlvp2QCjG, 6464686]
[paragraph, [244.0, 737.0, 611.0, 36.0], 8mlvp2QCjG, 6464686]
[paragraph, [244.0, 828.0, 651.0, 36.0], jKQPKO5mBk, 6464686]
[paragraph, [244.0, 864.0, 651.0, 36.0], jKQPKO5mBk, 6464686]
[paragraph, [253.0, 962.0, 627.0, 36.0], FRVYB8lVeu, 6464686]
[paragraph, [253.0, 998.0, 627.0, 36.0], FRVYB8lVeu, 6464686]
[paragraph, [257.0, 1083.0, 612.0, 36.0], pnTFFE76IT, 6464686]
[paragraph, [257.0, 1119.0, 612.0, 36.0], pnTFFE76IT, 6464686]
[paragraph, [253.0, 1211.0, 642.0, 36.0], ek25Vt9Id1, 6464686]
[paragraph, [253.0, 1247.0, 642.0, 36.0], ek25Vt9Id1, 6464686]
[paragraph, [262.0, 1344.0, 558.0, 36.0], WIqxMKYZF0, 6464686]
[paragraph, [262.0, 1380.0, 558.0, 36.0], WIqxMKYZF0, 6464686]
[jumpline, [168.0, 1433.0, 88.0, 36.0], shoonya_0s0H0TCTP62TQ4, 6464686]
