[1650, 1275]
[chapter-title, [626.0, 565.0, 466.0, 58.5], Upszo_tsRz, 5714550]
[paragraph, [275.0, 682.0, 815.0, 36.0], shoonya_0sAU97OBIFAKQI, 5714550]
[paragraph, [275.0, 718.0, 815.0, 36.0], shoonya_0sAU97OBIFAKQI, 5714550]
[paragraph, [275.0, 754.0, 815.0, 36.0], shoonya_0sAU97OBIFAKQI, 5714550]
[paragraph, [275.0, 790.0, 815.0, 36.0], shoonya_0sAU97OBIFAKQI, 5714550]
[paragraph, [275.0, 826.0, 815.0, 36.0], shoonya_0sAU97OBIFAKQI, 5714550]
[paragraph, [275.0, 862.0, 815.0, 36.0], shoonya_0sAU97OBIFAKQI, 5714550]
[paragraph, [275.0, 898.0, 815.0, 36.0], shoonya_0sAU97OBIFAKQI, 5714550]
[paragraph, [482.0, 967.0, 501.0, 36.0], 1GIQk7-Co-, 5714550]
[paragraph, [482.0, 1003.0, 501.0, 36.0], 1GIQk7-Co-, 5714550]
[paragraph, [270.0, 1053.0, 814.0, 36.0], kghfnYVg16, 5714550]
[paragraph, [270.0, 1089.0, 814.0, 36.0], kghfnYVg16, 5714550]
[paragraph, [270.0, 1125.0, 814.0, 36.0], kghfnYVg16, 5714550]
[paragraph, [270.0, 1161.0, 814.0, 36.0], kghfnYVg16, 5714550]
[paragraph, [270.0, 1197.0, 814.0, 36.0], kghfnYVg16, 5714550]
[paragraph, [270.0, 1233.0, 814.0, 36.0], kghfnYVg16, 5714550]
[paragraph, [270.0, 1269.0, 814.0, 36.0], kghfnYVg16, 5714550]
[paragraph, [270.0, 1332.0, 819.0, 36.0], te2VuhyLXv, 5714550]
[paragraph, [270.0, 1368.0, 819.0, 36.0], te2VuhyLXv, 5714550]
[paragraph, [270.0, 1404.0, 819.0, 36.0], te2VuhyLXv, 5714550]
