[2200, 1700]
[paragraph, [373.0, 114.0, 1131.0, 36.0], shoonya_0sDSELMJL4Z5L9, 5734192]
[paragraph, [373.0, 150.0, 1131.0, 36.0], shoonya_0sDSELMJL4Z5L9, 5734192]
[paragraph, [373.0, 186.0, 1131.0, 36.0], shoonya_0sDSELMJL4Z5L9, 5734192]
[paragraph, [373.0, 222.0, 1131.0, 36.0], shoonya_0sDSELMJL4Z5L9, 5734192]
[paragraph, [373.0, 258.0, 1131.0, 36.0], shoonya_0sDSELMJL4Z5L9, 5734192]
[paragraph, [373.0, 294.0, 1131.0, 36.0], shoonya_0sDSELMJL4Z5L9, 5734192]
[paragraph, [373.0, 330.0, 1131.0, 36.0], shoonya_0sDSELMJL4Z5L9, 5734192]
[paragraph, [373.0, 366.0, 1131.0, 36.0], shoonya_0sDSELMJL4Z5L9, 5734192]
[paragraph, [373.0, 402.0, 1131.0, 36.0], shoonya_0sDSELMJL4Z5L9, 5734192]
[paragraph, [373.0, 438.0, 1131.0, 36.0], shoonya_0sDSELMJL4Z5L9, 5734192]
[paragraph, [373.0, 474.0, 1131.0, 36.0], shoonya_0sDSELMJL4Z5L9, 5734192]
[paragraph, [373.0, 510.0, 1131.0, 36.0], shoonya_0sDSELMJL4Z5L9, 5734192]
[paragraph, [373.0, 546.0, 1131.0, 36.0], shoonya_0sDSELMJL4Z5L9, 5734192]
[paragraph, [373.0, 582.0, 1131.0, 36.0], shoonya_0sDSELMJL4Z5L9, 5734192]
[paragraph, [373.0, 618.0, 1131.0, 36.0], shoonya_0sDSELMJL4Z5L9, 5734192]
[paragraph, [373.0, 654.0, 1131.0, 36.0], shoonya_0sDSELMJL4Z5L9, 5734192]
[paragraph, [373.0, 690.0, 1131.0, 36.0], shoonya_0sDSELMJL4Z5L9, 5734192]
[paragraph, [373.0, 726.0, 1131.0, 36.0], shoonya_0sDSELMJL4Z5L9, 5734192]
[paragraph, [373.0, 762.0, 1131.0, 36.0], shoonya_0sDSELMJL4Z5L9, 5734192]
[paragraph, [373.0, 798.0, 1131.0, 36.0], shoonya_0sDSELMJL4Z5L9, 5734192]
[paragraph, [373.0, 834.0, 1131.0, 36.0], shoonya_0sDSELMJL4Z5L9, 5734192]
[paragraph, [371.0, 915.0, 1135.0, 36.0], shoonya_3sOHHO6ZI0H5FO, 5734192]
[paragraph, [371.0, 951.0, 1135.0, 36.0], shoonya_3sOHHO6ZI0H5FO, 5734192]
[paragraph, [371.0, 987.0, 1135.0, 36.0], shoonya_3sOHHO6ZI0H5FO, 5734192]
[paragraph, [371.0, 1023.0, 1135.0, 36.0], shoonya_3sOHHO6ZI0H5FO, 5734192]
[paragraph, [371.0, 1059.0, 1135.0, 36.0], shoonya_3sOHHO6ZI0H5FO, 5734192]
[paragraph, [371.0, 1095.0, 1135.0, 36.0], shoonya_3sOHHO6ZI0H5FO, 5734192]
[paragraph, [371.0, 1131.0, 1135.0, 36.0], shoonya_3sOHHO6ZI0H5FO, 5734192]
[paragraph, [371.0, 1167.0, 1135.0, 36.0], shoonya_3sOHHO6ZI0H5FO, 5734192]
[paragraph, [371.0, 1203.0, 1135.0, 36.0], shoonya_3sOHHO6ZI0H5FO, 5734192]
[paragraph, [371.0, 1267.0, 1133.0, 36.0], shoonya_1sS7KS9DBEIK6V, 5734192]
[paragraph, [371.0, 1303.0, 1133.0, 36.0], shoonya_1sS7KS9DBEIK6V, 5734192]
[paragraph, [371.0, 1339.0, 1133.0, 36.0], shoonya_1sS7KS9DBEIK6V, 5734192]
[paragraph, [371.0, 1375.0, 1133.0, 36.0], shoonya_1sS7KS9DBEIK6V, 5734192]
[paragraph, [371.0, 1411.0, 1133.0, 36.0], shoonya_1sS7KS9DBEIK6V, 5734192]
[paragraph, [371.0, 1447.0, 1133.0, 36.0], shoonya_1sS7KS9DBEIK6V, 5734192]
[paragraph, [371.0, 1483.0, 1133.0, 36.0], shoonya_1sS7KS9DBEIK6V, 5734192]
[paragraph, [371.0, 1519.0, 1133.0, 36.0], shoonya_1sS7KS9DBEIK6V, 5734192]
[paragraph, [371.0, 1555.0, 1133.0, 36.0], shoonya_1sS7KS9DBEIK6V, 5734192]
[paragraph, [371.0, 1591.0, 1133.0, 36.0], shoonya_1sS7KS9DBEIK6V, 5734192]
[paragraph, [371.0, 1627.0, 1133.0, 36.0], shoonya_1sS7KS9DBEIK6V, 5734192]
[paragraph, [371.0, 1663.0, 1133.0, 36.0], shoonya_1sS7KS9DBEIK6V, 5734192]
[paragraph, [371.0, 1699.0, 1133.0, 36.0], shoonya_1sS7KS9DBEIK6V, 5734192]
[paragraph, [371.0, 1735.0, 1133.0, 36.0], shoonya_1sS7KS9DBEIK6V, 5734192]
[paragraph, [371.0, 1771.0, 1133.0, 36.0], shoonya_1sS7KS9DBEIK6V, 5734192]
[paragraph, [371.0, 1807.0, 1133.0, 36.0], shoonya_1sS7KS9DBEIK6V, 5734192]
[paragraph, [371.0, 1843.0, 1133.0, 36.0], shoonya_1sS7KS9DBEIK6V, 5734192]
[paragraph, [371.0, 1879.0, 1133.0, 36.0], shoonya_1sS7KS9DBEIK6V, 5734192]
[paragraph, [371.0, 1915.0, 1133.0, 36.0], shoonya_1sS7KS9DBEIK6V, 5734192]
[paragraph, [371.0, 1951.0, 1133.0, 36.0], shoonya_1sS7KS9DBEIK6V, 5734192]
[paragraph, [371.0, 1987.0, 1133.0, 36.0], shoonya_1sS7KS9DBEIK6V, 5734192]
