[695, 399]
[paragraph, [0.0, 85.0, 320.0, 18.0], Vszm0tmTx5, 6533068]
[paragraph, [0.0, 103.0, 320.0, 18.0], Vszm0tmTx5, 6533068]
[paragraph, [1.0, 128.0, 324.0, 18.0], MeVo2QXm7I, 6533068]
[paragraph, [1.0, 146.0, 324.0, 18.0], MeVo2QXm7I, 6533068]
[paragraph, [1.0, 164.0, 324.0, 18.0], MeVo2QXm7I, 6533068]
[paragraph, [1.0, 182.0, 324.0, 18.0], MeVo2QXm7I, 6533068]
[paragraph, [1.0, 200.0, 324.0, 18.0], MeVo2QXm7I, 6533068]
[paragraph, [0.0, 239.0, 336.0, 18.0], B48jAbMJ41, 6533068]
[paragraph, [0.0, 257.0, 336.0, 18.0], B48jAbMJ41, 6533068]
[paragraph, [0.0, 275.0, 336.0, 18.0], B48jAbMJ41, 6533068]
[paragraph, [0.0, 293.0, 336.0, 18.0], B48jAbMJ41, 6533068]
[paragraph, [0.0, 311.0, 336.0, 18.0], B48jAbMJ41, 6533068]
[paragraph, [7.0, 333.0, 332.0, 18.0], shoonya_0s3TPA3X5CTKWO, 6533068]
[paragraph, [7.0, 351.0, 332.0, 18.0], shoonya_0s3TPA3X5CTKWO, 6533068]
[paragraph, [7.0, 369.0, 332.0, 18.0], shoonya_0s3TPA3X5CTKWO, 6533068]
[paragraph, [7.0, 387.0, 332.0, 18.0], shoonya_0s3TPA3X5CTKWO, 6533068]
[paragraph, [7.0, 405.0, 332.0, 18.0], shoonya_0s3TPA3X5CTKWO, 6533068]
[paragraph, [7.0, 423.0, 332.0, 18.0], shoonya_0s3TPA3X5CTKWO, 6533068]
[paragraph, [7.0, 441.0, 332.0, 18.0], shoonya_0s3TPA3X5CTKWO, 6533068]
[paragraph, [7.0, 459.0, 332.0, 18.0], shoonya_0s3TPA3X5CTKWO, 6533068]
[paragraph, [7.0, 477.0, 332.0, 18.0], shoonya_0s3TPA3X5CTKWO, 6533068]
[paragraph, [7.0, 495.0, 332.0, 18.0], shoonya_0s3TPA3X5CTKWO, 6533068]
[paragraph, [7.0, 513.0, 332.0, 18.0], shoonya_0s3TPA3X5CTKWO, 6533068]
[paragraph, [6.0, 542.0, 341.0, 18.0], k334clgNo3, 6533068]
[paragraph, [6.0, 560.0, 341.0, 18.0], k334clgNo3, 6533068]
[paragraph, [6.0, 578.0, 341.0, 18.0], k334clgNo3, 6533068]
[paragraph, [6.0, 596.0, 341.0, 18.0], k334clgNo3, 6533068]
[paragraph, [6.0, 614.0, 341.0, 18.0], k334clgNo3, 6533068]
