[1388, 886]
[folio, [409.0, 84.0, 99.0, 18.0], 1CSuo366kb, 5742772]
[paragraph, [457.0, 139.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 157.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 175.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 193.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 211.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 229.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 247.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 265.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 283.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 301.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 319.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 337.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 355.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 373.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 391.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 409.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 427.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 445.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 463.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 481.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 499.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 517.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 535.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 553.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 571.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 589.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 607.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 625.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 643.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 661.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 679.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 697.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 715.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 733.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 751.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 769.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 787.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 805.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 823.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 841.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 859.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 877.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 895.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 913.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 931.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 949.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 967.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 985.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 1003.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 1021.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 1039.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 1057.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 1075.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 1093.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 1111.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
[paragraph, [457.0, 1129.0, 394.0, 18.0], WNuYAlZHBx, 5742772]
