[1050, 693]
[folio, [527.0, 78.0, 86.0, 18.0], shoonya_0sOM47L3YGU711, 5702627]
[folio, [527.0, 96.0, 86.0, 18.0], shoonya_0sOM47L3YGU711, 5702627]
[paragraph, [85.0, 130.0, 524.0, 18.0], shoonya_2sBOKKRKTZUT8J, 5702627]
[paragraph, [85.0, 148.0, 524.0, 18.0], shoonya_2sBOKKRKTZUT8J, 5702627]
[paragraph, [85.0, 166.0, 524.0, 18.0], shoonya_2sBOKKRKTZUT8J, 5702627]
[paragraph, [85.0, 184.0, 524.0, 18.0], shoonya_2sBOKKRKTZUT8J, 5702627]
[paragraph, [85.0, 202.0, 524.0, 18.0], shoonya_2sBOKKRKTZUT8J, 5702627]
[paragraph, [85.0, 220.0, 524.0, 18.0], shoonya_2sBOKKRKTZUT8J, 5702627]
[paragraph, [85.0, 238.0, 524.0, 18.0], shoonya_2sBOKKRKTZUT8J, 5702627]
[paragraph, [85.0, 256.0, 524.0, 18.0], shoonya_2sBOKKRKTZUT8J, 5702627]
[paragraph, [86.0, 304.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 322.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 340.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 358.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 376.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 394.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 412.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 430.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 448.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 466.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 484.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 502.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 520.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 538.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 556.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 574.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 592.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 610.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 628.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 646.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 664.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 682.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 700.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 718.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 736.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 754.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 772.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 790.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 808.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 826.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 844.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 862.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 880.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 898.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[paragraph, [86.0, 916.0, 525.0, 18.0], shoonya_1sZQB5O9OEMZ4G, 5702627]
[footnote, [119.0, 949.0, 230.0, 18.0], pbNE-Z7O7w, 5702627]
