[668, 446]
[paragraph, [49.0, 82.0, 351.0, 18.0], VmNALFp_68, 6496007]
[paragraph, [49.0, 100.0, 351.0, 18.0], VmNALFp_68, 6496007]
[paragraph, [49.0, 118.0, 351.0, 18.0], VmNALFp_68, 6496007]
[paragraph, [49.0, 136.0, 351.0, 18.0], VmNALFp_68, 6496007]
[paragraph, [49.0, 154.0, 351.0, 18.0], VmNALFp_68, 6496007]
[paragraph, [49.0, 172.0, 351.0, 18.0], VmNALFp_68, 6496007]
[paragraph, [49.0, 190.0, 351.0, 18.0], VmNALFp_68, 6496007]
[paragraph, [49.0, 208.0, 351.0, 18.0], VmNALFp_68, 6496007]
[paragraph, [49.0, 226.0, 351.0, 18.0], VmNALFp_68, 6496007]
[paragraph, [49.0, 244.0, 351.0, 18.0], VmNALFp_68, 6496007]
[paragraph, [49.0, 262.0, 351.0, 18.0], VmNALFp_68, 6496007]
[paragraph, [56.0, 300.0, 345.0, 18.0], gPtZCj07jy, 6496007]
[paragraph, [56.0, 318.0, 345.0, 18.0], gPtZCj07jy, 6496007]
[paragraph, [56.0, 336.0, 345.0, 18.0], gPtZCj07jy, 6496007]
[paragraph, [56.0, 354.0, 345.0, 18.0], gPtZCj07jy, 6496007]
[paragraph, [56.0, 372.0, 345.0, 18.0], gPtZCj07jy, 6496007]
[paragraph, [56.0, 390.0, 345.0, 18.0], gPtZCj07jy, 6496007]
[paragraph, [56.0, 408.0, 345.0, 18.0], gPtZCj07jy, 6496007]
[paragraph, [56.0, 426.0, 345.0, 18.0], gPtZCj07jy, 6496007]
[paragraph, [56.0, 444.0, 345.0, 18.0], gPtZCj07jy, 6496007]
[paragraph, [56.0, 462.0, 345.0, 18.0], gPtZCj07jy, 6496007]
[paragraph, [56.0, 480.0, 345.0, 18.0], gPtZCj07jy, 6496007]
[paragraph, [56.0, 498.0, 345.0, 18.0], gPtZCj07jy, 6496007]
[paragraph, [57.0, 531.0, 349.0, 18.0], 6J5cYJ02wz, 6496007]
[paragraph, [57.0, 549.0, 349.0, 18.0], 6J5cYJ02wz, 6496007]
[paragraph, [57.0, 567.0, 349.0, 18.0], 6J5cYJ02wz, 6496007]
[paragraph, [57.0, 585.0, 349.0, 18.0], 6J5cYJ02wz, 6496007]
