[1372, 849]
[section-title, [354.0, 68.0, 144.0, 30.0], shoonya_1sR6IE7A1RA59L, 5710461]
[paragraph, [68.0, 135.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 153.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 171.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 189.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 207.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 225.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 243.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 261.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 279.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 297.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 315.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 333.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 351.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 369.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 387.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 405.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 423.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 441.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 459.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 477.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 495.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 513.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 531.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 549.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 567.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 585.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 603.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 621.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 639.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 657.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 675.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 693.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 711.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 729.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 747.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 765.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 783.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 801.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
[paragraph, [68.0, 819.0, 713.0, 18.0], shoonya_0s6DEWUW4U9Q6Q, 5710461]
