[2339, 1656]
[paragraph, [186.0, 184.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [186.0, 220.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [186.0, 256.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [186.0, 292.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [186.0, 328.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [186.0, 364.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [186.0, 400.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [186.0, 436.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [186.0, 472.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [186.0, 508.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [186.0, 544.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [186.0, 580.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [186.0, 616.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [186.0, 652.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [186.0, 688.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [186.0, 724.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [186.0, 760.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [186.0, 796.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [186.0, 832.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [186.0, 868.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [186.0, 904.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [186.0, 940.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [186.0, 976.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [186.0, 1012.0, 1275.0, 36.0], shoonya_0sLGJSZZQXZ1XX, 5752506]
[paragraph, [182.0, 1117.0, 1295.0, 36.0], GSVT4ZDp_W, 5752506]
[paragraph, [182.0, 1153.0, 1295.0, 36.0], GSVT4ZDp_W, 5752506]
[paragraph, [182.0, 1189.0, 1295.0, 36.0], GSVT4ZDp_W, 5752506]
[paragraph, [182.0, 1225.0, 1295.0, 36.0], GSVT4ZDp_W, 5752506]
[paragraph, [182.0, 1261.0, 1295.0, 36.0], GSVT4ZDp_W, 5752506]
[paragraph, [182.0, 1297.0, 1295.0, 36.0], GSVT4ZDp_W, 5752506]
[paragraph, [182.0, 1333.0, 1295.0, 36.0], GSVT4ZDp_W, 5752506]
[paragraph, [182.0, 1369.0, 1295.0, 36.0], GSVT4ZDp_W, 5752506]
[paragraph, [182.0, 1405.0, 1295.0, 36.0], GSVT4ZDp_W, 5752506]
[paragraph, [182.0, 1441.0, 1295.0, 36.0], GSVT4ZDp_W, 5752506]
[paragraph, [182.0, 1477.0, 1295.0, 36.0], GSVT4ZDp_W, 5752506]
[paragraph, [182.0, 1513.0, 1295.0, 36.0], GSVT4ZDp_W, 5752506]
[paragraph, [182.0, 1549.0, 1295.0, 36.0], GSVT4ZDp_W, 5752506]
[paragraph, [182.0, 1585.0, 1295.0, 36.0], GSVT4ZDp_W, 5752506]
[paragraph, [182.0, 1621.0, 1295.0, 36.0], GSVT4ZDp_W, 5752506]
[paragraph, [182.0, 1657.0, 1295.0, 36.0], GSVT4ZDp_W, 5752506]
[paragraph, [182.0, 1693.0, 1295.0, 36.0], GSVT4ZDp_W, 5752506]
[paragraph, [182.0, 1729.0, 1295.0, 36.0], GSVT4ZDp_W, 5752506]
[paragraph, [182.0, 1765.0, 1295.0, 36.0], GSVT4ZDp_W, 5752506]
[paragraph, [167.0, 1830.0, 1307.0, 36.0], JTCaHRveml, 5752506]
[paragraph, [167.0, 1866.0, 1307.0, 36.0], JTCaHRveml, 5752506]
[paragraph, [167.0, 1902.0, 1307.0, 36.0], JTCaHRveml, 5752506]
[paragraph, [167.0, 1938.0, 1307.0, 36.0], JTCaHRveml, 5752506]
[paragraph, [167.0, 1974.0, 1307.0, 36.0], JTCaHRveml, 5752506]
[paragraph, [167.0, 2010.0, 1307.0, 36.0], JTCaHRveml, 5752506]
[paragraph, [167.0, 2046.0, 1307.0, 36.0], JTCaHRveml, 5752506]
[paragraph, [167.0, 2082.0, 1307.0, 36.0], JTCaHRveml, 5752506]
[folio, [283.0, 2144.0, 497.0, 36.0], wVMZmM_Z0T, 5752506]
