[1356, 826]
[folio, [101.0, 72.0, 109.0, 18.0], shoonya_5sYDJVDAY620FD, 5782399]
[folio, [101.0, 90.0, 109.0, 18.0], shoonya_5sYDJVDAY620FD, 5782399]
[section-title, [287.0, 127.0, 264.0, 30.0], shoonya_4sE58SRFOI1W9G, 5782399]
[paragraph, [99.0, 165.0, 639.0, 18.0], shoonya_2sKDZXZAQUN6CL, 5782399]
[paragraph, [99.0, 183.0, 639.0, 18.0], shoonya_2sKDZXZAQUN6CL, 5782399]
[ordered-list, [87.0, 213.0, 671.0, 18.0], QPzp63XdhW, 5782399]
[ordered-list, [87.0, 231.0, 671.0, 18.0], QPzp63XdhW, 5782399]
[ordered-list, [87.0, 249.0, 671.0, 18.0], QPzp63XdhW, 5782399]
[ordered-list, [87.0, 267.0, 671.0, 18.0], QPzp63XdhW, 5782399]
[ordered-list, [87.0, 285.0, 671.0, 18.0], QPzp63XdhW, 5782399]
[ordered-list, [87.0, 303.0, 671.0, 18.0], QPzp63XdhW, 5782399]
[ordered-list, [87.0, 321.0, 671.0, 18.0], QPzp63XdhW, 5782399]
[ordered-list, [87.0, 339.0, 671.0, 18.0], QPzp63XdhW, 5782399]
[ordered-list, [87.0, 357.0, 671.0, 18.0], QPzp63XdhW, 5782399]
[ordered-list, [87.0, 375.0, 671.0, 18.0], QPzp63XdhW, 5782399]
[ordered-list, [87.0, 393.0, 671.0, 18.0], QPzp63XdhW, 5782399]
[ordered-list, [87.0, 411.0, 671.0, 18.0], QPzp63XdhW, 5782399]
[ordered-list, [87.0, 429.0, 671.0, 18.0], QPzp63XdhW, 5782399]
[ordered-list, [87.0, 447.0, 671.0, 18.0], QPzp63XdhW, 5782399]
[ordered-list, [87.0, 465.0, 671.0, 18.0], QPzp63XdhW, 5782399]
[ordered-list, [87.0, 483.0, 671.0, 18.0], QPzp63XdhW, 5782399]
[ordered-list, [87.0, 501.0, 671.0, 18.0], QPzp63XdhW, 5782399]
[ordered-list, [87.0, 519.0, 671.0, 18.0], QPzp63XdhW, 5782399]
[ordered-list, [87.0, 537.0, 671.0, 18.0], QPzp63XdhW, 5782399]
[ordered-list, [87.0, 555.0, 671.0, 18.0], QPzp63XdhW, 5782399]
[sub-ordered-list, [118.0, 234.0, 440.0, 18.0], bpbQj3QSVt, 5782399]
[sub-ordered-list, [118.0, 252.0, 440.0, 18.0], bpbQj3QSVt, 5782399]
[sub-ordered-list, [118.0, 270.0, 440.0, 18.0], bpbQj3QSVt, 5782399]
[sub-ordered-list, [118.0, 288.0, 440.0, 18.0], bpbQj3QSVt, 5782399]
[sub-ordered-list, [118.0, 306.0, 440.0, 18.0], bpbQj3QSVt, 5782399]
[sub-ordered-list, [97.0, 342.0, 639.0, 18.0], E3GGVD8D1n, 5782399]
[sub-ordered-list, [97.0, 360.0, 639.0, 18.0], E3GGVD8D1n, 5782399]
[sub-ordered-list, [97.0, 378.0, 639.0, 18.0], E3GGVD8D1n, 5782399]
[sub-ordered-list, [97.0, 396.0, 639.0, 18.0], E3GGVD8D1n, 5782399]
[sub-ordered-list, [97.0, 414.0, 639.0, 18.0], E3GGVD8D1n, 5782399]
[sub-ordered-list, [97.0, 432.0, 639.0, 18.0], E3GGVD8D1n, 5782399]
[sub-ordered-list, [97.0, 450.0, 639.0, 18.0], E3GGVD8D1n, 5782399]
[sub-ordered-list, [97.0, 494.0, 653.0, 18.0], yqKMtegFye, 5782399]
[sub-ordered-list, [97.0, 512.0, 653.0, 18.0], yqKMtegFye, 5782399]
[sub-ordered-list, [97.0, 530.0, 653.0, 18.0], yqKMtegFye, 5782399]
[sub-ordered-list, [97.0, 548.0, 653.0, 18.0], yqKMtegFye, 5782399]
[ordered-list, [82.0, 586.0, 669.0, 18.0], shoonya_1sZSEMNZV4XP4M, 5782399]
[ordered-list, [82.0, 604.0, 669.0, 18.0], shoonya_1sZSEMNZV4XP4M, 5782399]
[ordered-list, [82.0, 622.0, 669.0, 18.0], shoonya_1sZSEMNZV4XP4M, 5782399]
