[1637, 1070]
[paragraph, [57.0, 117.0, 899.0, 36.0], shoonya_2sQL5SHJDVCK08, 5653689]
[paragraph, [57.0, 153.0, 899.0, 36.0], shoonya_2sQL5SHJDVCK08, 5653689]
[paragraph, [57.0, 189.0, 899.0, 36.0], shoonya_2sQL5SHJDVCK08, 5653689]
[paragraph, [57.0, 225.0, 899.0, 36.0], shoonya_2sQL5SHJDVCK08, 5653689]
[paragraph, [62.0, 292.0, 892.0, 36.0], shoonya_4s5YYHW1ZNSU88, 5653689]
[paragraph, [62.0, 328.0, 892.0, 36.0], shoonya_4s5YYHW1ZNSU88, 5653689]
[paragraph, [62.0, 364.0, 892.0, 36.0], shoonya_4s5YYHW1ZNSU88, 5653689]
[paragraph, [62.0, 400.0, 892.0, 36.0], shoonya_4s5YYHW1ZNSU88, 5653689]
[paragraph, [68.0, 468.0, 887.0, 36.0], shoonya_0s4SWF74958IMA, 5653689]
[paragraph, [68.0, 504.0, 887.0, 36.0], shoonya_0s4SWF74958IMA, 5653689]
[paragraph, [68.0, 540.0, 887.0, 36.0], shoonya_0s4SWF74958IMA, 5653689]
[paragraph, [68.0, 576.0, 887.0, 36.0], shoonya_0s4SWF74958IMA, 5653689]
[paragraph, [68.0, 612.0, 887.0, 36.0], shoonya_0s4SWF74958IMA, 5653689]
[paragraph, [68.0, 648.0, 887.0, 36.0], shoonya_0s4SWF74958IMA, 5653689]
[paragraph, [68.0, 684.0, 887.0, 36.0], shoonya_0s4SWF74958IMA, 5653689]
[paragraph, [68.0, 720.0, 887.0, 36.0], shoonya_0s4SWF74958IMA, 5653689]
[paragraph, [68.0, 756.0, 887.0, 36.0], shoonya_0s4SWF74958IMA, 5653689]
[paragraph, [166.0, 814.0, 688.0, 36.0], shoonya_6sJ41K3KI5ERDO, 5653689]
[paragraph, [76.0, 859.0, 880.0, 36.0], shoonya_5s9N06LAUBV5AN, 5653689]
[paragraph, [76.0, 895.0, 880.0, 36.0], shoonya_5s9N06LAUBV5AN, 5653689]
[paragraph, [76.0, 931.0, 880.0, 36.0], shoonya_5s9N06LAUBV5AN, 5653689]
[paragraph, [76.0, 967.0, 880.0, 36.0], shoonya_5s9N06LAUBV5AN, 5653689]
[paragraph, [72.0, 1032.0, 886.0, 36.0], shoonya_7sEX2EBMHVE0P5, 5653689]
[paragraph, [72.0, 1068.0, 886.0, 36.0], shoonya_7sEX2EBMHVE0P5, 5653689]
[paragraph, [72.0, 1104.0, 886.0, 36.0], shoonya_7sEX2EBMHVE0P5, 5653689]
[paragraph, [64.0, 1159.0, 895.0, 36.0], shoonya_1sVFHI11Z63NZO, 5653689]
[paragraph, [64.0, 1195.0, 895.0, 36.0], shoonya_1sVFHI11Z63NZO, 5653689]
[paragraph, [64.0, 1231.0, 895.0, 36.0], shoonya_1sVFHI11Z63NZO, 5653689]
[paragraph, [64.0, 1267.0, 895.0, 36.0], shoonya_1sVFHI11Z63NZO, 5653689]
[paragraph, [64.0, 1303.0, 895.0, 36.0], shoonya_1sVFHI11Z63NZO, 5653689]
[paragraph, [64.0, 1339.0, 895.0, 36.0], shoonya_1sVFHI11Z63NZO, 5653689]
[paragraph, [64.0, 1375.0, 895.0, 36.0], shoonya_1sVFHI11Z63NZO, 5653689]
[paragraph, [64.0, 1411.0, 895.0, 36.0], shoonya_1sVFHI11Z63NZO, 5653689]
[paragraph, [64.0, 1447.0, 895.0, 36.0], shoonya_1sVFHI11Z63NZO, 5653689]
[paragraph, [64.0, 1483.0, 895.0, 36.0], shoonya_1sVFHI11Z63NZO, 5653689]
