[1754, 1241]
[section-title, [134.0, 195.0, 428.0, 49.5], S-rZggPo3A, 5726043]
[unordered-list, [181.0, 275.0, 907.0, 36.0], shoonya_0sL5PMB16VI9OB, 5726043]
[unordered-list, [181.0, 311.0, 907.0, 36.0], shoonya_0sL5PMB16VI9OB, 5726043]
[unordered-list, [181.0, 347.0, 907.0, 36.0], shoonya_0sL5PMB16VI9OB, 5726043]
[unordered-list, [181.0, 383.0, 907.0, 36.0], shoonya_0sL5PMB16VI9OB, 5726043]
[unordered-list, [181.0, 419.0, 907.0, 36.0], shoonya_0sL5PMB16VI9OB, 5726043]
[section-title, [141.0, 530.0, 311.0, 49.5], I_Mib5Ye8w, 5726043]
[sub-section-title, [141.0, 666.0, 249.0, 36.0], BJ8lvtQDxt, 5726043]
[unordered-list, [164.0, 741.0, 940.0, 36.0], fbaQnhd9tr, 5726043]
[unordered-list, [164.0, 777.0, 940.0, 36.0], fbaQnhd9tr, 5726043]
[unordered-list, [164.0, 813.0, 940.0, 36.0], fbaQnhd9tr, 5726043]
[unordered-list, [164.0, 849.0, 940.0, 36.0], fbaQnhd9tr, 5726043]
[unordered-list, [164.0, 885.0, 940.0, 36.0], fbaQnhd9tr, 5726043]
[unordered-list, [164.0, 921.0, 940.0, 36.0], fbaQnhd9tr, 5726043]
[unordered-list, [164.0, 957.0, 940.0, 36.0], fbaQnhd9tr, 5726043]
[unordered-list, [164.0, 993.0, 940.0, 36.0], fbaQnhd9tr, 5726043]
[unordered-list, [164.0, 1029.0, 940.0, 36.0], fbaQnhd9tr, 5726043]
[unordered-list, [164.0, 1065.0, 940.0, 36.0], fbaQnhd9tr, 5726043]
[unordered-list, [164.0, 1101.0, 940.0, 36.0], fbaQnhd9tr, 5726043]
[unordered-list, [164.0, 1137.0, 940.0, 36.0], fbaQnhd9tr, 5726043]
[unordered-list, [164.0, 1173.0, 940.0, 36.0], fbaQnhd9tr, 5726043]
[unordered-list, [164.0, 1209.0, 940.0, 36.0], fbaQnhd9tr, 5726043]
[unordered-list, [164.0, 1245.0, 940.0, 36.0], fbaQnhd9tr, 5726043]
[unordered-list, [164.0, 1281.0, 940.0, 36.0], fbaQnhd9tr, 5726043]
[unordered-list, [164.0, 1317.0, 940.0, 36.0], fbaQnhd9tr, 5726043]
[unordered-list, [164.0, 1353.0, 940.0, 36.0], fbaQnhd9tr, 5726043]
[unordered-list, [164.0, 1389.0, 940.0, 36.0], fbaQnhd9tr, 5726043]
[unordered-list, [164.0, 1425.0, 940.0, 36.0], fbaQnhd9tr, 5726043]
[unordered-list, [164.0, 1461.0, 940.0, 36.0], fbaQnhd9tr, 5726043]
[unordered-list, [164.0, 1497.0, 940.0, 36.0], fbaQnhd9tr, 5726043]
[unordered-list, [164.0, 1533.0, 940.0, 36.0], fbaQnhd9tr, 5726043]
[folio, [684.0, 1615.0, 415.0, 36.0], ZkXGml-ivv, 5726043]
