[1483, 1081]
[folio, [106.0, 95.0, 862.0, 18.0], dQz7w7PHjc, 5762440]
[folio, [106.0, 113.0, 862.0, 18.0], dQz7w7PHjc, 5762440]
[folio, [106.0, 131.0, 862.0, 18.0], dQz7w7PHjc, 5762440]
[folio, [106.0, 149.0, 862.0, 18.0], dQz7w7PHjc, 5762440]
[folio, [106.0, 167.0, 862.0, 18.0], dQz7w7PHjc, 5762440]
[folio, [106.0, 185.0, 862.0, 18.0], dQz7w7PHjc, 5762440]
[folio, [106.0, 203.0, 862.0, 18.0], dQz7w7PHjc, 5762440]
[folio, [106.0, 221.0, 862.0, 18.0], dQz7w7PHjc, 5762440]
[folio, [106.0, 239.0, 862.0, 18.0], dQz7w7PHjc, 5762440]
[paragraph, [57.0, 855.0, 979.0, 18.0], shoonya_0sZMYK02TEMDTU, 5762440]
[paragraph, [57.0, 873.0, 979.0, 18.0], shoonya_0sZMYK02TEMDTU, 5762440]
[paragraph, [57.0, 891.0, 979.0, 18.0], shoonya_0sZMYK02TEMDTU, 5762440]
[paragraph, [57.0, 909.0, 979.0, 18.0], shoonya_0sZMYK02TEMDTU, 5762440]
[paragraph, [57.0, 927.0, 979.0, 18.0], shoonya_0sZMYK02TEMDTU, 5762440]
[paragraph, [57.0, 945.0, 979.0, 18.0], shoonya_0sZMYK02TEMDTU, 5762440]
[paragraph, [57.0, 963.0, 979.0, 18.0], shoonya_0sZMYK02TEMDTU, 5762440]
[paragraph, [57.0, 981.0, 979.0, 18.0], shoonya_0sZMYK02TEMDTU, 5762440]
[paragraph, [57.0, 999.0, 979.0, 18.0], shoonya_0sZMYK02TEMDTU, 5762440]
[paragraph, [57.0, 1017.0, 979.0, 18.0], shoonya_0sZMYK02TEMDTU, 5762440]
[paragraph, [57.0, 1035.0, 979.0, 18.0], shoonya_0sZMYK02TEMDTU, 5762440]
[paragraph, [57.0, 1053.0, 979.0, 18.0], shoonya_0sZMYK02TEMDTU, 5762440]
[paragraph, [57.0, 1071.0, 979.0, 18.0], shoonya_0sZMYK02TEMDTU, 5762440]
[paragraph, [57.0, 1089.0, 979.0, 18.0], shoonya_0sZMYK02TEMDTU, 5762440]
[paragraph, [57.0, 1107.0, 979.0, 18.0], shoonya_0sZMYK02TEMDTU, 5762440]
[paragraph, [57.0, 1125.0, 979.0, 18.0], shoonya_0sZMYK02TEMDTU, 5762440]
[paragraph, [57.0, 1143.0, 979.0, 18.0], shoonya_0sZMYK02TEMDTU, 5762440]
[paragraph, [57.0, 1161.0, 979.0, 18.0], shoonya_0sZMYK02TEMDTU, 5762440]
[paragraph, [57.0, 1179.0, 979.0, 18.0], shoonya_0sZMYK02TEMDTU, 5762440]
[paragraph, [57.0, 1197.0, 979.0, 18.0], shoonya_0sZMYK02TEMDTU, 5762440]
[contact-info, [233.0, 1257.0, 608.0, 18.0], YFjSByeD_E, 5762440]
[contact-info, [233.0, 1275.0, 608.0, 18.0], YFjSByeD_E, 5762440]
[contact-info, [233.0, 1293.0, 608.0, 18.0], YFjSByeD_E, 5762440]
[contact-info, [233.0, 1311.0, 608.0, 18.0], YFjSByeD_E, 5762440]
[contact-info, [233.0, 1329.0, 608.0, 18.0], YFjSByeD_E, 5762440]
[contact-info, [233.0, 1347.0, 608.0, 18.0], YFjSByeD_E, 5762440]
[contact-info, [233.0, 1365.0, 608.0, 18.0], YFjSByeD_E, 5762440]
[contact-info, [233.0, 1383.0, 608.0, 18.0], YFjSByeD_E, 5762440]
[website-link, [537.0, 1370.0, 306.0, 18.0], UcdukmkDmk, 5762440]
[website-link, [537.0, 1388.0, 306.0, 18.0], UcdukmkDmk, 5762440]
