[2339, 1654]
[folio, [1336.0, 78.0, 224.0, 36.0], shoonya_4sHN71FM9TPVVE, 5751036]
[paragraph, [138.0, 124.0, 1432.0, 36.0], 5PgL5t_1u-, 5751036]
[paragraph, [138.0, 160.0, 1432.0, 36.0], 5PgL5t_1u-, 5751036]
[paragraph, [138.0, 196.0, 1432.0, 36.0], 5PgL5t_1u-, 5751036]
[paragraph, [138.0, 232.0, 1432.0, 36.0], 5PgL5t_1u-, 5751036]
[paragraph, [138.0, 268.0, 1432.0, 36.0], 5PgL5t_1u-, 5751036]
[paragraph, [290.0, 321.0, 1156.0, 36.0], dnEy40FxhE, 5751036]
[paragraph, [290.0, 357.0, 1156.0, 36.0], dnEy40FxhE, 5751036]
[paragraph, [290.0, 393.0, 1156.0, 36.0], dnEy40FxhE, 5751036]
[paragraph, [290.0, 429.0, 1156.0, 36.0], dnEy40FxhE, 5751036]
[paragraph, [290.0, 465.0, 1156.0, 36.0], dnEy40FxhE, 5751036]
[paragraph, [290.0, 501.0, 1156.0, 36.0], dnEy40FxhE, 5751036]
[paragraph, [290.0, 537.0, 1156.0, 36.0], dnEy40FxhE, 5751036]
[paragraph, [290.0, 573.0, 1156.0, 36.0], dnEy40FxhE, 5751036]
[reference, [922.0, 629.0, 497.0, 36.0], Y2RQYXWSZM, 5751036]
[paragraph, [137.0, 702.0, 1437.0, 36.0], shoonya_1s5XCU2OJTUWVD, 5751036]
[paragraph, [137.0, 738.0, 1437.0, 36.0], shoonya_1s5XCU2OJTUWVD, 5751036]
[paragraph, [137.0, 774.0, 1437.0, 36.0], shoonya_1s5XCU2OJTUWVD, 5751036]
[paragraph, [137.0, 810.0, 1437.0, 36.0], shoonya_1s5XCU2OJTUWVD, 5751036]
[paragraph, [137.0, 846.0, 1437.0, 36.0], shoonya_1s5XCU2OJTUWVD, 5751036]
[paragraph, [137.0, 882.0, 1437.0, 36.0], shoonya_1s5XCU2OJTUWVD, 5751036]
[paragraph, [137.0, 918.0, 1437.0, 36.0], shoonya_1s5XCU2OJTUWVD, 5751036]
[paragraph, [137.0, 954.0, 1437.0, 36.0], shoonya_1s5XCU2OJTUWVD, 5751036]
[paragraph, [137.0, 990.0, 1437.0, 36.0], shoonya_1s5XCU2OJTUWVD, 5751036]
[paragraph, [269.0, 1054.0, 802.0, 36.0], n2PF11b91W, 5751036]
[reference, [916.0, 1130.0, 495.0, 36.0], shoonya_2sOZB8ALDBNWMF, 5751036]
[paragraph, [122.0, 1189.0, 1442.0, 36.0], oPXRqnVdCi, 5751036]
[paragraph, [122.0, 1225.0, 1442.0, 36.0], oPXRqnVdCi, 5751036]
[paragraph, [122.0, 1261.0, 1442.0, 36.0], oPXRqnVdCi, 5751036]
[paragraph, [122.0, 1297.0, 1442.0, 36.0], oPXRqnVdCi, 5751036]
[paragraph, [122.0, 1333.0, 1442.0, 36.0], oPXRqnVdCi, 5751036]
[paragraph, [259.0, 1383.0, 1168.0, 36.0], FaL0ciKA_c, 5751036]
[paragraph, [259.0, 1419.0, 1168.0, 36.0], FaL0ciKA_c, 5751036]
[paragraph, [259.0, 1455.0, 1168.0, 36.0], FaL0ciKA_c, 5751036]
[reference, [978.0, 1507.0, 424.0, 36.0], shoonya_3sGCOUEE4LJ1VA, 5751036]
[paragraph, [118.0, 1565.0, 1444.0, 36.0], shoonya_0sQ0KFF0BEYZ2K, 5751036]
[paragraph, [118.0, 1601.0, 1444.0, 36.0], shoonya_0sQ0KFF0BEYZ2K, 5751036]
[paragraph, [118.0, 1637.0, 1444.0, 36.0], shoonya_0sQ0KFF0BEYZ2K, 5751036]
[paragraph, [118.0, 1673.0, 1444.0, 36.0], shoonya_0sQ0KFF0BEYZ2K, 5751036]
[paragraph, [118.0, 1709.0, 1444.0, 36.0], shoonya_0sQ0KFF0BEYZ2K, 5751036]
[paragraph, [118.0, 1745.0, 1444.0, 36.0], shoonya_0sQ0KFF0BEYZ2K, 5751036]
[paragraph, [118.0, 1781.0, 1444.0, 36.0], shoonya_0sQ0KFF0BEYZ2K, 5751036]
[paragraph, [118.0, 1817.0, 1444.0, 36.0], shoonya_0sQ0KFF0BEYZ2K, 5751036]
[paragraph, [118.0, 1853.0, 1444.0, 36.0], shoonya_0sQ0KFF0BEYZ2K, 5751036]
[paragraph, [118.0, 1889.0, 1444.0, 36.0], shoonya_0sQ0KFF0BEYZ2K, 5751036]
[paragraph, [118.0, 1925.0, 1444.0, 36.0], shoonya_0sQ0KFF0BEYZ2K, 5751036]
[paragraph, [118.0, 1961.0, 1444.0, 36.0], shoonya_0sQ0KFF0BEYZ2K, 5751036]
[paragraph, [118.0, 1997.0, 1444.0, 36.0], shoonya_0sQ0KFF0BEYZ2K, 5751036]
[paragraph, [259.0, 2053.0, 812.0, 36.0], Xe49LU6_VC, 5751036]
[paragraph, [259.0, 2089.0, 812.0, 36.0], Xe49LU6_VC, 5751036]
[reference, [797.0, 2133.0, 599.0, 36.0], 61BUlBAojL, 5751036]
[paragraph, [257.0, 2191.0, 1162.0, 36.0], ZHC4apjLwh, 5751036]
