[2339, 1653]
[paragraph, [245.0, 245.0, 1155.0, 36.0], shoonya_2sHOEJ59W3V3FN, 5686058]
[paragraph, [245.0, 281.0, 1155.0, 36.0], shoonya_2sHOEJ59W3V3FN, 5686058]
[paragraph, [245.0, 317.0, 1155.0, 36.0], shoonya_2sHOEJ59W3V3FN, 5686058]
[paragraph, [245.0, 353.0, 1155.0, 36.0], shoonya_2sHOEJ59W3V3FN, 5686058]
[paragraph, [245.0, 389.0, 1155.0, 36.0], shoonya_2sHOEJ59W3V3FN, 5686058]
[paragraph, [245.0, 425.0, 1155.0, 36.0], shoonya_2sHOEJ59W3V3FN, 5686058]
[paragraph, [245.0, 461.0, 1155.0, 36.0], shoonya_2sHOEJ59W3V3FN, 5686058]
[section-title, [252.0, 593.0, 745.0, 52.5], shoonya_7sG0WTLXL98Y7Q, 5686058]
[paragraph, [247.0, 661.0, 1159.0, 36.0], shoonya_1sDS4RM1F6RE28, 5686058]
[paragraph, [247.0, 697.0, 1159.0, 36.0], shoonya_1sDS4RM1F6RE28, 5686058]
[paragraph, [247.0, 733.0, 1159.0, 36.0], shoonya_1sDS4RM1F6RE28, 5686058]
[paragraph, [247.0, 769.0, 1159.0, 36.0], shoonya_1sDS4RM1F6RE28, 5686058]
[paragraph, [247.0, 805.0, 1159.0, 36.0], shoonya_1sDS4RM1F6RE28, 5686058]
[paragraph, [247.0, 841.0, 1159.0, 36.0], shoonya_1sDS4RM1F6RE28, 5686058]
[paragraph, [247.0, 877.0, 1159.0, 36.0], shoonya_1sDS4RM1F6RE28, 5686058]
[paragraph, [247.0, 913.0, 1159.0, 36.0], shoonya_1sDS4RM1F6RE28, 5686058]
[paragraph, [247.0, 949.0, 1159.0, 36.0], shoonya_1sDS4RM1F6RE28, 5686058]
[paragraph, [247.0, 985.0, 1159.0, 36.0], shoonya_1sDS4RM1F6RE28, 5686058]
[paragraph, [247.0, 1021.0, 1159.0, 36.0], shoonya_1sDS4RM1F6RE28, 5686058]
[paragraph, [247.0, 1057.0, 1159.0, 36.0], shoonya_1sDS4RM1F6RE28, 5686058]
[paragraph, [247.0, 1093.0, 1159.0, 36.0], shoonya_1sDS4RM1F6RE28, 5686058]
[paragraph, [247.0, 1129.0, 1159.0, 36.0], shoonya_1sDS4RM1F6RE28, 5686058]
[paragraph, [247.0, 1165.0, 1159.0, 36.0], shoonya_1sDS4RM1F6RE28, 5686058]
[paragraph, [247.0, 1201.0, 1159.0, 36.0], shoonya_1sDS4RM1F6RE28, 5686058]
[paragraph, [247.0, 1237.0, 1159.0, 36.0], shoonya_1sDS4RM1F6RE28, 5686058]
[section-title, [253.0, 1360.0, 637.0, 52.5], shoonya_3sPUYHL9KXTQDU, 5686058]
[paragraph, [248.0, 1425.0, 1156.0, 36.0], shoonya_0s3XW316Q8IYWY, 5686058]
[paragraph, [248.0, 1461.0, 1156.0, 36.0], shoonya_0s3XW316Q8IYWY, 5686058]
[paragraph, [248.0, 1497.0, 1156.0, 36.0], shoonya_0s3XW316Q8IYWY, 5686058]
[paragraph, [248.0, 1533.0, 1156.0, 36.0], shoonya_0s3XW316Q8IYWY, 5686058]
[paragraph, [248.0, 1569.0, 1156.0, 36.0], shoonya_0s3XW316Q8IYWY, 5686058]
[paragraph, [248.0, 1605.0, 1156.0, 36.0], shoonya_0s3XW316Q8IYWY, 5686058]
[paragraph, [248.0, 1641.0, 1156.0, 36.0], shoonya_0s3XW316Q8IYWY, 5686058]
[paragraph, [248.0, 1677.0, 1156.0, 36.0], shoonya_0s3XW316Q8IYWY, 5686058]
[paragraph, [248.0, 1713.0, 1156.0, 36.0], shoonya_0s3XW316Q8IYWY, 5686058]
[paragraph, [248.0, 1749.0, 1156.0, 36.0], shoonya_0s3XW316Q8IYWY, 5686058]
[paragraph, [248.0, 1785.0, 1156.0, 36.0], shoonya_0s3XW316Q8IYWY, 5686058]
[paragraph, [248.0, 1821.0, 1156.0, 36.0], shoonya_0s3XW316Q8IYWY, 5686058]
[paragraph, [248.0, 1857.0, 1156.0, 36.0], shoonya_0s3XW316Q8IYWY, 5686058]
[paragraph, [248.0, 1893.0, 1156.0, 36.0], shoonya_0s3XW316Q8IYWY, 5686058]
[paragraph, [248.0, 1929.0, 1156.0, 36.0], shoonya_0s3XW316Q8IYWY, 5686058]
