[515, 727]
[paragraph, [419.0, 27.0, 282.0, 18.0], rEX1u2jXRC, 6534278]
[paragraph, [419.0, 45.0, 282.0, 18.0], rEX1u2jXRC, 6534278]
[paragraph, [419.0, 63.0, 282.0, 18.0], rEX1u2jXRC, 6534278]
[paragraph, [419.0, 81.0, 282.0, 18.0], rEX1u2jXRC, 6534278]
[paragraph, [419.0, 99.0, 282.0, 18.0], rEX1u2jXRC, 6534278]
[paragraph, [419.0, 117.0, 282.0, 18.0], rEX1u2jXRC, 6534278]
[paragraph, [419.0, 135.0, 282.0, 18.0], rEX1u2jXRC, 6534278]
[paragraph, [419.0, 153.0, 282.0, 18.0], rEX1u2jXRC, 6534278]
[paragraph, [419.0, 171.0, 282.0, 18.0], rEX1u2jXRC, 6534278]
[paragraph, [419.0, 189.0, 282.0, 18.0], rEX1u2jXRC, 6534278]
[paragraph, [419.0, 207.0, 282.0, 18.0], rEX1u2jXRC, 6534278]
[paragraph, [419.0, 225.0, 282.0, 18.0], rEX1u2jXRC, 6534278]
[paragraph, [131.0, 34.0, 277.0, 18.0], shoonya_0s8474KELJZIOC, 6534278]
[paragraph, [131.0, 52.0, 277.0, 18.0], shoonya_0s8474KELJZIOC, 6534278]
[paragraph, [131.0, 70.0, 277.0, 18.0], shoonya_0s8474KELJZIOC, 6534278]
[paragraph, [134.0, 103.0, 273.0, 18.0], 088kJtG3XX, 6534278]
[paragraph, [134.0, 121.0, 273.0, 18.0], 088kJtG3XX, 6534278]
[paragraph, [134.0, 139.0, 273.0, 18.0], 088kJtG3XX, 6534278]
[paragraph, [134.0, 157.0, 273.0, 18.0], 088kJtG3XX, 6534278]
[paragraph, [134.0, 175.0, 273.0, 18.0], 088kJtG3XX, 6534278]
[paragraph, [134.0, 193.0, 273.0, 18.0], 088kJtG3XX, 6534278]
[paragraph, [134.0, 211.0, 273.0, 18.0], 088kJtG3XX, 6534278]
[paragraph, [134.0, 229.0, 273.0, 18.0], 088kJtG3XX, 6534278]
[paragraph, [134.0, 247.0, 273.0, 18.0], 088kJtG3XX, 6534278]
[paragraph, [134.0, 265.0, 273.0, 18.0], 088kJtG3XX, 6534278]
[paragraph, [134.0, 283.0, 273.0, 18.0], 088kJtG3XX, 6534278]
[paragraph, [422.0, 252.0, 278.0, 18.0], N6WGk1Rx4a, 6534278]
[paragraph, [422.0, 270.0, 278.0, 18.0], N6WGk1Rx4a, 6534278]
[paragraph, [422.0, 288.0, 278.0, 18.0], N6WGk1Rx4a, 6534278]
[paragraph, [128.0, 313.0, 281.0, 18.0], 9oIvzily4o, 6534278]
[paragraph, [128.0, 331.0, 281.0, 18.0], 9oIvzily4o, 6534278]
[paragraph, [128.0, 349.0, 281.0, 18.0], 9oIvzily4o, 6534278]
[paragraph, [128.0, 367.0, 281.0, 18.0], 9oIvzily4o, 6534278]
[paragraph, [423.0, 317.0, 279.0, 18.0], 4M3Dpvm2xv, 6534278]
[paragraph, [423.0, 335.0, 279.0, 18.0], 4M3Dpvm2xv, 6534278]
[paragraph, [423.0, 353.0, 279.0, 18.0], 4M3Dpvm2xv, 6534278]
[paragraph, [423.0, 371.0, 279.0, 18.0], 4M3Dpvm2xv, 6534278]
[paragraph, [423.0, 389.0, 279.0, 18.0], 4M3Dpvm2xv, 6534278]
[paragraph, [134.0, 391.0, 275.0, 18.0], GVonBvKCs0, 6534278]
[paragraph, [134.0, 409.0, 275.0, 18.0], GVonBvKCs0, 6534278]
[folio, [419.0, 415.0, 57.0, 18.0], fQVrD2Loj2, 6534278]
[folio, [349.0, 433.0, 56.0, 18.0], ri_HzU8GpM, 6534278]
