[1818, 1374]
[folio, [479.0, 188.0, 408.0, 36.0], shoonya_1sOBP4GM1LNEY2, 5681938]
[paragraph, [702.0, 255.0, 565.0, 36.0], 7IqbQKyMhp, 5681938]
[paragraph, [702.0, 291.0, 565.0, 36.0], 7IqbQKyMhp, 5681938]
[paragraph, [113.0, 258.0, 566.0, 36.0], shoonya_3sECB7NEYQC6H2, 5681938]
[paragraph, [113.0, 294.0, 566.0, 36.0], shoonya_3sECB7NEYQC6H2, 5681938]
[paragraph, [113.0, 330.0, 566.0, 36.0], shoonya_3sECB7NEYQC6H2, 5681938]
[paragraph, [113.0, 366.0, 566.0, 36.0], shoonya_3sECB7NEYQC6H2, 5681938]
[paragraph, [113.0, 402.0, 566.0, 36.0], shoonya_3sECB7NEYQC6H2, 5681938]
[paragraph, [113.0, 438.0, 566.0, 36.0], shoonya_3sECB7NEYQC6H2, 5681938]
[paragraph, [113.0, 474.0, 566.0, 36.0], shoonya_3sECB7NEYQC6H2, 5681938]
[paragraph, [113.0, 510.0, 566.0, 36.0], shoonya_3sECB7NEYQC6H2, 5681938]
[paragraph, [113.0, 546.0, 566.0, 36.0], shoonya_3sECB7NEYQC6H2, 5681938]
[paragraph, [113.0, 582.0, 566.0, 36.0], shoonya_3sECB7NEYQC6H2, 5681938]
[paragraph, [113.0, 618.0, 566.0, 36.0], shoonya_3sECB7NEYQC6H2, 5681938]
[paragraph, [113.0, 654.0, 566.0, 36.0], shoonya_3sECB7NEYQC6H2, 5681938]
[paragraph, [113.0, 690.0, 566.0, 36.0], shoonya_3sECB7NEYQC6H2, 5681938]
[paragraph, [113.0, 726.0, 566.0, 36.0], shoonya_3sECB7NEYQC6H2, 5681938]
[paragraph, [113.0, 762.0, 566.0, 36.0], shoonya_3sECB7NEYQC6H2, 5681938]
[paragraph, [113.0, 798.0, 566.0, 36.0], shoonya_3sECB7NEYQC6H2, 5681938]
[paragraph, [113.0, 834.0, 566.0, 36.0], shoonya_3sECB7NEYQC6H2, 5681938]
[paragraph, [113.0, 870.0, 566.0, 36.0], shoonya_3sECB7NEYQC6H2, 5681938]
[paragraph, [113.0, 906.0, 566.0, 36.0], shoonya_3sECB7NEYQC6H2, 5681938]
[paragraph, [113.0, 942.0, 566.0, 36.0], shoonya_3sECB7NEYQC6H2, 5681938]
[paragraph, [700.0, 339.0, 566.0, 36.0], 3oBvbMK4FC, 5681938]
[paragraph, [700.0, 375.0, 566.0, 36.0], 3oBvbMK4FC, 5681938]
[paragraph, [700.0, 411.0, 566.0, 36.0], 3oBvbMK4FC, 5681938]
[paragraph, [700.0, 447.0, 566.0, 36.0], 3oBvbMK4FC, 5681938]
[paragraph, [700.0, 483.0, 566.0, 36.0], 3oBvbMK4FC, 5681938]
[paragraph, [700.0, 519.0, 566.0, 36.0], 3oBvbMK4FC, 5681938]
[paragraph, [700.0, 555.0, 566.0, 36.0], 3oBvbMK4FC, 5681938]
[paragraph, [700.0, 591.0, 566.0, 36.0], 3oBvbMK4FC, 5681938]
[paragraph, [700.0, 669.0, 563.0, 36.0], mPKVziAJxV, 5681938]
[paragraph, [700.0, 705.0, 563.0, 36.0], mPKVziAJxV, 5681938]
[paragraph, [700.0, 741.0, 563.0, 36.0], mPKVziAJxV, 5681938]
[paragraph, [700.0, 777.0, 563.0, 36.0], mPKVziAJxV, 5681938]
[paragraph, [700.0, 813.0, 563.0, 36.0], mPKVziAJxV, 5681938]
[paragraph, [700.0, 849.0, 563.0, 36.0], mPKVziAJxV, 5681938]
[paragraph, [702.0, 911.0, 561.0, 36.0], MPHm9i0zPH, 5681938]
[paragraph, [702.0, 947.0, 561.0, 36.0], MPHm9i0zPH, 5681938]
[paragraph, [115.0, 993.0, 568.0, 36.0], shoonya_4sBOYZQ65Q06IU, 5681938]
[paragraph, [115.0, 1029.0, 568.0, 36.0], shoonya_4sBOYZQ65Q06IU, 5681938]
[paragraph, [700.0, 995.0, 566.0, 36.0], NpILcNnL56, 5681938]
[paragraph, [700.0, 1031.0, 566.0, 36.0], NpILcNnL56, 5681938]
[paragraph, [700.0, 1067.0, 566.0, 36.0], NpILcNnL56, 5681938]
[paragraph, [700.0, 1103.0, 566.0, 36.0], NpILcNnL56, 5681938]
[paragraph, [700.0, 1139.0, 566.0, 36.0], NpILcNnL56, 5681938]
[paragraph, [115.0, 1077.0, 566.0, 36.0], shoonya_5sAXCU7LMHO92O, 5681938]
[paragraph, [115.0, 1113.0, 566.0, 36.0], shoonya_5sAXCU7LMHO92O, 5681938]
[paragraph, [115.0, 1149.0, 566.0, 36.0], shoonya_5sAXCU7LMHO92O, 5681938]
[paragraph, [115.0, 1185.0, 566.0, 36.0], shoonya_5sAXCU7LMHO92O, 5681938]
