[1492, 1000]
[folio, [413.0, 143.0, 203.0, 18.0], shoonya_2s5AJ77R1EGBUU, 5719931]
[folio, [413.0, 161.0, 203.0, 18.0], shoonya_2s5AJ77R1EGBUU, 5719931]
[paragraph, [142.0, 201.0, 727.0, 18.0], shoonya_0sP4GZ1QWU52H7, 5719931]
[paragraph, [142.0, 219.0, 727.0, 18.0], shoonya_0sP4GZ1QWU52H7, 5719931]
[paragraph, [142.0, 237.0, 727.0, 18.0], shoonya_0sP4GZ1QWU52H7, 5719931]
[paragraph, [142.0, 255.0, 727.0, 18.0], shoonya_0sP4GZ1QWU52H7, 5719931]
[paragraph, [142.0, 273.0, 727.0, 18.0], shoonya_0sP4GZ1QWU52H7, 5719931]
[paragraph, [142.0, 291.0, 727.0, 18.0], shoonya_0sP4GZ1QWU52H7, 5719931]
[paragraph, [142.0, 309.0, 727.0, 18.0], shoonya_0sP4GZ1QWU52H7, 5719931]
[paragraph, [142.0, 327.0, 727.0, 18.0], shoonya_0sP4GZ1QWU52H7, 5719931]
[paragraph, [142.0, 345.0, 727.0, 18.0], shoonya_0sP4GZ1QWU52H7, 5719931]
[paragraph, [148.0, 368.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 386.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 404.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 422.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 440.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 458.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 476.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 494.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 512.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 530.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 548.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 566.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 584.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 602.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 620.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 638.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 656.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 674.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 692.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 710.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 728.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 746.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 764.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 782.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 800.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 818.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 836.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 854.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 872.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 890.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 908.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 926.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 944.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 962.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 980.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 998.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 1016.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 1034.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 1052.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 1070.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 1088.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 1106.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 1124.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 1142.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 1160.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 1178.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 1196.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 1214.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 1232.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 1250.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 1268.0, 739.0, 18.0], MNncoXd41a, 5719931]
[paragraph, [148.0, 1286.0, 739.0, 18.0], MNncoXd41a, 5719931]
