[783, 603]
[section-title, [176.0, 14.0, 259.0, 30.0], dH3ZlwmZ2B, 5715896]
[section-title, [176.0, 44.0, 259.0, 30.0], dH3ZlwmZ2B, 5715896]
[section-title, [176.0, 74.0, 259.0, 30.0], dH3ZlwmZ2B, 5715896]
[figure-caption, [395.0, 454.0, 143.0, 18.0], mzqdfKqA9P, 5715896]
[figure-caption, [395.0, 472.0, 143.0, 18.0], mzqdfKqA9P, 5715896]
[figure-caption, [395.0, 490.0, 143.0, 18.0], mzqdfKqA9P, 5715896]
[figure-caption, [395.0, 508.0, 143.0, 18.0], mzqdfKqA9P, 5715896]
[figure-caption, [395.0, 526.0, 143.0, 18.0], mzqdfKqA9P, 5715896]
[figure-caption, [74.0, 456.0, 143.0, 18.0], S4Gtt6JeY0, 5715896]
[figure-caption, [74.0, 474.0, 143.0, 18.0], S4Gtt6JeY0, 5715896]
[figure-caption, [74.0, 492.0, 143.0, 18.0], S4Gtt6JeY0, 5715896]
[figure-caption, [74.0, 510.0, 143.0, 18.0], S4Gtt6JeY0, 5715896]
[figure-caption, [74.0, 528.0, 143.0, 18.0], S4Gtt6JeY0, 5715896]
[figure-caption, [74.0, 546.0, 143.0, 18.0], S4Gtt6JeY0, 5715896]
[figure-caption, [74.0, 564.0, 143.0, 18.0], S4Gtt6JeY0, 5715896]
[figure-caption, [74.0, 582.0, 143.0, 18.0], S4Gtt6JeY0, 5715896]
[figure-caption, [74.0, 600.0, 143.0, 18.0], S4Gtt6JeY0, 5715896]
[figure-caption, [236.0, 456.0, 140.0, 18.0], r-tzDjU2D2, 5715896]
[figure-caption, [236.0, 474.0, 140.0, 18.0], r-tzDjU2D2, 5715896]
[figure-caption, [236.0, 492.0, 140.0, 18.0], r-tzDjU2D2, 5715896]
[figure-caption, [236.0, 510.0, 140.0, 18.0], r-tzDjU2D2, 5715896]
[figure-caption, [236.0, 528.0, 140.0, 18.0], r-tzDjU2D2, 5715896]
[figure-caption, [236.0, 546.0, 140.0, 18.0], r-tzDjU2D2, 5715896]
[folio, [223.0, 662.0, 175.0, 18.0], -MC3yzH9qc, 5715896]
[folio, [279.0, 710.0, 120.0, 18.0], HEp22i_12k, 5715896]
[folio, [279.0, 728.0, 120.0, 18.0], HEp22i_12k, 5715896]
