[2481, 1654]
[folio, [341.0, 86.0, 132.0, 36.0], EHWc8Kt04g, 5721383]
[folio, [341.0, 122.0, 132.0, 36.0], EHWc8Kt04g, 5721383]
[paragraph, [200.0, 208.0, 1306.0, 36.0], 13zXgbLiEX, 5721383]
[paragraph, [200.0, 244.0, 1306.0, 36.0], 13zXgbLiEX, 5721383]
[paragraph, [200.0, 280.0, 1306.0, 36.0], 13zXgbLiEX, 5721383]
[paragraph, [200.0, 316.0, 1306.0, 36.0], 13zXgbLiEX, 5721383]
[paragraph, [200.0, 352.0, 1306.0, 36.0], 13zXgbLiEX, 5721383]
[paragraph, [200.0, 388.0, 1306.0, 36.0], 13zXgbLiEX, 5721383]
[paragraph, [200.0, 424.0, 1306.0, 36.0], 13zXgbLiEX, 5721383]
[paragraph, [200.0, 460.0, 1306.0, 36.0], 13zXgbLiEX, 5721383]
[paragraph, [200.0, 496.0, 1306.0, 36.0], 13zXgbLiEX, 5721383]
[paragraph, [194.0, 533.0, 1312.0, 36.0], Sa7libL4wD, 5721383]
[paragraph, [194.0, 569.0, 1312.0, 36.0], Sa7libL4wD, 5721383]
[paragraph, [192.0, 637.0, 1310.0, 36.0], IkjeAEdkgY, 5721383]
[paragraph, [192.0, 673.0, 1310.0, 36.0], IkjeAEdkgY, 5721383]
[paragraph, [192.0, 709.0, 1310.0, 36.0], IkjeAEdkgY, 5721383]
[paragraph, [192.0, 745.0, 1310.0, 36.0], IkjeAEdkgY, 5721383]
[paragraph, [192.0, 781.0, 1310.0, 36.0], IkjeAEdkgY, 5721383]
[paragraph, [192.0, 817.0, 1310.0, 36.0], IkjeAEdkgY, 5721383]
[paragraph, [192.0, 853.0, 1310.0, 36.0], IkjeAEdkgY, 5721383]
[paragraph, [188.0, 895.0, 1314.0, 36.0], 4m-Wbebdb3, 5721383]
[paragraph, [188.0, 931.0, 1314.0, 36.0], 4m-Wbebdb3, 5721383]
[paragraph, [186.0, 1003.0, 1316.0, 36.0], 9RrGI99_Ty, 5721383]
[paragraph, [186.0, 1039.0, 1316.0, 36.0], 9RrGI99_Ty, 5721383]
[paragraph, [186.0, 1075.0, 1316.0, 36.0], 9RrGI99_Ty, 5721383]
[paragraph, [186.0, 1111.0, 1316.0, 36.0], 9RrGI99_Ty, 5721383]
[paragraph, [184.0, 1160.0, 1319.0, 36.0], Rh-_2qxwBV, 5721383]
[paragraph, [184.0, 1196.0, 1319.0, 36.0], Rh-_2qxwBV, 5721383]
[paragraph, [184.0, 1260.0, 1316.0, 36.0], xXjCFEPiS_, 5721383]
[paragraph, [184.0, 1296.0, 1316.0, 36.0], xXjCFEPiS_, 5721383]
[paragraph, [177.0, 1365.0, 1323.0, 36.0], GceBPKCFUy, 5721383]
[paragraph, [177.0, 1401.0, 1323.0, 36.0], GceBPKCFUy, 5721383]
[paragraph, [270.0, 1471.0, 736.0, 36.0], VG_Z1X-1gy, 5721383]
[paragraph, [270.0, 1525.0, 802.0, 36.0], q2MKEHQoft, 5721383]
[paragraph, [270.0, 1576.0, 1027.0, 36.0], Qn4Uf7CLix, 5721383]
[paragraph, [202.0, 1630.0, 1296.0, 36.0], DjE5ZeSTiD, 5721383]
[paragraph, [202.0, 1666.0, 1296.0, 36.0], DjE5ZeSTiD, 5721383]
[paragraph, [202.0, 1702.0, 1296.0, 36.0], DjE5ZeSTiD, 5721383]
[paragraph, [202.0, 1738.0, 1296.0, 36.0], DjE5ZeSTiD, 5721383]
[paragraph, [202.0, 1774.0, 1296.0, 36.0], DjE5ZeSTiD, 5721383]
[paragraph, [202.0, 1810.0, 1296.0, 36.0], DjE5ZeSTiD, 5721383]
[paragraph, [202.0, 1846.0, 1296.0, 36.0], DjE5ZeSTiD, 5721383]
[paragraph, [266.0, 1887.0, 659.0, 36.0], S5-QsahXLw, 5721383]
[paragraph, [281.0, 1932.0, 434.0, 36.0], ip1M3DxH9S, 5721383]
[paragraph, [212.0, 1994.0, 1292.0, 36.0], ee74-hnQwD, 5721383]
[paragraph, [212.0, 2030.0, 1292.0, 36.0], ee74-hnQwD, 5721383]
[paragraph, [212.0, 2066.0, 1292.0, 36.0], ee74-hnQwD, 5721383]
[paragraph, [212.0, 2102.0, 1292.0, 36.0], ee74-hnQwD, 5721383]
[paragraph, [212.0, 2138.0, 1292.0, 36.0], ee74-hnQwD, 5721383]
