[1200, 825]
[paragraph, [143.0, 111.0, 538.0, 18.0], shoonya_0s9BD0SW7QQWFD, 5691081]
[paragraph, [143.0, 129.0, 538.0, 18.0], shoonya_0s9BD0SW7QQWFD, 5691081]
[paragraph, [143.0, 147.0, 538.0, 18.0], shoonya_0s9BD0SW7QQWFD, 5691081]
[paragraph, [143.0, 165.0, 538.0, 18.0], shoonya_0s9BD0SW7QQWFD, 5691081]
[paragraph, [143.0, 183.0, 538.0, 18.0], shoonya_0s9BD0SW7QQWFD, 5691081]
[paragraph, [143.0, 201.0, 538.0, 18.0], shoonya_0s9BD0SW7QQWFD, 5691081]
[paragraph, [143.0, 219.0, 538.0, 18.0], shoonya_0s9BD0SW7QQWFD, 5691081]
[paragraph, [143.0, 237.0, 538.0, 18.0], shoonya_0s9BD0SW7QQWFD, 5691081]
[paragraph, [143.0, 255.0, 538.0, 18.0], shoonya_0s9BD0SW7QQWFD, 5691081]
[paragraph, [143.0, 273.0, 538.0, 18.0], shoonya_0s9BD0SW7QQWFD, 5691081]
[paragraph, [143.0, 291.0, 538.0, 18.0], shoonya_0s9BD0SW7QQWFD, 5691081]
[paragraph, [143.0, 309.0, 538.0, 18.0], shoonya_0s9BD0SW7QQWFD, 5691081]
[paragraph, [143.0, 327.0, 538.0, 18.0], shoonya_0s9BD0SW7QQWFD, 5691081]
[paragraph, [143.0, 345.0, 538.0, 18.0], shoonya_0s9BD0SW7QQWFD, 5691081]
[paragraph, [143.0, 363.0, 538.0, 18.0], shoonya_0s9BD0SW7QQWFD, 5691081]
[paragraph, [143.0, 381.0, 538.0, 18.0], shoonya_0s9BD0SW7QQWFD, 5691081]
[paragraph, [143.0, 399.0, 538.0, 18.0], shoonya_0s9BD0SW7QQWFD, 5691081]
[paragraph, [143.0, 417.0, 538.0, 18.0], shoonya_0s9BD0SW7QQWFD, 5691081]
[paragraph, [143.0, 435.0, 538.0, 18.0], shoonya_0s9BD0SW7QQWFD, 5691081]
[paragraph, [143.0, 453.0, 538.0, 18.0], shoonya_0s9BD0SW7QQWFD, 5691081]
[paragraph, [146.0, 480.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 498.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 516.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 534.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 552.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 570.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 588.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 606.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 624.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 642.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 660.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 678.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 696.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 714.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 732.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 750.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 768.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 786.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 804.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 822.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 840.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 858.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 876.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 894.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 912.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 930.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 948.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 966.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 984.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 1002.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 1020.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
[paragraph, [146.0, 1038.0, 535.0, 18.0], shoonya_1sRFKAVT6KSXWB, 5691081]
