[1304, 822]
[folio, [43.0, 32.0, 136.0, 18.0], Gw5WQUjCUQ, 5660778]
[folio, [43.0, 50.0, 136.0, 18.0], Gw5WQUjCUQ, 5660778]
[paragraph, [35.0, 89.0, 742.0, 18.0], bmsm6RXfoC, 5660778]
[paragraph, [35.0, 107.0, 742.0, 18.0], bmsm6RXfoC, 5660778]
[paragraph, [35.0, 125.0, 742.0, 18.0], bmsm6RXfoC, 5660778]
[ordered-list, [22.0, 163.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 181.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 199.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 217.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 235.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 253.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 271.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 289.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 307.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 325.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 343.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 361.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 379.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 397.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 415.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 433.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 451.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 469.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 487.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 505.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 523.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 541.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 559.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 577.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 595.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 613.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 631.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 649.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 667.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 685.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 703.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 721.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 739.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 757.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 775.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 793.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 811.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 829.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 847.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 865.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 883.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 901.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 919.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 937.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 955.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 973.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 991.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 1009.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 1027.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 1045.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 1063.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 1081.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 1099.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 1117.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 1135.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 1153.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[ordered-list, [22.0, 1171.0, 768.0, 18.0], 0GWDohNl5k, 5660778]
[footnote, [48.0, 1226.0, 732.0, 18.0], j438imwrpk, 5660778]
[footnote, [48.0, 1244.0, 732.0, 18.0], j438imwrpk, 5660778]
[footnote, [48.0, 1262.0, 732.0, 18.0], j438imwrpk, 5660778]
[website-link, [499.0, 1259.0, 207.0, 18.0], FOkeF2-8eU, 5660778]
[website-link, [119.0, 1262.0, 219.0, 18.0], 528B_2opae, 5660778]
