[1613, 1152]
[folio, [493.0, 83.0, 174.0, 36.0], 7rko90xbBg, 5722714]
[paragraph, [591.0, 128.0, 476.0, 36.0], shoonya_2sOHU1RUACW3GI, 5722714]
[paragraph, [591.0, 164.0, 476.0, 36.0], shoonya_2sOHU1RUACW3GI, 5722714]
[paragraph, [591.0, 200.0, 476.0, 36.0], shoonya_2sOHU1RUACW3GI, 5722714]
[paragraph, [591.0, 236.0, 476.0, 36.0], shoonya_2sOHU1RUACW3GI, 5722714]
[paragraph, [591.0, 272.0, 476.0, 36.0], shoonya_2sOHU1RUACW3GI, 5722714]
[paragraph, [591.0, 308.0, 476.0, 36.0], shoonya_2sOHU1RUACW3GI, 5722714]
[paragraph, [591.0, 344.0, 476.0, 36.0], shoonya_2sOHU1RUACW3GI, 5722714]
[paragraph, [591.0, 380.0, 476.0, 36.0], shoonya_2sOHU1RUACW3GI, 5722714]
[paragraph, [591.0, 416.0, 476.0, 36.0], shoonya_2sOHU1RUACW3GI, 5722714]
[paragraph, [591.0, 452.0, 476.0, 36.0], shoonya_2sOHU1RUACW3GI, 5722714]
[paragraph, [591.0, 488.0, 476.0, 36.0], shoonya_2sOHU1RUACW3GI, 5722714]
[paragraph, [591.0, 524.0, 476.0, 36.0], shoonya_2sOHU1RUACW3GI, 5722714]
[paragraph, [591.0, 560.0, 476.0, 36.0], shoonya_2sOHU1RUACW3GI, 5722714]
[paragraph, [591.0, 596.0, 476.0, 36.0], shoonya_2sOHU1RUACW3GI, 5722714]
[paragraph, [591.0, 632.0, 476.0, 36.0], shoonya_2sOHU1RUACW3GI, 5722714]
[paragraph, [591.0, 668.0, 476.0, 36.0], shoonya_2sOHU1RUACW3GI, 5722714]
[paragraph, [591.0, 704.0, 476.0, 36.0], shoonya_2sOHU1RUACW3GI, 5722714]
[paragraph, [591.0, 740.0, 476.0, 36.0], shoonya_2sOHU1RUACW3GI, 5722714]
[paragraph, [591.0, 776.0, 476.0, 36.0], shoonya_2sOHU1RUACW3GI, 5722714]
[paragraph, [591.0, 812.0, 476.0, 36.0], shoonya_2sOHU1RUACW3GI, 5722714]
[paragraph, [591.0, 848.0, 476.0, 36.0], shoonya_2sOHU1RUACW3GI, 5722714]
[paragraph, [591.0, 884.0, 476.0, 36.0], shoonya_2sOHU1RUACW3GI, 5722714]
[paragraph, [84.0, 132.0, 476.0, 36.0], shoonya_3sGEPFNCZ6RH3Q, 5722714]
[paragraph, [84.0, 168.0, 476.0, 36.0], shoonya_3sGEPFNCZ6RH3Q, 5722714]
[paragraph, [84.0, 204.0, 476.0, 36.0], shoonya_3sGEPFNCZ6RH3Q, 5722714]
[paragraph, [84.0, 240.0, 476.0, 36.0], shoonya_3sGEPFNCZ6RH3Q, 5722714]
[paragraph, [82.0, 291.0, 477.0, 36.0], shoonya_1sROLYDF64YGWA, 5722714]
[paragraph, [82.0, 327.0, 477.0, 36.0], shoonya_1sROLYDF64YGWA, 5722714]
[paragraph, [82.0, 363.0, 477.0, 36.0], shoonya_1sROLYDF64YGWA, 5722714]
[paragraph, [82.0, 399.0, 477.0, 36.0], shoonya_1sROLYDF64YGWA, 5722714]
[paragraph, [82.0, 435.0, 477.0, 36.0], shoonya_1sROLYDF64YGWA, 5722714]
[paragraph, [82.0, 471.0, 477.0, 36.0], shoonya_1sROLYDF64YGWA, 5722714]
[paragraph, [82.0, 507.0, 477.0, 36.0], shoonya_1sROLYDF64YGWA, 5722714]
[paragraph, [82.0, 543.0, 477.0, 36.0], shoonya_1sROLYDF64YGWA, 5722714]
[paragraph, [84.0, 603.0, 475.0, 36.0], shoonya_4sPVQZPFNIKP6M, 5722714]
[paragraph, [84.0, 639.0, 475.0, 36.0], shoonya_4sPVQZPFNIKP6M, 5722714]
[paragraph, [84.0, 675.0, 475.0, 36.0], shoonya_4sPVQZPFNIKP6M, 5722714]
[paragraph, [84.0, 711.0, 475.0, 36.0], shoonya_4sPVQZPFNIKP6M, 5722714]
[paragraph, [84.0, 747.0, 475.0, 36.0], shoonya_4sPVQZPFNIKP6M, 5722714]
[paragraph, [84.0, 783.0, 475.0, 36.0], shoonya_4sPVQZPFNIKP6M, 5722714]
