[1447, 1093]
[answer, [120.0, 97.0, 639.0, 18.0], 2PigjchCBm, 5715338]
[answer, [120.0, 115.0, 639.0, 18.0], 2PigjchCBm, 5715338]
[answer, [120.0, 133.0, 639.0, 18.0], 2PigjchCBm, 5715338]
[answer, [127.0, 187.0, 638.0, 18.0], yUedfDIL_l, 5715338]
[answer, [127.0, 205.0, 638.0, 18.0], yUedfDIL_l, 5715338]
[answer, [127.0, 223.0, 638.0, 18.0], yUedfDIL_l, 5715338]
[answer, [127.0, 241.0, 638.0, 18.0], yUedfDIL_l, 5715338]
[answer, [127.0, 259.0, 638.0, 18.0], yUedfDIL_l, 5715338]
[answer, [127.0, 277.0, 638.0, 18.0], yUedfDIL_l, 5715338]
[answer, [124.0, 323.0, 655.0, 18.0], j5G45xe8KX, 5715338]
[answer, [124.0, 341.0, 655.0, 18.0], j5G45xe8KX, 5715338]
[answer, [124.0, 359.0, 655.0, 18.0], j5G45xe8KX, 5715338]
[answer, [124.0, 377.0, 655.0, 18.0], j5G45xe8KX, 5715338]
[answer, [124.0, 395.0, 655.0, 18.0], j5G45xe8KX, 5715338]
[answer, [124.0, 413.0, 655.0, 18.0], j5G45xe8KX, 5715338]
[answer, [132.0, 460.0, 620.0, 18.0], ttEyrZb9ey, 5715338]
[answer, [132.0, 478.0, 620.0, 18.0], ttEyrZb9ey, 5715338]
[answer, [132.0, 496.0, 620.0, 18.0], ttEyrZb9ey, 5715338]
[answer, [132.0, 550.0, 629.0, 18.0], hOga3GB1gl, 5715338]
[answer, [132.0, 568.0, 629.0, 18.0], hOga3GB1gl, 5715338]
[answer, [132.0, 586.0, 629.0, 18.0], hOga3GB1gl, 5715338]
[answer, [132.0, 604.0, 629.0, 18.0], hOga3GB1gl, 5715338]
[answer, [131.0, 662.0, 632.0, 18.0], D3YL5QDbDm, 5715338]
[answer, [131.0, 680.0, 632.0, 18.0], D3YL5QDbDm, 5715338]
[answer, [131.0, 698.0, 632.0, 18.0], D3YL5QDbDm, 5715338]
[answer, [132.0, 776.0, 636.0, 18.0], LWJw6Grw1m, 5715338]
[answer, [132.0, 794.0, 636.0, 18.0], LWJw6Grw1m, 5715338]
[answer, [132.0, 812.0, 636.0, 18.0], LWJw6Grw1m, 5715338]
[answer, [132.0, 830.0, 636.0, 18.0], LWJw6Grw1m, 5715338]
[answer, [132.0, 848.0, 636.0, 18.0], LWJw6Grw1m, 5715338]
[answer, [132.0, 866.0, 636.0, 18.0], LWJw6Grw1m, 5715338]
[answer, [132.0, 884.0, 636.0, 18.0], LWJw6Grw1m, 5715338]
[answer, [132.0, 902.0, 636.0, 18.0], LWJw6Grw1m, 5715338]
[answer, [120.0, 997.0, 252.0, 18.0], sLDoGeX_Mg, 5715338]
[answer, [131.0, 1079.0, 638.0, 18.0], SBGeBHzaKT, 5715338]
[answer, [131.0, 1097.0, 638.0, 18.0], SBGeBHzaKT, 5715338]
[answer, [131.0, 1115.0, 638.0, 18.0], SBGeBHzaKT, 5715338]
[answer, [131.0, 1133.0, 638.0, 18.0], SBGeBHzaKT, 5715338]
[answer, [131.0, 1151.0, 638.0, 18.0], SBGeBHzaKT, 5715338]
[answer, [131.0, 1169.0, 638.0, 18.0], SBGeBHzaKT, 5715338]
[answer, [131.0, 1187.0, 638.0, 18.0], SBGeBHzaKT, 5715338]
[answer, [127.0, 1243.0, 646.0, 18.0], 7H7UcMIf-z, 5715338]
[answer, [127.0, 1261.0, 646.0, 18.0], 7H7UcMIf-z, 5715338]
[answer, [127.0, 1279.0, 646.0, 18.0], 7H7UcMIf-z, 5715338]
[answer, [127.0, 1297.0, 646.0, 18.0], 7H7UcMIf-z, 5715338]
