[700, 484]
[chapter-title, [161.0, 88.0, 152.0, 30.0], UBgxrnne1q, 6464924]
[paragraph, [65.0, 136.0, 354.0, 18.0], IXBJlWpPhG, 6464924]
[paragraph, [65.0, 154.0, 354.0, 18.0], IXBJlWpPhG, 6464924]
[paragraph, [65.0, 172.0, 354.0, 18.0], IXBJlWpPhG, 6464924]
[paragraph, [39.0, 203.0, 405.0, 18.0], gRisdeRTWl, 6464924]
[paragraph, [39.0, 221.0, 405.0, 18.0], gRisdeRTWl, 6464924]
[paragraph, [39.0, 239.0, 405.0, 18.0], gRisdeRTWl, 6464924]
[paragraph, [39.0, 257.0, 405.0, 18.0], gRisdeRTWl, 6464924]
[paragraph, [39.0, 275.0, 405.0, 18.0], gRisdeRTWl, 6464924]
[paragraph, [39.0, 293.0, 405.0, 18.0], gRisdeRTWl, 6464924]
[paragraph, [44.0, 331.0, 396.0, 18.0], WYlmaxGWjx, 6464924]
[paragraph, [44.0, 349.0, 396.0, 18.0], WYlmaxGWjx, 6464924]
[paragraph, [44.0, 367.0, 396.0, 18.0], WYlmaxGWjx, 6464924]
[paragraph, [44.0, 385.0, 396.0, 18.0], WYlmaxGWjx, 6464924]
[paragraph, [44.0, 403.0, 396.0, 18.0], WYlmaxGWjx, 6464924]
[paragraph, [44.0, 421.0, 396.0, 18.0], WYlmaxGWjx, 6464924]
[paragraph, [41.0, 458.0, 398.0, 18.0], C7aNQETcOr, 6464924]
[paragraph, [41.0, 476.0, 398.0, 18.0], C7aNQETcOr, 6464924]
[paragraph, [41.0, 494.0, 398.0, 18.0], C7aNQETcOr, 6464924]
[paragraph, [41.0, 512.0, 398.0, 18.0], C7aNQETcOr, 6464924]
[paragraph, [41.0, 530.0, 398.0, 18.0], C7aNQETcOr, 6464924]
[paragraph, [41.0, 548.0, 398.0, 18.0], C7aNQETcOr, 6464924]
[paragraph, [41.0, 566.0, 398.0, 18.0], C7aNQETcOr, 6464924]
[paragraph, [41.0, 584.0, 398.0, 18.0], C7aNQETcOr, 6464924]
[paragraph, [41.0, 602.0, 398.0, 18.0], C7aNQETcOr, 6464924]
[paragraph, [41.0, 620.0, 398.0, 18.0], C7aNQETcOr, 6464924]
