[720, 504]
[paragraph, [249.0, 110.0, 198.0, 18.0], shoonya_4sZL2V1GPXWU4R, 5652094]
[paragraph, [249.0, 128.0, 198.0, 18.0], shoonya_4sZL2V1GPXWU4R, 5652094]
[paragraph, [249.0, 146.0, 198.0, 18.0], shoonya_4sZL2V1GPXWU4R, 5652094]
[paragraph, [249.0, 164.0, 198.0, 18.0], shoonya_4sZL2V1GPXWU4R, 5652094]
[paragraph, [249.0, 182.0, 198.0, 18.0], shoonya_4sZL2V1GPXWU4R, 5652094]
[paragraph, [249.0, 200.0, 198.0, 18.0], shoonya_4sZL2V1GPXWU4R, 5652094]
[paragraph, [249.0, 218.0, 198.0, 18.0], shoonya_4sZL2V1GPXWU4R, 5652094]
[paragraph, [38.0, 111.0, 199.0, 18.0], shoonya_0s4UUWXCDI4QY6, 5652094]
[paragraph, [38.0, 129.0, 199.0, 18.0], shoonya_0s4UUWXCDI4QY6, 5652094]
[paragraph, [38.0, 147.0, 199.0, 18.0], shoonya_0s4UUWXCDI4QY6, 5652094]
[paragraph, [38.0, 165.0, 199.0, 18.0], shoonya_0s4UUWXCDI4QY6, 5652094]
[paragraph, [38.0, 183.0, 199.0, 18.0], shoonya_0s4UUWXCDI4QY6, 5652094]
[paragraph, [38.0, 201.0, 199.0, 18.0], shoonya_0s4UUWXCDI4QY6, 5652094]
[paragraph, [38.0, 219.0, 199.0, 18.0], shoonya_0s4UUWXCDI4QY6, 5652094]
[paragraph, [38.0, 237.0, 199.0, 18.0], shoonya_0s4UUWXCDI4QY6, 5652094]
[paragraph, [38.0, 255.0, 199.0, 18.0], shoonya_0s4UUWXCDI4QY6, 5652094]
[paragraph, [38.0, 273.0, 199.0, 18.0], shoonya_0s4UUWXCDI4QY6, 5652094]
[paragraph, [247.0, 245.0, 206.0, 18.0], shoonya_2s8OEQ4WSDKJ78, 5652094]
[paragraph, [247.0, 263.0, 206.0, 18.0], shoonya_2s8OEQ4WSDKJ78, 5652094]
[paragraph, [247.0, 281.0, 206.0, 18.0], shoonya_2s8OEQ4WSDKJ78, 5652094]
[paragraph, [247.0, 299.0, 206.0, 18.0], shoonya_2s8OEQ4WSDKJ78, 5652094]
[paragraph, [247.0, 317.0, 206.0, 18.0], shoonya_2s8OEQ4WSDKJ78, 5652094]
[paragraph, [247.0, 335.0, 206.0, 18.0], shoonya_2s8OEQ4WSDKJ78, 5652094]
[paragraph, [247.0, 353.0, 206.0, 18.0], shoonya_2s8OEQ4WSDKJ78, 5652094]
[paragraph, [247.0, 371.0, 206.0, 18.0], shoonya_2s8OEQ4WSDKJ78, 5652094]
[paragraph, [247.0, 389.0, 206.0, 18.0], shoonya_2s8OEQ4WSDKJ78, 5652094]
[paragraph, [247.0, 407.0, 206.0, 18.0], shoonya_2s8OEQ4WSDKJ78, 5652094]
[paragraph, [34.0, 297.0, 208.0, 18.0], shoonya_1sOP9RVMYH4IOJ, 5652094]
[paragraph, [34.0, 315.0, 208.0, 18.0], shoonya_1sOP9RVMYH4IOJ, 5652094]
[paragraph, [34.0, 333.0, 208.0, 18.0], shoonya_1sOP9RVMYH4IOJ, 5652094]
[paragraph, [34.0, 351.0, 208.0, 18.0], shoonya_1sOP9RVMYH4IOJ, 5652094]
[paragraph, [34.0, 369.0, 208.0, 18.0], shoonya_1sOP9RVMYH4IOJ, 5652094]
[paragraph, [34.0, 387.0, 208.0, 18.0], shoonya_1sOP9RVMYH4IOJ, 5652094]
[paragraph, [34.0, 405.0, 208.0, 18.0], shoonya_1sOP9RVMYH4IOJ, 5652094]
[paragraph, [34.0, 423.0, 208.0, 18.0], shoonya_1sOP9RVMYH4IOJ, 5652094]
[paragraph, [34.0, 441.0, 208.0, 18.0], shoonya_1sOP9RVMYH4IOJ, 5652094]
[paragraph, [34.0, 459.0, 208.0, 18.0], shoonya_1sOP9RVMYH4IOJ, 5652094]
[paragraph, [34.0, 477.0, 208.0, 18.0], shoonya_1sOP9RVMYH4IOJ, 5652094]
[paragraph, [34.0, 495.0, 208.0, 18.0], shoonya_1sOP9RVMYH4IOJ, 5652094]
[paragraph, [34.0, 513.0, 208.0, 18.0], shoonya_1sOP9RVMYH4IOJ, 5652094]
[paragraph, [34.0, 531.0, 208.0, 18.0], shoonya_1sOP9RVMYH4IOJ, 5652094]
[paragraph, [34.0, 549.0, 208.0, 18.0], shoonya_1sOP9RVMYH4IOJ, 5652094]
[paragraph, [34.0, 567.0, 208.0, 18.0], shoonya_1sOP9RVMYH4IOJ, 5652094]
[paragraph, [34.0, 585.0, 208.0, 18.0], shoonya_1sOP9RVMYH4IOJ, 5652094]
[paragraph, [34.0, 603.0, 208.0, 18.0], shoonya_1sOP9RVMYH4IOJ, 5652094]
[paragraph, [248.0, 462.0, 203.0, 18.0], shoonya_3s9HZN2MZ5K82F, 5652094]
[paragraph, [248.0, 480.0, 203.0, 18.0], shoonya_3s9HZN2MZ5K82F, 5652094]
[paragraph, [248.0, 498.0, 203.0, 18.0], shoonya_3s9HZN2MZ5K82F, 5652094]
[paragraph, [248.0, 516.0, 203.0, 18.0], shoonya_3s9HZN2MZ5K82F, 5652094]
[paragraph, [248.0, 534.0, 203.0, 18.0], shoonya_3s9HZN2MZ5K82F, 5652094]
[paragraph, [248.0, 552.0, 203.0, 18.0], shoonya_3s9HZN2MZ5K82F, 5652094]
[paragraph, [248.0, 570.0, 203.0, 18.0], shoonya_3s9HZN2MZ5K82F, 5652094]
[paragraph, [248.0, 588.0, 203.0, 18.0], shoonya_3s9HZN2MZ5K82F, 5652094]
[paragraph, [248.0, 606.0, 203.0, 18.0], shoonya_3s9HZN2MZ5K82F, 5652094]
[footnote, [203.0, 678.0, 95.0, 18.0], shoonya_8sWCX868R5YVQF, 5652094]
