[1492, 1000]
[folio, [409.0, 156.0, 206.0, 18.0], shoonya_2s6Y8GDU2GKSTW, 5720653]
[paragraph, [135.0, 203.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 221.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 239.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 257.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 275.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 293.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 311.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 329.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 347.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 365.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 383.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 401.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 419.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 437.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 455.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 473.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 491.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 509.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 527.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 545.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 563.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 581.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 599.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 617.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 635.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 653.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 671.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 689.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 707.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
[paragraph, [135.0, 725.0, 748.0, 18.0], shoonya_0s9XQ50VR37GCE, 5720653]
