[1545, 2000]
[section-title, [30.0, 183.0, 502.0, 49.5], shoonya_0sYYCO6G0LFWPE, 6490972]
[section-title, [30.0, 232.5, 502.0, 49.5], shoonya_0sYYCO6G0LFWPE, 6490972]
[sub-headline, [755.0, 266.0, 501.0, 36.0], shoonya_3sLD7FIGWPOLYQ, 6490972]
[sub-headline, [755.0, 302.0, 501.0, 36.0], shoonya_3sLD7FIGWPOLYQ, 6490972]
[headline, [896.0, 351.0, 222.0, 37.5], u4NBgNHgsX, 6490972]
[headline, [896.0, 388.5, 222.0, 37.5], u4NBgNHgsX, 6490972]
[paragraph, [157.0, 376.0, 364.0, 36.0], 2hmrxCyf6f, 6490972]
[paragraph, [119.0, 534.0, 424.0, 36.0], U_SK3C23fC, 6490972]
[headline, [1498.0, 571.0, 364.0, 37.5], VSzzvQhmhc, 6490972]
[headline, [1498.0, 608.5, 364.0, 37.5], VSzzvQhmhc, 6490972]
[headline, [1498.0, 646.0, 364.0, 37.5], VSzzvQhmhc, 6490972]
[headline, [1498.0, 683.5, 364.0, 37.5], VSzzvQhmhc, 6490972]
[headline, [1498.0, 721.0, 364.0, 37.5], VSzzvQhmhc, 6490972]
[paragraph, [149.0, 683.0, 374.0, 36.0], CUIxH4Sntp, 6490972]
[paragraph, [776.0, 698.0, 426.0, 36.0], qLScna3zSy, 6490972]
[paragraph, [776.0, 734.0, 426.0, 36.0], qLScna3zSy, 6490972]
[paragraph, [776.0, 770.0, 426.0, 36.0], qLScna3zSy, 6490972]
[paragraph, [776.0, 806.0, 426.0, 36.0], qLScna3zSy, 6490972]
[author, [1563.0, 813.0, 222.0, 36.0], 2J9rq5jU6A, 6490972]
[author, [1563.0, 849.0, 222.0, 36.0], 2J9rq5jU6A, 6490972]
[paragraph, [44.0, 843.0, 576.0, 36.0], 0imQd71u1T, 6490972]
[paragraph, [44.0, 879.0, 576.0, 36.0], 0imQd71u1T, 6490972]
[paragraph, [44.0, 915.0, 576.0, 36.0], 0imQd71u1T, 6490972]
[paragraph, [44.0, 951.0, 576.0, 36.0], 0imQd71u1T, 6490972]
[paragraph, [44.0, 987.0, 576.0, 36.0], 0imQd71u1T, 6490972]
[paragraph, [44.0, 1023.0, 576.0, 36.0], 0imQd71u1T, 6490972]
[paragraph, [32.0, 1093.0, 489.0, 36.0], XYOvTnfvgN, 6490972]
[paragraph, [32.0, 1129.0, 489.0, 36.0], XYOvTnfvgN, 6490972]
[contact-info, [806.0, 1125.0, 387.0, 36.0], SMYzCu3DhN, 6490972]
[contact-info, [806.0, 1161.0, 387.0, 36.0], SMYzCu3DhN, 6490972]
[contact-info, [806.0, 1197.0, 387.0, 36.0], SMYzCu3DhN, 6490972]
[contact-info, [806.0, 1233.0, 387.0, 36.0], SMYzCu3DhN, 6490972]
[contact-info, [806.0, 1269.0, 387.0, 36.0], SMYzCu3DhN, 6490972]
[contact-info, [806.0, 1305.0, 387.0, 36.0], SMYzCu3DhN, 6490972]
[sidebar, [44.0, 1219.0, 366.0, 36.0], CNWAbpa6lh, 6490972]
[sidebar, [44.0, 1255.0, 366.0, 36.0], CNWAbpa6lh, 6490972]
[sidebar, [44.0, 1291.0, 366.0, 36.0], CNWAbpa6lh, 6490972]
[sidebar, [44.0, 1327.0, 366.0, 36.0], CNWAbpa6lh, 6490972]
[sidebar, [44.0, 1363.0, 366.0, 36.0], CNWAbpa6lh, 6490972]
[sidebar, [44.0, 1399.0, 366.0, 36.0], CNWAbpa6lh, 6490972]
[sidebar, [44.0, 1435.0, 366.0, 36.0], CNWAbpa6lh, 6490972]
[sidebar, [44.0, 1471.0, 366.0, 36.0], CNWAbpa6lh, 6490972]
[website-link, [813.0, 1257.0, 349.0, 18.0], h3iJDmkb3v, 6490972]
[website-link, [813.0, 1275.0, 349.0, 18.0], h3iJDmkb3v, 6490972]
[website-link, [826.0, 1305.0, 327.0, 18.0], sVcRhHzb2W, 6490972]
[website-link, [826.0, 1323.0, 327.0, 18.0], sVcRhHzb2W, 6490972]
