[911, 561]
[paragraph, [26.0, 45.0, 509.0, 18.0], shoonya_5sCYDUORQ73YZF, 5776150]
[paragraph, [26.0, 63.0, 509.0, 18.0], shoonya_5sCYDUORQ73YZF, 5776150]
[paragraph, [26.0, 81.0, 509.0, 18.0], shoonya_5sCYDUORQ73YZF, 5776150]
[paragraph, [26.0, 105.0, 512.0, 18.0], shoonya_0sGCVQ6B0AAXX5, 5776150]
[paragraph, [26.0, 123.0, 512.0, 18.0], shoonya_0sGCVQ6B0AAXX5, 5776150]
[paragraph, [26.0, 141.0, 512.0, 18.0], shoonya_0sGCVQ6B0AAXX5, 5776150]
[paragraph, [26.0, 159.0, 512.0, 18.0], shoonya_0sGCVQ6B0AAXX5, 5776150]
[paragraph, [26.0, 177.0, 512.0, 18.0], shoonya_0sGCVQ6B0AAXX5, 5776150]
[paragraph, [26.0, 195.0, 512.0, 18.0], shoonya_0sGCVQ6B0AAXX5, 5776150]
[paragraph, [26.0, 213.0, 512.0, 18.0], shoonya_0sGCVQ6B0AAXX5, 5776150]
[paragraph, [26.0, 231.0, 512.0, 18.0], shoonya_0sGCVQ6B0AAXX5, 5776150]
[paragraph, [26.0, 249.0, 512.0, 18.0], shoonya_0sGCVQ6B0AAXX5, 5776150]
[paragraph, [26.0, 267.0, 512.0, 18.0], shoonya_0sGCVQ6B0AAXX5, 5776150]
[paragraph, [26.0, 285.0, 512.0, 18.0], shoonya_0sGCVQ6B0AAXX5, 5776150]
[paragraph, [26.0, 303.0, 512.0, 18.0], shoonya_0sGCVQ6B0AAXX5, 5776150]
[paragraph, [26.0, 321.0, 512.0, 18.0], shoonya_0sGCVQ6B0AAXX5, 5776150]
[paragraph, [26.0, 339.0, 512.0, 18.0], shoonya_0sGCVQ6B0AAXX5, 5776150]
[paragraph, [26.0, 357.0, 512.0, 18.0], shoonya_0sGCVQ6B0AAXX5, 5776150]
[paragraph, [26.0, 375.0, 512.0, 18.0], shoonya_0sGCVQ6B0AAXX5, 5776150]
[paragraph, [26.0, 393.0, 512.0, 18.0], shoonya_0sGCVQ6B0AAXX5, 5776150]
[paragraph, [26.0, 411.0, 512.0, 18.0], shoonya_0sGCVQ6B0AAXX5, 5776150]
[paragraph, [29.0, 434.0, 506.0, 18.0], shoonya_1sZC9EJ9GOU34I, 5776150]
[paragraph, [29.0, 452.0, 506.0, 18.0], shoonya_1sZC9EJ9GOU34I, 5776150]
[paragraph, [29.0, 470.0, 506.0, 18.0], shoonya_1sZC9EJ9GOU34I, 5776150]
[paragraph, [29.0, 488.0, 506.0, 18.0], shoonya_1sZC9EJ9GOU34I, 5776150]
[paragraph, [29.0, 506.0, 506.0, 18.0], shoonya_1sZC9EJ9GOU34I, 5776150]
[paragraph, [29.0, 524.0, 506.0, 18.0], shoonya_1sZC9EJ9GOU34I, 5776150]
[paragraph, [29.0, 542.0, 506.0, 18.0], shoonya_1sZC9EJ9GOU34I, 5776150]
[paragraph, [29.0, 560.0, 506.0, 18.0], shoonya_1sZC9EJ9GOU34I, 5776150]
[paragraph, [29.0, 578.0, 506.0, 18.0], shoonya_1sZC9EJ9GOU34I, 5776150]
[paragraph, [29.0, 596.0, 506.0, 18.0], shoonya_1sZC9EJ9GOU34I, 5776150]
[paragraph, [29.0, 614.0, 506.0, 18.0], shoonya_1sZC9EJ9GOU34I, 5776150]
[paragraph, [33.0, 645.0, 503.0, 18.0], shoonya_4s0Z139WGCD84Z, 5776150]
[paragraph, [33.0, 663.0, 503.0, 18.0], shoonya_4s0Z139WGCD84Z, 5776150]
[paragraph, [33.0, 681.0, 503.0, 18.0], shoonya_4s0Z139WGCD84Z, 5776150]
[paragraph, [33.0, 702.0, 502.0, 18.0], shoonya_2sDCXEOOIF0WRC, 5776150]
[paragraph, [33.0, 720.0, 502.0, 18.0], shoonya_2sDCXEOOIF0WRC, 5776150]
[paragraph, [33.0, 738.0, 502.0, 18.0], shoonya_2sDCXEOOIF0WRC, 5776150]
[paragraph, [33.0, 756.0, 502.0, 18.0], shoonya_2sDCXEOOIF0WRC, 5776150]
[paragraph, [33.0, 774.0, 502.0, 18.0], shoonya_2sDCXEOOIF0WRC, 5776150]
[paragraph, [33.0, 792.0, 502.0, 18.0], shoonya_2sDCXEOOIF0WRC, 5776150]
[paragraph, [36.0, 813.0, 499.0, 18.0], shoonya_3sI1F0ZUYLAWBJ, 5776150]
[paragraph, [36.0, 831.0, 499.0, 18.0], shoonya_3sI1F0ZUYLAWBJ, 5776150]
[paragraph, [36.0, 849.0, 499.0, 18.0], shoonya_3sI1F0ZUYLAWBJ, 5776150]
