[2200, 1700]
[paragraph, [368.0, 115.0, 1136.0, 36.0], shoonya_3sZ5230WPLA236, 5734379]
[paragraph, [368.0, 151.0, 1136.0, 36.0], shoonya_3sZ5230WPLA236, 5734379]
[paragraph, [368.0, 187.0, 1136.0, 36.0], shoonya_3sZ5230WPLA236, 5734379]
[paragraph, [368.0, 223.0, 1136.0, 36.0], shoonya_3sZ5230WPLA236, 5734379]
[paragraph, [368.0, 259.0, 1136.0, 36.0], shoonya_3sZ5230WPLA236, 5734379]
[paragraph, [368.0, 295.0, 1136.0, 36.0], shoonya_3sZ5230WPLA236, 5734379]
[paragraph, [368.0, 331.0, 1136.0, 36.0], shoonya_3sZ5230WPLA236, 5734379]
[paragraph, [368.0, 367.0, 1136.0, 36.0], shoonya_3sZ5230WPLA236, 5734379]
[paragraph, [368.0, 403.0, 1136.0, 36.0], shoonya_3sZ5230WPLA236, 5734379]
[paragraph, [372.0, 467.0, 1137.0, 36.0], shoonya_0sT52CBCPE6UAX, 5734379]
[paragraph, [372.0, 503.0, 1137.0, 36.0], shoonya_0sT52CBCPE6UAX, 5734379]
[paragraph, [372.0, 539.0, 1137.0, 36.0], shoonya_0sT52CBCPE6UAX, 5734379]
[paragraph, [372.0, 575.0, 1137.0, 36.0], shoonya_0sT52CBCPE6UAX, 5734379]
[paragraph, [372.0, 611.0, 1137.0, 36.0], shoonya_0sT52CBCPE6UAX, 5734379]
[paragraph, [372.0, 647.0, 1137.0, 36.0], shoonya_0sT52CBCPE6UAX, 5734379]
[paragraph, [372.0, 683.0, 1137.0, 36.0], shoonya_0sT52CBCPE6UAX, 5734379]
[paragraph, [372.0, 719.0, 1137.0, 36.0], shoonya_0sT52CBCPE6UAX, 5734379]
[paragraph, [372.0, 755.0, 1137.0, 36.0], shoonya_0sT52CBCPE6UAX, 5734379]
[paragraph, [372.0, 791.0, 1137.0, 36.0], shoonya_0sT52CBCPE6UAX, 5734379]
[paragraph, [369.0, 937.0, 1133.0, 36.0], shoonya_2s4C6EQF00OOXU, 5734379]
[paragraph, [369.0, 973.0, 1133.0, 36.0], shoonya_2s4C6EQF00OOXU, 5734379]
[paragraph, [369.0, 1009.0, 1133.0, 36.0], shoonya_2s4C6EQF00OOXU, 5734379]
[paragraph, [369.0, 1045.0, 1133.0, 36.0], shoonya_2s4C6EQF00OOXU, 5734379]
[paragraph, [369.0, 1081.0, 1133.0, 36.0], shoonya_2s4C6EQF00OOXU, 5734379]
[paragraph, [369.0, 1117.0, 1133.0, 36.0], shoonya_2s4C6EQF00OOXU, 5734379]
[paragraph, [369.0, 1153.0, 1133.0, 36.0], shoonya_2s4C6EQF00OOXU, 5734379]
[paragraph, [369.0, 1189.0, 1133.0, 36.0], shoonya_2s4C6EQF00OOXU, 5734379]
[paragraph, [369.0, 1225.0, 1133.0, 36.0], shoonya_2s4C6EQF00OOXU, 5734379]
[paragraph, [369.0, 1261.0, 1133.0, 36.0], shoonya_2s4C6EQF00OOXU, 5734379]
[paragraph, [369.0, 1297.0, 1133.0, 36.0], shoonya_2s4C6EQF00OOXU, 5734379]
[paragraph, [369.0, 1333.0, 1133.0, 36.0], shoonya_2s4C6EQF00OOXU, 5734379]
[paragraph, [369.0, 1369.0, 1133.0, 36.0], shoonya_2s4C6EQF00OOXU, 5734379]
[paragraph, [369.0, 1405.0, 1133.0, 36.0], shoonya_2s4C6EQF00OOXU, 5734379]
[paragraph, [369.0, 1441.0, 1133.0, 36.0], shoonya_2s4C6EQF00OOXU, 5734379]
[paragraph, [372.0, 1515.0, 1131.0, 36.0], shoonya_1s9QOAY09H4GZV, 5734379]
[paragraph, [372.0, 1551.0, 1131.0, 36.0], shoonya_1s9QOAY09H4GZV, 5734379]
[paragraph, [372.0, 1587.0, 1131.0, 36.0], shoonya_1s9QOAY09H4GZV, 5734379]
[paragraph, [372.0, 1623.0, 1131.0, 36.0], shoonya_1s9QOAY09H4GZV, 5734379]
[paragraph, [372.0, 1659.0, 1131.0, 36.0], shoonya_1s9QOAY09H4GZV, 5734379]
[paragraph, [372.0, 1695.0, 1131.0, 36.0], shoonya_1s9QOAY09H4GZV, 5734379]
[paragraph, [372.0, 1731.0, 1131.0, 36.0], shoonya_1s9QOAY09H4GZV, 5734379]
[paragraph, [372.0, 1767.0, 1131.0, 36.0], shoonya_1s9QOAY09H4GZV, 5734379]
[paragraph, [372.0, 1803.0, 1131.0, 36.0], shoonya_1s9QOAY09H4GZV, 5734379]
[paragraph, [372.0, 1839.0, 1131.0, 36.0], shoonya_1s9QOAY09H4GZV, 5734379]
[paragraph, [372.0, 1875.0, 1131.0, 36.0], shoonya_1s9QOAY09H4GZV, 5734379]
[paragraph, [372.0, 1911.0, 1131.0, 36.0], shoonya_1s9QOAY09H4GZV, 5734379]
[paragraph, [372.0, 1947.0, 1131.0, 36.0], shoonya_1s9QOAY09H4GZV, 5734379]
[paragraph, [372.0, 1983.0, 1131.0, 36.0], shoonya_1s9QOAY09H4GZV, 5734379]
[paragraph, [372.0, 2019.0, 1131.0, 36.0], shoonya_1s9QOAY09H4GZV, 5734379]
