[1792, 1278]
[folio, [215.0, 22.0, 190.0, 36.0], ebxMBZ5qeI, 5744815]
[headline, [70.0, 122.0, 811.0, 37.5], shoonya_3sY5DUYT8Q5ZMR, 5744815]
[headline, [70.0, 159.5, 811.0, 37.5], shoonya_3sY5DUYT8Q5ZMR, 5744815]
[paragraph, [71.0, 218.0, 366.0, 36.0], shoonya_14sAR8OBQJ55U5, 5744815]
[paragraph, [71.0, 254.0, 366.0, 36.0], shoonya_14sAR8OBQJ55U5, 5744815]
[paragraph, [71.0, 290.0, 366.0, 36.0], shoonya_14sAR8OBQJ55U5, 5744815]
[paragraph, [71.0, 326.0, 366.0, 36.0], shoonya_14sAR8OBQJ55U5, 5744815]
[paragraph, [71.0, 362.0, 366.0, 36.0], shoonya_14sAR8OBQJ55U5, 5744815]
[paragraph, [71.0, 398.0, 366.0, 36.0], shoonya_14sAR8OBQJ55U5, 5744815]
[paragraph, [71.0, 434.0, 366.0, 36.0], shoonya_14sAR8OBQJ55U5, 5744815]
[paragraph, [71.0, 470.0, 366.0, 36.0], shoonya_14sAR8OBQJ55U5, 5744815]
[paragraph, [71.0, 506.0, 366.0, 36.0], shoonya_14sAR8OBQJ55U5, 5744815]
[paragraph, [71.0, 542.0, 366.0, 36.0], shoonya_14sAR8OBQJ55U5, 5744815]
[paragraph, [71.0, 578.0, 366.0, 36.0], shoonya_14sAR8OBQJ55U5, 5744815]
[paragraph, [71.0, 614.0, 366.0, 36.0], shoonya_14sAR8OBQJ55U5, 5744815]
[paragraph, [71.0, 650.0, 366.0, 36.0], shoonya_14sAR8OBQJ55U5, 5744815]
[paragraph, [456.0, 588.0, 364.0, 36.0], shoonya_5s0AWWP7SPYS8N, 5744815]
[paragraph, [838.0, 601.0, 365.0, 36.0], shoonya_16sK1VP2KI9IVA, 5744815]
[paragraph, [838.0, 637.0, 365.0, 36.0], shoonya_16sK1VP2KI9IVA, 5744815]
[paragraph, [838.0, 673.0, 365.0, 36.0], shoonya_16sK1VP2KI9IVA, 5744815]
[paragraph, [838.0, 709.0, 365.0, 36.0], shoonya_16sK1VP2KI9IVA, 5744815]
[paragraph, [838.0, 745.0, 365.0, 36.0], shoonya_16sK1VP2KI9IVA, 5744815]
[paragraph, [838.0, 781.0, 365.0, 36.0], shoonya_16sK1VP2KI9IVA, 5744815]
[paragraph, [838.0, 817.0, 365.0, 36.0], shoonya_16sK1VP2KI9IVA, 5744815]
[paragraph, [450.0, 634.0, 374.0, 36.0], dYV59LIoeN, 5744815]
[paragraph, [450.0, 670.0, 374.0, 36.0], dYV59LIoeN, 5744815]
[paragraph, [450.0, 706.0, 374.0, 36.0], dYV59LIoeN, 5744815]
[paragraph, [450.0, 742.0, 374.0, 36.0], dYV59LIoeN, 5744815]
[paragraph, [450.0, 778.0, 374.0, 36.0], dYV59LIoeN, 5744815]
[paragraph, [450.0, 814.0, 374.0, 36.0], dYV59LIoeN, 5744815]
[paragraph, [450.0, 850.0, 374.0, 36.0], dYV59LIoeN, 5744815]
[paragraph, [71.0, 692.0, 368.0, 36.0], shoonya_12sTNJK3RSC9GW, 5744815]
[paragraph, [71.0, 728.0, 368.0, 36.0], shoonya_12sTNJK3RSC9GW, 5744815]
[paragraph, [71.0, 764.0, 368.0, 36.0], shoonya_12sTNJK3RSC9GW, 5744815]
[paragraph, [71.0, 800.0, 368.0, 36.0], shoonya_12sTNJK3RSC9GW, 5744815]
[paragraph, [71.0, 836.0, 368.0, 36.0], shoonya_12sTNJK3RSC9GW, 5744815]
[headline, [71.0, 1007.0, 747.0, 37.5], shoonya_2s7QWNVXKXPYQZ, 5744815]
[headline, [71.0, 1044.5, 747.0, 37.5], shoonya_2s7QWNVXKXPYQZ, 5744815]
