[720, 504]
[paragraph, [40.0, 108.0, 197.0, 18.0], shoonya_2sSUDODBG7FTY6, 5652582]
[paragraph, [40.0, 126.0, 197.0, 18.0], shoonya_2sSUDODBG7FTY6, 5652582]
[paragraph, [40.0, 144.0, 197.0, 18.0], shoonya_2sSUDODBG7FTY6, 5652582]
[paragraph, [40.0, 162.0, 197.0, 18.0], shoonya_2sSUDODBG7FTY6, 5652582]
[paragraph, [40.0, 180.0, 197.0, 18.0], shoonya_2sSUDODBG7FTY6, 5652582]
[paragraph, [40.0, 198.0, 197.0, 18.0], shoonya_2sSUDODBG7FTY6, 5652582]
[paragraph, [40.0, 216.0, 197.0, 18.0], shoonya_2sSUDODBG7FTY6, 5652582]
[paragraph, [40.0, 234.0, 197.0, 18.0], shoonya_2sSUDODBG7FTY6, 5652582]
[paragraph, [40.0, 252.0, 197.0, 18.0], shoonya_2sSUDODBG7FTY6, 5652582]
[paragraph, [40.0, 270.0, 197.0, 18.0], shoonya_2sSUDODBG7FTY6, 5652582]
[paragraph, [40.0, 288.0, 197.0, 18.0], shoonya_2sSUDODBG7FTY6, 5652582]
[paragraph, [40.0, 306.0, 197.0, 18.0], shoonya_2sSUDODBG7FTY6, 5652582]
[paragraph, [40.0, 324.0, 197.0, 18.0], shoonya_2sSUDODBG7FTY6, 5652582]
[paragraph, [40.0, 342.0, 197.0, 18.0], shoonya_2sSUDODBG7FTY6, 5652582]
[paragraph, [40.0, 360.0, 197.0, 18.0], shoonya_2sSUDODBG7FTY6, 5652582]
[paragraph, [249.0, 110.0, 199.0, 18.0], shoonya_3sDBGFKE79VP14, 5652582]
[paragraph, [249.0, 128.0, 199.0, 18.0], shoonya_3sDBGFKE79VP14, 5652582]
[paragraph, [249.0, 146.0, 199.0, 18.0], shoonya_3sDBGFKE79VP14, 5652582]
[paragraph, [247.0, 209.0, 199.0, 18.0], shoonya_4s5RX51HQHCZAE, 5652582]
[paragraph, [247.0, 227.0, 199.0, 18.0], shoonya_4s5RX51HQHCZAE, 5652582]
[paragraph, [247.0, 245.0, 199.0, 18.0], shoonya_4s5RX51HQHCZAE, 5652582]
[paragraph, [247.0, 263.0, 199.0, 18.0], shoonya_4s5RX51HQHCZAE, 5652582]
[paragraph, [249.0, 311.0, 198.0, 18.0], shoonya_0s61VLJL4000JD, 5652582]
[paragraph, [249.0, 329.0, 198.0, 18.0], shoonya_0s61VLJL4000JD, 5652582]
[paragraph, [249.0, 347.0, 198.0, 18.0], shoonya_0s61VLJL4000JD, 5652582]
[paragraph, [249.0, 365.0, 198.0, 18.0], shoonya_0s61VLJL4000JD, 5652582]
[paragraph, [249.0, 383.0, 198.0, 18.0], shoonya_0s61VLJL4000JD, 5652582]
[paragraph, [249.0, 401.0, 198.0, 18.0], shoonya_0s61VLJL4000JD, 5652582]
[paragraph, [249.0, 419.0, 198.0, 18.0], shoonya_0s61VLJL4000JD, 5652582]
[paragraph, [249.0, 437.0, 198.0, 18.0], shoonya_0s61VLJL4000JD, 5652582]
[paragraph, [249.0, 455.0, 198.0, 18.0], shoonya_0s61VLJL4000JD, 5652582]
[paragraph, [249.0, 473.0, 198.0, 18.0], shoonya_0s61VLJL4000JD, 5652582]
[paragraph, [249.0, 491.0, 198.0, 18.0], shoonya_0s61VLJL4000JD, 5652582]
[paragraph, [249.0, 509.0, 198.0, 18.0], shoonya_0s61VLJL4000JD, 5652582]
[paragraph, [249.0, 527.0, 198.0, 18.0], shoonya_0s61VLJL4000JD, 5652582]
[paragraph, [249.0, 545.0, 198.0, 18.0], shoonya_0s61VLJL4000JD, 5652582]
[paragraph, [249.0, 563.0, 198.0, 18.0], shoonya_0s61VLJL4000JD, 5652582]
[paragraph, [249.0, 581.0, 198.0, 18.0], shoonya_0s61VLJL4000JD, 5652582]
[paragraph, [249.0, 599.0, 198.0, 18.0], shoonya_0s61VLJL4000JD, 5652582]
[paragraph, [39.0, 377.0, 203.0, 18.0], shoonya_1sVZQK3BM0RC15, 5652582]
[paragraph, [39.0, 395.0, 203.0, 18.0], shoonya_1sVZQK3BM0RC15, 5652582]
[paragraph, [39.0, 413.0, 203.0, 18.0], shoonya_1sVZQK3BM0RC15, 5652582]
[paragraph, [39.0, 431.0, 203.0, 18.0], shoonya_1sVZQK3BM0RC15, 5652582]
[paragraph, [39.0, 449.0, 203.0, 18.0], shoonya_1sVZQK3BM0RC15, 5652582]
[paragraph, [39.0, 467.0, 203.0, 18.0], shoonya_1sVZQK3BM0RC15, 5652582]
[paragraph, [39.0, 485.0, 203.0, 18.0], shoonya_1sVZQK3BM0RC15, 5652582]
[paragraph, [39.0, 503.0, 203.0, 18.0], shoonya_1sVZQK3BM0RC15, 5652582]
[paragraph, [39.0, 521.0, 203.0, 18.0], shoonya_1sVZQK3BM0RC15, 5652582]
[paragraph, [39.0, 539.0, 203.0, 18.0], shoonya_1sVZQK3BM0RC15, 5652582]
[paragraph, [39.0, 557.0, 203.0, 18.0], shoonya_1sVZQK3BM0RC15, 5652582]
[paragraph, [39.0, 575.0, 203.0, 18.0], shoonya_1sVZQK3BM0RC15, 5652582]
[paragraph, [39.0, 593.0, 203.0, 18.0], shoonya_1sVZQK3BM0RC15, 5652582]
[paragraph, [39.0, 611.0, 203.0, 18.0], shoonya_1sVZQK3BM0RC15, 5652582]
[footnote, [197.0, 675.0, 107.0, 18.0], shoonya_9s3CGR97CRNDNG, 5652582]
