[2175, 1462]
[folio, [156.0, 138.0, 189.0, 36.0], j1iLXnqy2H, 5655036]
[paragraph, [155.0, 252.0, 1165.0, 36.0], shoonya_1sU1UW18TKOB0V, 5655036]
[paragraph, [155.0, 288.0, 1165.0, 36.0], shoonya_1sU1UW18TKOB0V, 5655036]
[paragraph, [155.0, 324.0, 1165.0, 36.0], shoonya_1sU1UW18TKOB0V, 5655036]
[paragraph, [155.0, 360.0, 1165.0, 36.0], shoonya_1sU1UW18TKOB0V, 5655036]
[paragraph, [155.0, 396.0, 1165.0, 36.0], shoonya_1sU1UW18TKOB0V, 5655036]
[paragraph, [155.0, 432.0, 1165.0, 36.0], shoonya_1sU1UW18TKOB0V, 5655036]
[paragraph, [155.0, 468.0, 1165.0, 36.0], shoonya_1sU1UW18TKOB0V, 5655036]
[paragraph, [155.0, 504.0, 1165.0, 36.0], shoonya_1sU1UW18TKOB0V, 5655036]
[paragraph, [162.0, 608.0, 1157.0, 36.0], shoonya_3s7WH0QC01B05A, 5655036]
[paragraph, [162.0, 644.0, 1157.0, 36.0], shoonya_3s7WH0QC01B05A, 5655036]
[paragraph, [162.0, 680.0, 1157.0, 36.0], shoonya_3s7WH0QC01B05A, 5655036]
[paragraph, [162.0, 716.0, 1157.0, 36.0], shoonya_3s7WH0QC01B05A, 5655036]
[paragraph, [162.0, 804.0, 1168.0, 36.0], shoonya_0sC1Q92DU1DTJE, 5655036]
[paragraph, [162.0, 840.0, 1168.0, 36.0], shoonya_0sC1Q92DU1DTJE, 5655036]
[paragraph, [162.0, 876.0, 1168.0, 36.0], shoonya_0sC1Q92DU1DTJE, 5655036]
[paragraph, [162.0, 912.0, 1168.0, 36.0], shoonya_0sC1Q92DU1DTJE, 5655036]
[paragraph, [162.0, 948.0, 1168.0, 36.0], shoonya_0sC1Q92DU1DTJE, 5655036]
[paragraph, [162.0, 984.0, 1168.0, 36.0], shoonya_0sC1Q92DU1DTJE, 5655036]
[paragraph, [162.0, 1020.0, 1168.0, 36.0], shoonya_0sC1Q92DU1DTJE, 5655036]
[paragraph, [162.0, 1056.0, 1168.0, 36.0], shoonya_0sC1Q92DU1DTJE, 5655036]
[paragraph, [162.0, 1092.0, 1168.0, 36.0], shoonya_0sC1Q92DU1DTJE, 5655036]
[paragraph, [162.0, 1128.0, 1168.0, 36.0], shoonya_0sC1Q92DU1DTJE, 5655036]
[paragraph, [162.0, 1164.0, 1168.0, 36.0], shoonya_0sC1Q92DU1DTJE, 5655036]
[paragraph, [162.0, 1200.0, 1168.0, 36.0], shoonya_0sC1Q92DU1DTJE, 5655036]
[paragraph, [162.0, 1236.0, 1168.0, 36.0], shoonya_0sC1Q92DU1DTJE, 5655036]
[paragraph, [162.0, 1272.0, 1168.0, 36.0], shoonya_0sC1Q92DU1DTJE, 5655036]
[paragraph, [162.0, 1308.0, 1168.0, 36.0], shoonya_0sC1Q92DU1DTJE, 5655036]
[paragraph, [162.0, 1344.0, 1168.0, 36.0], shoonya_0sC1Q92DU1DTJE, 5655036]
[paragraph, [162.0, 1380.0, 1168.0, 36.0], shoonya_0sC1Q92DU1DTJE, 5655036]
[paragraph, [162.0, 1416.0, 1168.0, 36.0], shoonya_0sC1Q92DU1DTJE, 5655036]
[paragraph, [162.0, 1452.0, 1168.0, 36.0], shoonya_0sC1Q92DU1DTJE, 5655036]
[paragraph, [162.0, 1488.0, 1168.0, 36.0], shoonya_0sC1Q92DU1DTJE, 5655036]
[paragraph, [151.0, 1561.0, 1182.0, 36.0], sXgtrvWm_V, 5655036]
[paragraph, [151.0, 1597.0, 1182.0, 36.0], sXgtrvWm_V, 5655036]
[paragraph, [151.0, 1633.0, 1182.0, 36.0], sXgtrvWm_V, 5655036]
[paragraph, [151.0, 1669.0, 1182.0, 36.0], sXgtrvWm_V, 5655036]
[paragraph, [151.0, 1734.0, 1173.0, 36.0], FzWozglePs, 5655036]
[paragraph, [151.0, 1770.0, 1173.0, 36.0], FzWozglePs, 5655036]
[paragraph, [151.0, 1806.0, 1173.0, 36.0], FzWozglePs, 5655036]
[paragraph, [151.0, 1842.0, 1173.0, 36.0], FzWozglePs, 5655036]
[reference, [164.0, 1933.0, 952.0, 36.0], Z2Q3qZImKK, 5655036]
[reference, [164.0, 1969.0, 952.0, 36.0], Z2Q3qZImKK, 5655036]
