[792, 612]
[paragraph, [76.0, 5.0, 148.0, 18.0], 5Asf2UnX-Q, 6516697]
[paragraph, [76.0, 23.0, 148.0, 18.0], 5Asf2UnX-Q, 6516697]
[paragraph, [76.0, 41.0, 148.0, 18.0], 5Asf2UnX-Q, 6516697]
[paragraph, [76.0, 59.0, 148.0, 18.0], 5Asf2UnX-Q, 6516697]
[paragraph, [76.0, 77.0, 148.0, 18.0], 5Asf2UnX-Q, 6516697]
[paragraph, [76.0, 95.0, 148.0, 18.0], 5Asf2UnX-Q, 6516697]
[paragraph, [76.0, 113.0, 148.0, 18.0], 5Asf2UnX-Q, 6516697]
[paragraph, [75.0, 133.0, 149.0, 18.0], f9KsSvDsfW, 6516697]
[paragraph, [75.0, 151.0, 149.0, 18.0], f9KsSvDsfW, 6516697]
[paragraph, [75.0, 169.0, 149.0, 18.0], f9KsSvDsfW, 6516697]
[paragraph, [75.0, 187.0, 149.0, 18.0], f9KsSvDsfW, 6516697]
[paragraph, [75.0, 205.0, 149.0, 18.0], f9KsSvDsfW, 6516697]
[paragraph, [75.0, 223.0, 149.0, 18.0], f9KsSvDsfW, 6516697]
[paragraph, [75.0, 241.0, 149.0, 18.0], f9KsSvDsfW, 6516697]
[paragraph, [75.0, 259.0, 149.0, 18.0], f9KsSvDsfW, 6516697]
[paragraph, [75.0, 277.0, 149.0, 18.0], f9KsSvDsfW, 6516697]
[paragraph, [75.0, 295.0, 149.0, 18.0], f9KsSvDsfW, 6516697]
[paragraph, [232.0, 233.0, 149.0, 18.0], UioTVpWcN4, 6516697]
[paragraph, [232.0, 251.0, 149.0, 18.0], UioTVpWcN4, 6516697]
[paragraph, [232.0, 269.0, 149.0, 18.0], UioTVpWcN4, 6516697]
[paragraph, [232.0, 287.0, 149.0, 18.0], UioTVpWcN4, 6516697]
[paragraph, [232.0, 305.0, 149.0, 18.0], UioTVpWcN4, 6516697]
[paragraph, [232.0, 323.0, 149.0, 18.0], UioTVpWcN4, 6516697]
[paragraph, [232.0, 341.0, 149.0, 18.0], UioTVpWcN4, 6516697]
[paragraph, [232.0, 359.0, 149.0, 18.0], UioTVpWcN4, 6516697]
[paragraph, [232.0, 377.0, 149.0, 18.0], UioTVpWcN4, 6516697]
[paragraph, [232.0, 395.0, 149.0, 18.0], UioTVpWcN4, 6516697]
[paragraph, [232.0, 413.0, 149.0, 18.0], UioTVpWcN4, 6516697]
[paragraph, [232.0, 431.0, 149.0, 18.0], UioTVpWcN4, 6516697]
[paragraph, [232.0, 449.0, 149.0, 18.0], UioTVpWcN4, 6516697]
[paragraph, [232.0, 467.0, 149.0, 18.0], UioTVpWcN4, 6516697]
[paragraph, [232.0, 485.0, 149.0, 18.0], UioTVpWcN4, 6516697]
[paragraph, [232.0, 503.0, 149.0, 18.0], UioTVpWcN4, 6516697]
[paragraph, [232.0, 521.0, 149.0, 18.0], UioTVpWcN4, 6516697]
[paragraph, [232.0, 539.0, 149.0, 18.0], UioTVpWcN4, 6516697]
[paragraph, [232.0, 557.0, 149.0, 18.0], UioTVpWcN4, 6516697]
[paragraph, [232.0, 575.0, 149.0, 18.0], UioTVpWcN4, 6516697]
[paragraph, [232.0, 593.0, 149.0, 18.0], UioTVpWcN4, 6516697]
[paragraph, [232.0, 611.0, 149.0, 18.0], UioTVpWcN4, 6516697]
[paragraph, [388.0, 234.0, 148.0, 18.0], wSUzqg6TJs, 6516697]
[paragraph, [388.0, 252.0, 148.0, 18.0], wSUzqg6TJs, 6516697]
[paragraph, [388.0, 270.0, 148.0, 18.0], wSUzqg6TJs, 6516697]
[paragraph, [388.0, 288.0, 148.0, 18.0], wSUzqg6TJs, 6516697]
[paragraph, [388.0, 306.0, 148.0, 18.0], wSUzqg6TJs, 6516697]
[paragraph, [388.0, 324.0, 148.0, 18.0], wSUzqg6TJs, 6516697]
[paragraph, [388.0, 342.0, 148.0, 18.0], wSUzqg6TJs, 6516697]
[paragraph, [388.0, 360.0, 148.0, 18.0], wSUzqg6TJs, 6516697]
[paragraph, [388.0, 378.0, 148.0, 18.0], wSUzqg6TJs, 6516697]
[paragraph, [388.0, 396.0, 148.0, 18.0], wSUzqg6TJs, 6516697]
[paragraph, [388.0, 414.0, 148.0, 18.0], wSUzqg6TJs, 6516697]
[paragraph, [388.0, 432.0, 148.0, 18.0], wSUzqg6TJs, 6516697]
[paragraph, [388.0, 450.0, 148.0, 18.0], wSUzqg6TJs, 6516697]
[paragraph, [388.0, 468.0, 148.0, 18.0], wSUzqg6TJs, 6516697]
[paragraph, [388.0, 486.0, 148.0, 18.0], wSUzqg6TJs, 6516697]
[paragraph, [388.0, 504.0, 148.0, 18.0], wSUzqg6TJs, 6516697]
[paragraph, [388.0, 522.0, 148.0, 18.0], wSUzqg6TJs, 6516697]
[paragraph, [388.0, 540.0, 148.0, 18.0], wSUzqg6TJs, 6516697]
[paragraph, [388.0, 558.0, 148.0, 18.0], wSUzqg6TJs, 6516697]
[paragraph, [388.0, 576.0, 148.0, 18.0], wSUzqg6TJs, 6516697]
[paragraph, [388.0, 594.0, 148.0, 18.0], wSUzqg6TJs, 6516697]
[paragraph, [388.0, 612.0, 148.0, 18.0], wSUzqg6TJs, 6516697]
[paragraph, [73.0, 319.0, 153.0, 18.0], XlWoE0ZkfE, 6516697]
[paragraph, [73.0, 337.0, 153.0, 18.0], XlWoE0ZkfE, 6516697]
[paragraph, [73.0, 355.0, 153.0, 18.0], XlWoE0ZkfE, 6516697]
[paragraph, [73.0, 373.0, 153.0, 18.0], XlWoE0ZkfE, 6516697]
[paragraph, [73.0, 391.0, 153.0, 18.0], XlWoE0ZkfE, 6516697]
[paragraph, [73.0, 409.0, 153.0, 18.0], XlWoE0ZkfE, 6516697]
[paragraph, [73.0, 427.0, 153.0, 18.0], XlWoE0ZkfE, 6516697]
[paragraph, [73.0, 445.0, 153.0, 18.0], XlWoE0ZkfE, 6516697]
[paragraph, [73.0, 463.0, 153.0, 18.0], XlWoE0ZkfE, 6516697]
[paragraph, [73.0, 481.0, 153.0, 18.0], XlWoE0ZkfE, 6516697]
[paragraph, [74.0, 515.0, 148.0, 18.0], ObBcl0XmNz, 6516697]
[paragraph, [74.0, 533.0, 148.0, 18.0], ObBcl0XmNz, 6516697]
[paragraph, [74.0, 551.0, 148.0, 18.0], ObBcl0XmNz, 6516697]
[paragraph, [74.0, 569.0, 148.0, 18.0], ObBcl0XmNz, 6516697]
[paragraph, [74.0, 587.0, 148.0, 18.0], ObBcl0XmNz, 6516697]
[paragraph, [74.0, 605.0, 148.0, 18.0], ObBcl0XmNz, 6516697]
