[3509, 2480]
[paragraph, [339.0, 342.0, 1783.0, 52.5], shoonya_0sBMMXDPRW3NZD, 5723788]
[paragraph, [339.0, 394.5, 1783.0, 52.5], shoonya_0sBMMXDPRW3NZD, 5723788]
[paragraph, [339.0, 447.0, 1783.0, 52.5], shoonya_0sBMMXDPRW3NZD, 5723788]
[paragraph, [339.0, 499.5, 1783.0, 52.5], shoonya_0sBMMXDPRW3NZD, 5723788]
[paragraph, [339.0, 552.0, 1783.0, 52.5], shoonya_0sBMMXDPRW3NZD, 5723788]
[paragraph, [339.0, 604.5, 1783.0, 52.5], shoonya_0sBMMXDPRW3NZD, 5723788]
[paragraph, [339.0, 657.0, 1783.0, 52.5], shoonya_0sBMMXDPRW3NZD, 5723788]
[paragraph, [339.0, 709.5, 1783.0, 52.5], shoonya_0sBMMXDPRW3NZD, 5723788]
[paragraph, [339.0, 762.0, 1783.0, 52.5], shoonya_0sBMMXDPRW3NZD, 5723788]
[paragraph, [339.0, 814.5, 1783.0, 52.5], shoonya_0sBMMXDPRW3NZD, 5723788]
[paragraph, [339.0, 867.0, 1783.0, 52.5], shoonya_0sBMMXDPRW3NZD, 5723788]
[paragraph, [339.0, 919.5, 1783.0, 52.5], shoonya_0sBMMXDPRW3NZD, 5723788]
[paragraph, [339.0, 972.0, 1783.0, 52.5], shoonya_0sBMMXDPRW3NZD, 5723788]
[paragraph, [339.0, 1024.5, 1783.0, 52.5], shoonya_0sBMMXDPRW3NZD, 5723788]
[paragraph, [339.0, 1077.0, 1783.0, 52.5], shoonya_0sBMMXDPRW3NZD, 5723788]
[paragraph, [339.0, 1129.5, 1783.0, 52.5], shoonya_0sBMMXDPRW3NZD, 5723788]
[paragraph, [339.0, 1182.0, 1783.0, 52.5], shoonya_0sBMMXDPRW3NZD, 5723788]
[paragraph, [339.0, 1234.5, 1783.0, 52.5], shoonya_0sBMMXDPRW3NZD, 5723788]
[paragraph, [339.0, 1287.0, 1783.0, 52.5], shoonya_0sBMMXDPRW3NZD, 5723788]
[paragraph, [339.0, 1339.5, 1783.0, 52.5], shoonya_0sBMMXDPRW3NZD, 5723788]
[paragraph, [339.0, 1392.0, 1783.0, 52.5], shoonya_0sBMMXDPRW3NZD, 5723788]
[paragraph, [339.0, 1444.5, 1783.0, 52.5], shoonya_0sBMMXDPRW3NZD, 5723788]
[paragraph, [339.0, 1497.0, 1783.0, 52.5], shoonya_0sBMMXDPRW3NZD, 5723788]
[paragraph, [325.0, 1602.0, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 1654.5, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 1707.0, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 1759.5, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 1812.0, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 1864.5, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 1917.0, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 1969.5, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 2022.0, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 2074.5, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 2127.0, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 2179.5, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 2232.0, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 2284.5, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 2337.0, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 2389.5, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 2442.0, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 2494.5, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 2547.0, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 2599.5, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 2652.0, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 2704.5, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 2757.0, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 2809.5, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 2862.0, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 2914.5, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 2967.0, 1822.0, 52.5], zb40D_oNih, 5723788]
[paragraph, [325.0, 3019.5, 1822.0, 52.5], zb40D_oNih, 5723788]
