[1754, 1241]
[headline, [145.0, 136.0, 286.0, 37.5], shoonya_5sHYGPZZVDZCNA, 5778925]
[paragraph, [108.0, 205.0, 1014.0, 36.0], shoonya_1sX7JQ87PC3CPD, 5778925]
[paragraph, [108.0, 241.0, 1014.0, 36.0], shoonya_1sX7JQ87PC3CPD, 5778925]
[paragraph, [108.0, 277.0, 1014.0, 36.0], shoonya_1sX7JQ87PC3CPD, 5778925]
[paragraph, [108.0, 313.0, 1014.0, 36.0], shoonya_1sX7JQ87PC3CPD, 5778925]
[paragraph, [108.0, 349.0, 1014.0, 36.0], shoonya_1sX7JQ87PC3CPD, 5778925]
[paragraph, [108.0, 385.0, 1014.0, 36.0], shoonya_1sX7JQ87PC3CPD, 5778925]
[paragraph, [108.0, 421.0, 1014.0, 36.0], shoonya_1sX7JQ87PC3CPD, 5778925]
[paragraph, [108.0, 478.0, 1019.0, 36.0], shoonya_2sREXXQ6OZVQ1F, 5778925]
[paragraph, [108.0, 514.0, 1019.0, 36.0], shoonya_2sREXXQ6OZVQ1F, 5778925]
[paragraph, [108.0, 550.0, 1019.0, 36.0], shoonya_2sREXXQ6OZVQ1F, 5778925]
[paragraph, [108.0, 586.0, 1019.0, 36.0], shoonya_2sREXXQ6OZVQ1F, 5778925]
[paragraph, [108.0, 622.0, 1019.0, 36.0], shoonya_2sREXXQ6OZVQ1F, 5778925]
[paragraph, [108.0, 658.0, 1019.0, 36.0], shoonya_2sREXXQ6OZVQ1F, 5778925]
[paragraph, [108.0, 694.0, 1019.0, 36.0], shoonya_2sREXXQ6OZVQ1F, 5778925]
[paragraph, [108.0, 730.0, 1019.0, 36.0], shoonya_2sREXXQ6OZVQ1F, 5778925]
[paragraph, [108.0, 766.0, 1019.0, 36.0], shoonya_2sREXXQ6OZVQ1F, 5778925]
[paragraph, [108.0, 802.0, 1019.0, 36.0], shoonya_2sREXXQ6OZVQ1F, 5778925]
[paragraph, [110.0, 869.0, 1014.0, 36.0], shoonya_3s9C2KNEROXVOO, 5778925]
[paragraph, [110.0, 905.0, 1014.0, 36.0], shoonya_3s9C2KNEROXVOO, 5778925]
[paragraph, [110.0, 941.0, 1014.0, 36.0], shoonya_3s9C2KNEROXVOO, 5778925]
[paragraph, [110.0, 977.0, 1014.0, 36.0], shoonya_3s9C2KNEROXVOO, 5778925]
[paragraph, [110.0, 1013.0, 1014.0, 36.0], shoonya_3s9C2KNEROXVOO, 5778925]
[paragraph, [108.0, 1081.0, 1016.0, 36.0], shoonya_0sBB1XAN1748ON, 5778925]
[paragraph, [108.0, 1117.0, 1016.0, 36.0], shoonya_0sBB1XAN1748ON, 5778925]
[paragraph, [108.0, 1153.0, 1016.0, 36.0], shoonya_0sBB1XAN1748ON, 5778925]
[paragraph, [108.0, 1189.0, 1016.0, 36.0], shoonya_0sBB1XAN1748ON, 5778925]
[paragraph, [108.0, 1225.0, 1016.0, 36.0], shoonya_0sBB1XAN1748ON, 5778925]
[paragraph, [108.0, 1261.0, 1016.0, 36.0], shoonya_0sBB1XAN1748ON, 5778925]
[paragraph, [108.0, 1297.0, 1016.0, 36.0], shoonya_0sBB1XAN1748ON, 5778925]
[paragraph, [108.0, 1333.0, 1016.0, 36.0], shoonya_0sBB1XAN1748ON, 5778925]
[paragraph, [108.0, 1369.0, 1016.0, 36.0], shoonya_0sBB1XAN1748ON, 5778925]
[paragraph, [110.0, 1439.0, 1021.0, 36.0], shoonya_4s590ICPV2M0TQ, 5778925]
[paragraph, [110.0, 1475.0, 1021.0, 36.0], shoonya_4s590ICPV2M0TQ, 5778925]
[paragraph, [110.0, 1511.0, 1021.0, 36.0], shoonya_4s590ICPV2M0TQ, 5778925]
[paragraph, [110.0, 1547.0, 1021.0, 36.0], shoonya_4s590ICPV2M0TQ, 5778925]
