[564, 376]
[chapter-title, [56.0, 31.0, 225.0, 30.0], r46yyJWEue, 6457860]
[chapter-title, [56.0, 61.0, 225.0, 30.0], r46yyJWEue, 6457860]
[paragraph, [17.0, 104.0, 328.0, 18.0], 2IYdxii5O3, 6457860]
[paragraph, [17.0, 122.0, 328.0, 18.0], 2IYdxii5O3, 6457860]
[paragraph, [17.0, 140.0, 328.0, 18.0], 2IYdxii5O3, 6457860]
[paragraph, [17.0, 158.0, 328.0, 18.0], 2IYdxii5O3, 6457860]
[paragraph, [17.0, 176.0, 328.0, 18.0], 2IYdxii5O3, 6457860]
[paragraph, [17.0, 194.0, 328.0, 18.0], 2IYdxii5O3, 6457860]
[paragraph, [17.0, 212.0, 328.0, 18.0], 2IYdxii5O3, 6457860]
[paragraph, [17.0, 230.0, 328.0, 18.0], 2IYdxii5O3, 6457860]
[paragraph, [17.0, 248.0, 328.0, 18.0], 2IYdxii5O3, 6457860]
[paragraph, [17.0, 266.0, 328.0, 18.0], 2IYdxii5O3, 6457860]
[paragraph, [17.0, 284.0, 328.0, 18.0], 2IYdxii5O3, 6457860]
[paragraph, [17.0, 302.0, 328.0, 18.0], 2IYdxii5O3, 6457860]
[paragraph, [17.0, 320.0, 328.0, 18.0], 2IYdxii5O3, 6457860]
[paragraph, [17.0, 338.0, 328.0, 18.0], 2IYdxii5O3, 6457860]
[paragraph, [17.0, 356.0, 328.0, 18.0], 2IYdxii5O3, 6457860]
[paragraph, [19.0, 356.0, 330.0, 18.0], shoonya_0s8PL17H4UXTD5, 6457860]
[paragraph, [19.0, 374.0, 330.0, 18.0], shoonya_0s8PL17H4UXTD5, 6457860]
[paragraph, [19.0, 392.0, 330.0, 18.0], shoonya_0s8PL17H4UXTD5, 6457860]
[paragraph, [19.0, 410.0, 330.0, 18.0], shoonya_0s8PL17H4UXTD5, 6457860]
[paragraph, [19.0, 428.0, 330.0, 18.0], shoonya_0s8PL17H4UXTD5, 6457860]
[paragraph, [19.0, 446.0, 330.0, 18.0], shoonya_0s8PL17H4UXTD5, 6457860]
[paragraph, [19.0, 464.0, 330.0, 18.0], shoonya_0s8PL17H4UXTD5, 6457860]
[paragraph, [19.0, 482.0, 330.0, 18.0], shoonya_0s8PL17H4UXTD5, 6457860]
[paragraph, [19.0, 500.0, 330.0, 18.0], shoonya_0s8PL17H4UXTD5, 6457860]
