[1792, 1278]
[folio, [228.0, 28.0, 177.0, 36.0], 6BgVzx-04b, 5744658]
[headline, [70.0, 151.0, 883.0, 37.5], shoonya_2sLHP17Z9HN26P, 5744658]
[headline, [70.0, 188.5, 883.0, 37.5], shoonya_2sLHP17Z9HN26P, 5744658]
[paragraph, [62.0, 279.0, 375.0, 36.0], 0Hbv3PX45f, 5744658]
[paragraph, [62.0, 315.0, 375.0, 36.0], 0Hbv3PX45f, 5744658]
[paragraph, [62.0, 351.0, 375.0, 36.0], 0Hbv3PX45f, 5744658]
[paragraph, [62.0, 387.0, 375.0, 36.0], 0Hbv3PX45f, 5744658]
[paragraph, [456.0, 288.0, 365.0, 36.0], shoonya_3sJ97U37Y78VY1, 5744658]
[paragraph, [456.0, 324.0, 365.0, 36.0], shoonya_3sJ97U37Y78VY1, 5744658]
[paragraph, [456.0, 360.0, 365.0, 36.0], shoonya_3sJ97U37Y78VY1, 5744658]
[paragraph, [456.0, 396.0, 365.0, 36.0], shoonya_3sJ97U37Y78VY1, 5744658]
[paragraph, [456.0, 432.0, 365.0, 36.0], shoonya_3sJ97U37Y78VY1, 5744658]
[paragraph, [456.0, 468.0, 365.0, 36.0], shoonya_3sJ97U37Y78VY1, 5744658]
[paragraph, [456.0, 504.0, 365.0, 36.0], shoonya_3sJ97U37Y78VY1, 5744658]
[paragraph, [456.0, 540.0, 365.0, 36.0], shoonya_3sJ97U37Y78VY1, 5744658]
[paragraph, [456.0, 576.0, 365.0, 36.0], shoonya_3sJ97U37Y78VY1, 5744658]
[paragraph, [71.0, 445.0, 368.0, 36.0], shoonya_5s4X814X2ULMNB, 5744658]
[paragraph, [71.0, 481.0, 368.0, 36.0], shoonya_5s4X814X2ULMNB, 5744658]
[paragraph, [71.0, 517.0, 368.0, 36.0], shoonya_5s4X814X2ULMNB, 5744658]
[paragraph, [71.0, 553.0, 368.0, 36.0], shoonya_5s4X814X2ULMNB, 5744658]
[paragraph, [71.0, 589.0, 368.0, 36.0], shoonya_5s4X814X2ULMNB, 5744658]
[paragraph, [71.0, 625.0, 368.0, 36.0], shoonya_5s4X814X2ULMNB, 5744658]
[headline, [64.0, 993.0, 1131.0, 37.5], shoonya_4sV7MTO0VSFPX1, 5744658]
[headline, [64.0, 1030.5, 1131.0, 37.5], shoonya_4sV7MTO0VSFPX1, 5744658]
[headline, [64.0, 1068.0, 1131.0, 37.5], shoonya_4sV7MTO0VSFPX1, 5744658]
[paragraph, [62.0, 1139.0, 384.0, 36.0], 956edktWUl, 5744658]
[paragraph, [62.0, 1175.0, 384.0, 36.0], 956edktWUl, 5744658]
[paragraph, [62.0, 1211.0, 384.0, 36.0], 956edktWUl, 5744658]
[paragraph, [62.0, 1247.0, 384.0, 36.0], 956edktWUl, 5744658]
[paragraph, [62.0, 1283.0, 384.0, 36.0], 956edktWUl, 5744658]
[paragraph, [62.0, 1319.0, 384.0, 36.0], 956edktWUl, 5744658]
[paragraph, [62.0, 1355.0, 384.0, 36.0], 956edktWUl, 5744658]
[paragraph, [840.0, 1143.0, 365.0, 36.0], shoonya_7sWJM2Q9JF3J8A, 5744658]
[paragraph, [840.0, 1179.0, 365.0, 36.0], shoonya_7sWJM2Q9JF3J8A, 5744658]
[paragraph, [840.0, 1215.0, 365.0, 36.0], shoonya_7sWJM2Q9JF3J8A, 5744658]
[paragraph, [840.0, 1251.0, 365.0, 36.0], shoonya_7sWJM2Q9JF3J8A, 5744658]
[paragraph, [840.0, 1287.0, 365.0, 36.0], shoonya_7sWJM2Q9JF3J8A, 5744658]
[paragraph, [465.0, 1144.0, 344.0, 36.0], shoonya_6sIV17F2XIHAWA, 5744658]
[paragraph, [465.0, 1180.0, 344.0, 36.0], shoonya_6sIV17F2XIHAWA, 5744658]
[paragraph, [465.0, 1216.0, 344.0, 36.0], shoonya_6sIV17F2XIHAWA, 5744658]
[paragraph, [465.0, 1252.0, 344.0, 36.0], shoonya_6sIV17F2XIHAWA, 5744658]
[paragraph, [465.0, 1288.0, 344.0, 36.0], shoonya_6sIV17F2XIHAWA, 5744658]
[paragraph, [465.0, 1324.0, 344.0, 36.0], shoonya_6sIV17F2XIHAWA, 5744658]
