[2717, 1772]
[folio, [639.0, 230.0, 511.0, 46.5], 2b-RJdHS8S, 5721647]
[paragraph, [234.0, 339.0, 1322.0, 46.5], shoonya_0sUSXMA3Z1VDNT, 5721647]
[paragraph, [234.0, 385.5, 1322.0, 46.5], shoonya_0sUSXMA3Z1VDNT, 5721647]
[paragraph, [234.0, 432.0, 1322.0, 46.5], shoonya_0sUSXMA3Z1VDNT, 5721647]
[paragraph, [234.0, 478.5, 1322.0, 46.5], shoonya_0sUSXMA3Z1VDNT, 5721647]
[paragraph, [211.0, 565.0, 1353.0, 46.5], shoonya_1sQULXJH28V502, 5721647]
[paragraph, [211.0, 611.5, 1353.0, 46.5], shoonya_1sQULXJH28V502, 5721647]
[paragraph, [211.0, 658.0, 1353.0, 46.5], shoonya_1sQULXJH28V502, 5721647]
[paragraph, [211.0, 704.5, 1353.0, 46.5], shoonya_1sQULXJH28V502, 5721647]
[paragraph, [211.0, 751.0, 1353.0, 46.5], shoonya_1sQULXJH28V502, 5721647]
[paragraph, [211.0, 797.5, 1353.0, 46.5], shoonya_1sQULXJH28V502, 5721647]
[paragraph, [211.0, 844.0, 1353.0, 46.5], shoonya_1sQULXJH28V502, 5721647]
[paragraph, [211.0, 890.5, 1353.0, 46.5], shoonya_1sQULXJH28V502, 5721647]
[paragraph, [211.0, 937.0, 1353.0, 46.5], shoonya_1sQULXJH28V502, 5721647]
[paragraph, [211.0, 983.5, 1353.0, 46.5], shoonya_1sQULXJH28V502, 5721647]
[paragraph, [211.0, 1030.0, 1353.0, 46.5], shoonya_1sQULXJH28V502, 5721647]
[paragraph, [211.0, 1076.5, 1353.0, 46.5], shoonya_1sQULXJH28V502, 5721647]
[paragraph, [211.0, 1123.0, 1353.0, 46.5], shoonya_1sQULXJH28V502, 5721647]
[paragraph, [211.0, 1169.5, 1353.0, 46.5], shoonya_1sQULXJH28V502, 5721647]
[paragraph, [211.0, 1216.0, 1353.0, 46.5], shoonya_1sQULXJH28V502, 5721647]
[paragraph, [211.0, 1262.5, 1353.0, 46.5], shoonya_1sQULXJH28V502, 5721647]
[paragraph, [213.0, 1356.0, 1350.0, 46.5], shoonya_2sQ3X509SOWBNJ, 5721647]
[paragraph, [213.0, 1402.5, 1350.0, 46.5], shoonya_2sQ3X509SOWBNJ, 5721647]
[paragraph, [213.0, 1449.0, 1350.0, 46.5], shoonya_2sQ3X509SOWBNJ, 5721647]
[paragraph, [213.0, 1495.5, 1350.0, 46.5], shoonya_2sQ3X509SOWBNJ, 5721647]
[paragraph, [214.0, 1549.0, 1351.0, 46.5], zRwkdQiG6Q, 5721647]
[paragraph, [214.0, 1595.5, 1351.0, 46.5], zRwkdQiG6Q, 5721647]
[paragraph, [214.0, 1642.0, 1351.0, 46.5], zRwkdQiG6Q, 5721647]
[paragraph, [214.0, 1688.5, 1351.0, 46.5], zRwkdQiG6Q, 5721647]
[paragraph, [217.0, 1759.0, 1342.0, 46.5], UPT_wdK7MS, 5721647]
[paragraph, [217.0, 1805.5, 1342.0, 46.5], UPT_wdK7MS, 5721647]
[paragraph, [217.0, 1852.0, 1342.0, 46.5], UPT_wdK7MS, 5721647]
[paragraph, [217.0, 1898.5, 1342.0, 46.5], UPT_wdK7MS, 5721647]
[paragraph, [217.0, 1945.0, 1342.0, 46.5], UPT_wdK7MS, 5721647]
[paragraph, [217.0, 1991.5, 1342.0, 46.5], UPT_wdK7MS, 5721647]
[paragraph, [217.0, 2038.0, 1342.0, 46.5], UPT_wdK7MS, 5721647]
[paragraph, [217.0, 2084.5, 1342.0, 46.5], UPT_wdK7MS, 5721647]
[paragraph, [217.0, 2131.0, 1342.0, 46.5], UPT_wdK7MS, 5721647]
[paragraph, [345.0, 2205.0, 1150.0, 46.5], eFYHvYqk8m, 5721647]
[paragraph, [219.0, 2295.0, 1333.0, 46.5], Bk2umx9mBb, 5721647]
[paragraph, [219.0, 2341.5, 1333.0, 46.5], Bk2umx9mBb, 5721647]
[paragraph, [219.0, 2388.0, 1333.0, 46.5], Bk2umx9mBb, 5721647]
[paragraph, [219.0, 2434.5, 1333.0, 46.5], Bk2umx9mBb, 5721647]
