[594, 353]
[folio, [153.0, 16.0, 59.0, 18.0], shoonya_2sBI41QL2YBDAX, 5701032]
[paragraph, [13.0, 43.0, 331.0, 18.0], shoonya_0sFF1J9NOSASUH, 5701032]
[paragraph, [13.0, 61.0, 331.0, 18.0], shoonya_0sFF1J9NOSASUH, 5701032]
[paragraph, [13.0, 79.0, 331.0, 18.0], shoonya_0sFF1J9NOSASUH, 5701032]
[paragraph, [13.0, 97.0, 331.0, 18.0], shoonya_0sFF1J9NOSASUH, 5701032]
[paragraph, [13.0, 115.0, 331.0, 18.0], shoonya_0sFF1J9NOSASUH, 5701032]
[paragraph, [13.0, 133.0, 331.0, 18.0], shoonya_0sFF1J9NOSASUH, 5701032]
[paragraph, [13.0, 151.0, 331.0, 18.0], shoonya_0sFF1J9NOSASUH, 5701032]
[paragraph, [13.0, 169.0, 331.0, 18.0], shoonya_0sFF1J9NOSASUH, 5701032]
[paragraph, [13.0, 187.0, 331.0, 18.0], shoonya_0sFF1J9NOSASUH, 5701032]
[paragraph, [13.0, 205.0, 331.0, 18.0], shoonya_0sFF1J9NOSASUH, 5701032]
[paragraph, [13.0, 223.0, 331.0, 18.0], shoonya_0sFF1J9NOSASUH, 5701032]
[paragraph, [13.0, 241.0, 331.0, 18.0], shoonya_0sFF1J9NOSASUH, 5701032]
[paragraph, [13.0, 259.0, 331.0, 18.0], shoonya_0sFF1J9NOSASUH, 5701032]
[paragraph, [13.0, 277.0, 331.0, 18.0], shoonya_0sFF1J9NOSASUH, 5701032]
[paragraph, [76.0, 346.0, 264.0, 18.0], Ylt2-sPsgR, 5701032]
[paragraph, [76.0, 364.0, 264.0, 18.0], Ylt2-sPsgR, 5701032]
[sidebar, [11.0, 354.0, 53.0, 18.0], jVSPKOCO-t, 5701032]
[sidebar, [11.0, 372.0, 53.0, 18.0], jVSPKOCO-t, 5701032]
[paragraph, [14.0, 395.0, 328.0, 18.0], shoonya_1s7PBEMWSWO2R8, 5701032]
[paragraph, [14.0, 413.0, 328.0, 18.0], shoonya_1s7PBEMWSWO2R8, 5701032]
[paragraph, [14.0, 431.0, 328.0, 18.0], shoonya_1s7PBEMWSWO2R8, 5701032]
[paragraph, [14.0, 449.0, 328.0, 18.0], shoonya_1s7PBEMWSWO2R8, 5701032]
[paragraph, [14.0, 467.0, 328.0, 18.0], shoonya_1s7PBEMWSWO2R8, 5701032]
[paragraph, [14.0, 485.0, 328.0, 18.0], shoonya_1s7PBEMWSWO2R8, 5701032]
[paragraph, [14.0, 503.0, 328.0, 18.0], shoonya_1s7PBEMWSWO2R8, 5701032]
[paragraph, [14.0, 521.0, 328.0, 18.0], shoonya_1s7PBEMWSWO2R8, 5701032]
[paragraph, [14.0, 539.0, 328.0, 18.0], shoonya_1s7PBEMWSWO2R8, 5701032]
[paragraph, [14.0, 557.0, 328.0, 18.0], shoonya_1s7PBEMWSWO2R8, 5701032]
