[792, 612]
[section-title, [170.0, 169.0, 142.0, 30.0], Ja4GEZh7fw, 6514393]
[paragraph, [176.0, 223.0, 298.0, 18.0], shoonya_0sH3WNUR36V47C, 6514393]
[paragraph, [176.0, 241.0, 298.0, 18.0], shoonya_0sH3WNUR36V47C, 6514393]
[paragraph, [176.0, 259.0, 298.0, 18.0], shoonya_0sH3WNUR36V47C, 6514393]
[paragraph, [176.0, 277.0, 298.0, 18.0], shoonya_0sH3WNUR36V47C, 6514393]
[paragraph, [176.0, 295.0, 298.0, 18.0], shoonya_0sH3WNUR36V47C, 6514393]
[paragraph, [176.0, 313.0, 298.0, 18.0], shoonya_0sH3WNUR36V47C, 6514393]
[paragraph, [176.0, 331.0, 298.0, 18.0], shoonya_0sH3WNUR36V47C, 6514393]
[paragraph, [176.0, 349.0, 298.0, 18.0], shoonya_0sH3WNUR36V47C, 6514393]
[paragraph, [176.0, 367.0, 298.0, 18.0], shoonya_0sH3WNUR36V47C, 6514393]
[paragraph, [176.0, 385.0, 298.0, 18.0], shoonya_0sH3WNUR36V47C, 6514393]
[paragraph, [213.0, 423.0, 262.0, 18.0], shoonya_1sMSRJLHCRCHHK, 6514393]
[paragraph, [213.0, 441.0, 262.0, 18.0], shoonya_1sMSRJLHCRCHHK, 6514393]
[paragraph, [213.0, 459.0, 262.0, 18.0], shoonya_1sMSRJLHCRCHHK, 6514393]
[paragraph, [213.0, 477.0, 262.0, 18.0], shoonya_1sMSRJLHCRCHHK, 6514393]
[paragraph, [213.0, 495.0, 262.0, 18.0], shoonya_1sMSRJLHCRCHHK, 6514393]
