[1050, 693]
[paragraph, [74.0, 75.0, 84.0, 18.0], shoonya_2sNL5QBMIIAARF, 5701711]
[paragraph, [74.0, 93.0, 84.0, 18.0], shoonya_2sNL5QBMIIAARF, 5701711]
[paragraph, [65.0, 116.0, 547.0, 18.0], shoonya_4sUW5WIFN6SDHM, 5701711]
[paragraph, [65.0, 134.0, 547.0, 18.0], shoonya_4sUW5WIFN6SDHM, 5701711]
[paragraph, [65.0, 152.0, 547.0, 18.0], shoonya_4sUW5WIFN6SDHM, 5701711]
[paragraph, [65.0, 170.0, 547.0, 18.0], shoonya_4sUW5WIFN6SDHM, 5701711]
[paragraph, [65.0, 188.0, 547.0, 18.0], shoonya_4sUW5WIFN6SDHM, 5701711]
[paragraph, [65.0, 206.0, 547.0, 18.0], shoonya_4sUW5WIFN6SDHM, 5701711]
[paragraph, [65.0, 224.0, 547.0, 18.0], shoonya_4sUW5WIFN6SDHM, 5701711]
[paragraph, [65.0, 242.0, 547.0, 18.0], shoonya_4sUW5WIFN6SDHM, 5701711]
[paragraph, [65.0, 260.0, 547.0, 18.0], shoonya_4sUW5WIFN6SDHM, 5701711]
[paragraph, [65.0, 278.0, 547.0, 18.0], shoonya_4sUW5WIFN6SDHM, 5701711]
[paragraph, [65.0, 296.0, 547.0, 18.0], shoonya_4sUW5WIFN6SDHM, 5701711]
[paragraph, [80.0, 320.0, 529.0, 18.0], shoonya_1s8LX5D79QDX9I, 5701711]
[paragraph, [80.0, 338.0, 529.0, 18.0], shoonya_1s8LX5D79QDX9I, 5701711]
[paragraph, [80.0, 356.0, 529.0, 18.0], shoonya_1s8LX5D79QDX9I, 5701711]
[paragraph, [80.0, 374.0, 529.0, 18.0], shoonya_1s8LX5D79QDX9I, 5701711]
[paragraph, [80.0, 392.0, 529.0, 18.0], shoonya_1s8LX5D79QDX9I, 5701711]
[paragraph, [80.0, 410.0, 529.0, 18.0], shoonya_1s8LX5D79QDX9I, 5701711]
[paragraph, [80.0, 428.0, 529.0, 18.0], shoonya_1s8LX5D79QDX9I, 5701711]
[paragraph, [80.0, 446.0, 529.0, 18.0], shoonya_1s8LX5D79QDX9I, 5701711]
[paragraph, [80.0, 464.0, 529.0, 18.0], shoonya_1s8LX5D79QDX9I, 5701711]
[paragraph, [80.0, 482.0, 529.0, 18.0], shoonya_1s8LX5D79QDX9I, 5701711]
[paragraph, [80.0, 500.0, 529.0, 18.0], shoonya_1s8LX5D79QDX9I, 5701711]
[paragraph, [80.0, 518.0, 529.0, 18.0], shoonya_1s8LX5D79QDX9I, 5701711]
[paragraph, [80.0, 536.0, 529.0, 18.0], shoonya_1s8LX5D79QDX9I, 5701711]
[paragraph, [71.0, 565.0, 531.0, 18.0], P3Ca-0lF7o, 5701711]
[paragraph, [71.0, 583.0, 531.0, 18.0], P3Ca-0lF7o, 5701711]
[paragraph, [71.0, 601.0, 531.0, 18.0], P3Ca-0lF7o, 5701711]
[paragraph, [71.0, 619.0, 531.0, 18.0], P3Ca-0lF7o, 5701711]
[paragraph, [71.0, 637.0, 531.0, 18.0], P3Ca-0lF7o, 5701711]
[paragraph, [71.0, 655.0, 531.0, 18.0], P3Ca-0lF7o, 5701711]
[paragraph, [71.0, 673.0, 531.0, 18.0], P3Ca-0lF7o, 5701711]
[paragraph, [71.0, 691.0, 531.0, 18.0], P3Ca-0lF7o, 5701711]
[paragraph, [71.0, 709.0, 531.0, 18.0], P3Ca-0lF7o, 5701711]
[paragraph, [71.0, 727.0, 531.0, 18.0], P3Ca-0lF7o, 5701711]
[paragraph, [64.0, 760.0, 556.0, 18.0], Vcp2GSlusk, 5701711]
[paragraph, [64.0, 778.0, 556.0, 18.0], Vcp2GSlusk, 5701711]
[paragraph, [64.0, 796.0, 556.0, 18.0], Vcp2GSlusk, 5701711]
[paragraph, [64.0, 814.0, 556.0, 18.0], Vcp2GSlusk, 5701711]
[paragraph, [64.0, 832.0, 556.0, 18.0], Vcp2GSlusk, 5701711]
[paragraph, [64.0, 850.0, 556.0, 18.0], Vcp2GSlusk, 5701711]
[paragraph, [64.0, 868.0, 556.0, 18.0], Vcp2GSlusk, 5701711]
[paragraph, [64.0, 886.0, 556.0, 18.0], Vcp2GSlusk, 5701711]
[paragraph, [64.0, 904.0, 556.0, 18.0], Vcp2GSlusk, 5701711]
[paragraph, [64.0, 922.0, 556.0, 18.0], Vcp2GSlusk, 5701711]
[paragraph, [64.0, 940.0, 556.0, 18.0], Vcp2GSlusk, 5701711]
[paragraph, [64.0, 958.0, 556.0, 18.0], Vcp2GSlusk, 5701711]
