[1275, 750]
[folio, [283.0, 85.0, 188.0, 18.0], uI8uCvw675, 5767122]
[folio, [283.0, 103.0, 188.0, 18.0], uI8uCvw675, 5767122]
[paragraph, [66.0, 158.0, 636.0, 18.0], piUrfXqFI5, 5767122]
[paragraph, [66.0, 176.0, 636.0, 18.0], piUrfXqFI5, 5767122]
[paragraph, [66.0, 194.0, 636.0, 18.0], piUrfXqFI5, 5767122]
[paragraph, [66.0, 212.0, 636.0, 18.0], piUrfXqFI5, 5767122]
[paragraph, [66.0, 230.0, 636.0, 18.0], piUrfXqFI5, 5767122]
[paragraph, [66.0, 248.0, 636.0, 18.0], piUrfXqFI5, 5767122]
[paragraph, [66.0, 266.0, 636.0, 18.0], piUrfXqFI5, 5767122]
[paragraph, [66.0, 284.0, 636.0, 18.0], piUrfXqFI5, 5767122]
[paragraph, [66.0, 302.0, 636.0, 18.0], piUrfXqFI5, 5767122]
[paragraph, [66.0, 320.0, 636.0, 18.0], piUrfXqFI5, 5767122]
[paragraph, [66.0, 338.0, 636.0, 18.0], piUrfXqFI5, 5767122]
[paragraph, [66.0, 356.0, 636.0, 18.0], piUrfXqFI5, 5767122]
[paragraph, [66.0, 374.0, 636.0, 18.0], piUrfXqFI5, 5767122]
[paragraph, [66.0, 392.0, 636.0, 18.0], piUrfXqFI5, 5767122]
[paragraph, [66.0, 410.0, 636.0, 18.0], piUrfXqFI5, 5767122]
[paragraph, [66.0, 428.0, 636.0, 18.0], piUrfXqFI5, 5767122]
[paragraph, [66.0, 446.0, 636.0, 18.0], piUrfXqFI5, 5767122]
[ordered-list, [61.0, 486.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 504.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 522.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 540.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 558.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 576.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 594.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 612.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 630.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 648.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 666.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 684.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 702.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 720.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 738.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 756.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 774.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 792.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 810.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 828.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 846.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 864.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 882.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 900.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 918.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 936.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 954.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 972.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 990.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 1008.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 1026.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 1044.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 1062.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 1080.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 1098.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 1116.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 1134.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 1152.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
[ordered-list, [61.0, 1170.0, 632.0, 18.0], rw_hw6xCV5, 5767122]
