[3509, 2480]
[paragraph, [354.0, 387.0, 1409.0, 52.5], shoonya_1sAJV625GF3W1Q, 5724542]
[paragraph, [354.0, 439.5, 1409.0, 52.5], shoonya_1sAJV625GF3W1Q, 5724542]
[paragraph, [359.0, 548.0, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 600.5, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 653.0, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 705.5, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 758.0, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 810.5, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 863.0, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 915.5, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 968.0, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 1020.5, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 1073.0, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 1125.5, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 1178.0, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 1230.5, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 1283.0, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 1335.5, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 1388.0, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 1440.5, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 1493.0, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 1545.5, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 1598.0, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 1650.5, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 1703.0, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 1755.5, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 1808.0, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 1860.5, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 1913.0, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 1965.5, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 2018.0, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 2070.5, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 2123.0, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [359.0, 2175.5, 1767.0, 52.5], nknHxuEcvC, 5724542]
[paragraph, [345.0, 2336.0, 1807.0, 52.5], shoonya_2sQQKU0Y3VR7CR, 5724542]
[paragraph, [345.0, 2388.5, 1807.0, 52.5], shoonya_2sQQKU0Y3VR7CR, 5724542]
[paragraph, [345.0, 2441.0, 1807.0, 52.5], shoonya_2sQQKU0Y3VR7CR, 5724542]
[paragraph, [345.0, 2493.5, 1807.0, 52.5], shoonya_2sQQKU0Y3VR7CR, 5724542]
[paragraph, [345.0, 2546.0, 1807.0, 52.5], shoonya_2sQQKU0Y3VR7CR, 5724542]
[paragraph, [345.0, 2598.5, 1807.0, 52.5], shoonya_2sQQKU0Y3VR7CR, 5724542]
[paragraph, [345.0, 2651.0, 1807.0, 52.5], shoonya_2sQQKU0Y3VR7CR, 5724542]
[paragraph, [345.0, 2703.5, 1807.0, 52.5], shoonya_2sQQKU0Y3VR7CR, 5724542]
[paragraph, [345.0, 2756.0, 1807.0, 52.5], shoonya_2sQQKU0Y3VR7CR, 5724542]
[paragraph, [345.0, 2808.5, 1807.0, 52.5], shoonya_2sQQKU0Y3VR7CR, 5724542]
[paragraph, [345.0, 2861.0, 1807.0, 52.5], shoonya_2sQQKU0Y3VR7CR, 5724542]
[paragraph, [345.0, 2913.5, 1807.0, 52.5], shoonya_2sQQKU0Y3VR7CR, 5724542]
[paragraph, [345.0, 2966.0, 1807.0, 52.5], shoonya_2sQQKU0Y3VR7CR, 5724542]
[paragraph, [345.0, 3018.5, 1807.0, 52.5], shoonya_2sQQKU0Y3VR7CR, 5724542]
